mouse	condition	n_cells	n_T	n_NK	n_TNK	n_myeloid	n_neutrophil	n_MoMacDC	n_pDC	n_basophil	n_B	n_author_epithelium	n_leftover_Epcam_or_Cdh1Krt8	frac_T	frac_TNK	frac_myeloid	frac_neutrophil	frac_MoMacDC	frac_leftover_epi	Cldn4_mean	Cldn4_mean_log1p	Cldn4_n_pos	Cldn4_frac_pos	Cldn4_mean_among_pos	Tacstd2_mean_log1p	Tacstd2_frac_pos	Epcam_frac_pos	Ptprc_frac_pos
Healthy 1	healthy	2950	239	157	396	2228	2034	189	3	2	326	0	39	0.08101694915254237	0.1342372881355932	0.7552542372881356	0.6894915254237288	0.0640677966101695	0.013220338983050847	0.003201234588989475	0.0022803121921918306	11	0.003728813559322034	0.8585129125017228	0.13218862667904527	0.11661016949152542	0.013220338983050847	0.7888135593220339
Healthy 2	healthy	3788	251	73	324	2851	2395	440	7	9	613	0	73	0.06626187961985217	0.08553326293558607	0.7526399155227033	0.632259767687434	0.11615628299894404	0.019271383315733897	0.001025684280059248	0.0007387778829580753	5	0.0013199577613516368	0.7770584105728863	0.08752218361053074	0.06969376979936642	0.019271383315733897	0.6005807814149947
Tumor-bearing 1	tumor	5741	933	263	1196	3712	2815	856	31	10	833	0	113	0.16251524124716948	0.20832607559658595	0.646577251349939	0.49033269465249957	0.14910294373802474	0.01968298205887476	0.0022897467933569045	0.0015496025584007366	14	0.002438599547117227	0.9389597386187134	0.0487418074025194	0.044243163211983974	0.018986239331126982	0.5990245601811531
Tumor-bearing 2	tumor	3460	558	137	695	1724	778	912	21	13	1041	0	45	0.16127167630057804	0.20086705202312138	0.4982658959537572	0.22485549132947977	0.2635838150289017	0.01300578034682081	0.004334209263633521	0.003003046421908204	17	0.004913294797687861	0.8821390618924694	0.021459577264524864	0.016473988439306357	0.012716763005780347	0.34653179190751443
