file	bytes	used
GSE127465_mouse_counts_normalized_15939x28205.mtx.gz	174301312	yes
GSE127465_mouse_cell_metadata_15939x12.tsv.gz	453068	yes
GSE127465_gene_names_mouse_28205.tsv.gz	73869	yes
human MTX/metadata/genes	0	no
