predictor	endpoint	split	median_cut	n	n_high	n_low	events	stat	p	cox_n	cox_events	cox_hr_per_sd	cox_p	cox_loghr	cox_loghr_se
TACSTD2_RNA	OS	median	12.2317	105	52	53	23	0.1799598261187028	0.6714077676087209	105	23	1.0486634662556718	0.8372269204869889	0.047516464077437356	0.2312891091100699
TACSTD2_RNA	PFS	median	12.2317	104	52	52	23	1.921823606200742	0.1656557664390183	104	23	1.2532595013733985	0.360310918885692	0.2257477585198495	0.24678013976274674
CLDN4_RNA	OS	median	12.896799999999999	105	53	52	23	0.5577514016087172	0.4551676584059058	105	23	1.1333823280460285	0.5433073523507965	0.12520637264843798	0.2059927685958438
CLDN4_RNA	PFS	median	12.896799999999999	104	51	53	23	0.0010818456077264168	0.9737611737542358	104	23	1.0019983951012008	0.9925128468340567	0.0019964009659819947	0.21274763520758092
TACSTD2_protein	OS	median	26.533548728417998	105	51	54	23	0.6076334893882865	0.43568023706785197	105	23	1.1355398876051463	0.548353247013015	0.12710820973615872	0.21176598982171083
TACSTD2_protein	PFS	median	26.533548728417998	104	51	53	23	0.21553169790377175	0.6424658373497371	104	23	1.5149664329539816	0.07116581257419255	0.41539328224985556	0.23020901797508025
CLDN4_protein	OS	median	23.0710721901358	75	37	38	15	2.919949449443499	0.08749060477160142	75	15	1.1521573549853787	0.5632582158473858	0.14163614581499542	0.24504152800101642
CLDN4_protein	PFS	median	23.0710721901358	74	37	37	16	0.4269036986481779	0.5135121803836433	74	16	1.2969765958742132	0.32454483388507505	0.260035860355933	0.26395256641913395
