U	p	rank_biserial	predictor	endpoint	split	median_cut	n_high	n_low	median_high	median_low	n_high_used	n_low_used	q
1684.0	0.30665653774563406	0.1133884297520662	TACSTD2_RNA	ESTIMATE_ImmuneScore	median	12.2317	55	55	8202.736	8166.396	55	55	0.4088753836608454
1104.0	0.014724579448135173	-0.27008264462809917	TACSTD2_RNA	CIBERSORT_T_cell_CD8+	median	12.2317	55	55	0.111305039	0.150037036	55	55	0.07208023053445317
1349.0	0.3295993364372892	-0.10809917355371901	TACSTD2_RNA	xCell_T_cell_CD8+	median	12.2317	55	55	0.01662839	0.0200174	55	55	0.4163360039207864
1703.0	0.2560193014707386	0.1259504132231406	TACSTD2_RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	median	12.2317	55	55	14.4194	14.3692	55	55	0.3614390138410427
1315.0	0.2389183949926008	-0.13057851239669427	TACSTD2_RNA	CYT_cytolytic_RNA	median	12.2317	55	55	-0.12245409835655857	0.1256358934971603	55	55	0.3583775924889012
1576.0	0.7064536927846474	0.041983471074380274	TACSTD2_RNA	GEP_Tcell_inflamed_RNA	median	12.2317	55	55	-0.022154039988963526	-0.0439853624630599	55	55	0.77067675576507
1401.0	0.5069629423450537	-0.07371900826446276	CLDN4_RNA	ESTIMATE_ImmuneScore	median	12.896799999999999	55	55	8127.54	8202.736	55	55	0.5793862198229185
1126.0	0.021023400572548843	-0.25553719008264464	CLDN4_RNA	CIBERSORT_T_cell_CD8+	median	12.896799999999999	55	55	0.1111751	0.150037036	55	55	0.07208023053445317
1370.0	0.39570443558670243	-0.09421487603305789	CLDN4_RNA	xCell_T_cell_CD8+	median	12.896799999999999	55	55	0.01683008	0.01872918	55	55	0.4748453227040429
1745.5	0.16455261164383628	0.15404958677685943	CLDN4_RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	median	12.896799999999999	55	55	14.9026	13.8962	55	55	0.30473912752487264
1283.0	0.1710007742769757	-0.1517355371900826	CLDN4_RNA	CYT_cytolytic_RNA	median	12.896799999999999	55	55	-0.12245409835655857	0.12665421056910497	55	55	0.30473912752487264
1533.0	0.9048294104620974	0.013553719008264409	CLDN4_RNA	GEP_Tcell_inflamed_RNA	median	12.896799999999999	55	55	-0.020302197904833882	-0.04740970331042044	55	55	0.9048294104620974
1113.0	0.017066133378099743	-0.2641322314049587	TACSTD2_protein	ESTIMATE_ImmuneScore	median	26.533548728417998	55	55	7861.555	8711.774	55	55	0.07208023053445317
1293.0	0.1904619547030454	-0.1451239669421488	TACSTD2_protein	CIBERSORT_T_cell_CD8+	median	26.533548728417998	55	55	0.12200685	0.145297079	55	55	0.30473912752487264
1006.0	0.002474498159682249	-0.3348760330578512	TACSTD2_protein	xCell_T_cell_CD8+	median	26.533548728417998	55	55	0.01120617	0.0277532	55	55	0.05938795583237398
1293.0	0.1904609553219172	-0.1451239669421488	TACSTD2_protein	HALLMARK_INTERFERON_GAMMA_RESPONSE	median	26.533548728417998	55	55	13.8612	14.5248	55	55	0.30473912752487264
1157.0	0.033817465529052564	-0.23504132231404962	TACSTD2_protein	CYT_cytolytic_RNA	median	26.533548728417998	55	55	-0.13387553028913035	0.12665421056910497	55	55	0.0901799080774735
1111.0	0.01651927376381958	-0.2654545454545455	TACSTD2_protein	GEP_Tcell_inflamed_RNA	median	26.533548728417998	55	55	-0.09893264459092167	0.12775894288957765	55	55	0.07208023053445317
590.0	0.06314056402161107	-0.2435897435897436	CLDN4_protein	ESTIMATE_ImmuneScore	median	23.0710721901358	40	39	7944.937	8770.69	40	39	0.13776123059260598
760.0	0.8483585374345783	-0.02564102564102566	CLDN4_protein	CIBERSORT_T_cell_CD8+	median	23.0710721901358	40	39	0.1348973185	0.149237578	40	39	0.8852436912360817
552.0	0.025585107375227022	-0.29230769230769227	CLDN4_protein	xCell_T_cell_CD8+	median	23.0710721901358	40	39	0.012671365	0.02784945	40	39	0.07675532212568108
585.0	0.056489383722500425	-0.25	CLDN4_protein	HALLMARK_INTERFERON_GAMMA_RESPONSE	median	23.0710721901358	40	39	14.16645	14.6473	40	39	0.13557452093400102
539.0	0.018359021430475148	-0.308974358974359	CLDN4_protein	CYT_cytolytic_RNA	median	23.0710721901358	40	39	-0.17674273422871378	0.2365746647610731	40	39	0.07208023053445317
541.0	0.01935174661809663	-0.30641025641025643	CLDN4_protein	GEP_Tcell_inflamed_RNA	median	23.0710721901358	40	39	-0.03445472134616199	0.2598163267664097	40	39	0.07208023053445317
