n_a	n_b	median_a	median_b	U	p	rank_biserial	predictor	variable	group_a	group_b	q
61	46	12.2418	12.1966	1406.5	0.9849383865758854	0.0024946543121882048	TACSTD2_RNA	smoking_ever_vs_never	ever	never	0.9849383865758854
18	90	11.691600000000001	12.336549999999999	397.5	0.000682798959387779	-0.5092592592592593	TACSTD2_RNA	STK11_mutation	mut	wt	0.005462391675102232
11	97	12.2514	12.2418	595.0	0.5355074265675595	0.11527647610121838	TACSTD2_RNA	KEAP1_mutation	mut	wt	0.7789198931891774
39	69	12.4715	12.0916	1694.5	0.025809030798200874	0.25938312894834636	TACSTD2_RNA	EGFR_mutation	mut	wt	0.12252718664773667
35	73	12.2418	12.2916	1138.5	0.3632740613208425	-0.10880626223091971	TACSTD2_RNA	KRAS_mutation	mut	wt	0.6838099977804094
64	44	12.3266	12.2016	1563.0	0.3340292215263724	0.11008522727272729	TACSTD2_RNA	TP53_mutation	mut	wt	0.6680584430527448
72	38	12.16155	12.4028	1173.0	0.22147306842291414	-0.14254385964912286	TACSTD2_RNA	Sex_male_vs_female	Male	Female	0.5451644761179425
52	58	12.2715	12.2016	1623.5	0.49112964728387387	0.07659151193633962	TACSTD2_RNA	stage_IIIV_vs_I	II-IV	I	0.7531388172514039
61	46	12.7214	13.081700000000001	1066.0	0.0342175376411255	-0.24019957234497502	CLDN4_RNA	smoking_ever_vs_never	ever	never	0.136870150564502
18	90	12.3966	13.04655	392.0	0.0005779619531829657	-0.5160493827160494	CLDN4_RNA	STK11_mutation	mut	wt	0.005462391675102232
11	97	12.7214	12.9916	378.5	0.11656056799457862	-0.2905342080599812	CLDN4_RNA	KEAP1_mutation	mut	wt	0.3729938175826516
39	69	13.2416	12.6017	2102.5	1.3066283964296928e-06	0.5626161278335191	CLDN4_RNA	EGFR_mutation	mut	wt	4.181210868575017e-05
35	73	12.7214	13.0416	971.0	0.04457319360324404	-0.23992172211350293	CLDN4_RNA	KRAS_mutation	mut	wt	0.15848246614486772
64	44	13.166450000000001	12.57155	1969.5	0.00045193574342336084	0.39879261363636354	CLDN4_RNA	TP53_mutation	mut	wt	0.005462391675102232
72	38	12.75155	13.1118	996.5	0.01969521509821466	-0.27156432748538006	CLDN4_RNA	Sex_male_vs_female	Male	Female	0.12252718664773667
52	58	12.981549999999999	12.799	1680.5	0.3031128504968632	0.11438992042440321	CLDN4_RNA	stage_IIIV_vs_I	II-IV	I	0.6680584430527448
61	46	26.5561262299913	26.48983412313225	1476.0	0.6482328435798961	0.052031361368496176	TACSTD2_protein	smoking_ever_vs_never	ever	never	0.9018891736763771
18	90	26.484236181514852	26.56857906675885	646.0	0.17771056539035757	-0.20246913580246917	TACSTD2_protein	STK11_mutation	mut	wt	0.4953898954608545
11	97	26.7489826417822	26.499659418271	752.0	0.026802822079192396	0.4095595126522962	TACSTD2_protein	KEAP1_mutation	mut	wt	0.12252718664773667
39	69	26.5091858483273	26.5561262299913	1360.0	0.928647609325283	0.010776662950575888	TACSTD2_protein	EGFR_mutation	mut	wt	0.9849383865758854
35	73	26.499659418271	26.5673913701749	1284.0	0.9685832709827773	0.0050880626223090974	TACSTD2_protein	KRAS_mutation	mut	wt	0.9849383865758854
64	44	26.51056405638085	26.58529765414105	1293.0	0.47403867116418863	-0.08167613636363635	TACSTD2_protein	TP53_mutation	mut	wt	0.7531388172514039
72	38	26.51256227700545	26.572872877719902	1157.0	0.18577121079782044	-0.1542397660818714	TACSTD2_protein	Sex_male_vs_female	Male	Female	0.4953898954608545
52	58	26.533548728417998	26.53403424721285	1550.0	0.8037762664697374	0.027851458885941538	TACSTD2_protein	stage_IIIV_vs_I	II-IV	I	0.9849383865758854
44	33	23.07713392771355	23.0852976928544	708.0	0.8570465995632407	-0.024793388429752095	CLDN4_protein	smoking_ever_vs_never	ever	never	0.9849383865758854
14	64	23.120176290769848	23.01522660964855	501.0	0.4942473488212338	0.1183035714285714	CLDN4_protein	STK11_mutation	mut	wt	0.7531388172514039
7	71	22.8498798230815	23.0710721901358	204.0	0.4499464575167533	-0.17907444668008043	CLDN4_protein	KEAP1_mutation	mut	wt	0.7531388172514039
29	49	23.0423185151942	23.0831956652913	688.0	0.8200670123821547	-0.03166783954961294	CLDN4_protein	EGFR_mutation	mut	wt	0.9849383865758854
25	53	23.0710721901358	23.0423185151942	700.0	0.6919868367291948	0.05660377358490565	CLDN4_protein	KRAS_mutation	mut	wt	0.9226491156389264
45	33	23.0831956652913	23.0412586404478	737.0	0.9596690130069906	-0.007407407407407418	CLDN4_protein	TP53_mutation	mut	wt	0.9849383865758854
50	29	23.014072078282503	23.0881877526733	735.0	0.9230249573011495	0.01379310344827589	CLDN4_protein	Sex_male_vs_female	Male	Female	0.9849383865758854
38	41	23.06222715286955	23.0710721901358	680.0	0.33379819305185254	-0.12708600770218226	CLDN4_protein	stage_IIIV_vs_I	II-IV	I	0.6680584430527448
