layer	symbol	ensembl_query	row_id	n_samples_in_matrix	n_non_na	n_na	min	median	max
RNA_tumor	TACSTD2	ENSG00000184292	ENSG00000184292.7	110	110	0	7.393	12.2317	14.0318
RNA_tumor	CLDN4	ENSG00000189143	ENSG00000189143.9	110	110	0	10.7917	12.896799999999999	14.3215
protein_tumor	TACSTD2	ENSG00000184292	ENSG00000184292.7	110	110	0	25.2510764671596	26.533548728417998	28.1376722108752
protein_tumor	CLDN4	ENSG00000189143	ENSG00000189143.9	110	79	31	21.4349671016967	23.0710721901358	24.9609243822922
RNA_NAT	TACSTD2	ENSG00000184292	ENSG00000184292.7	101	101	9	10.6517	11.7116	12.7616
RNA_NAT	CLDN4	ENSG00000189143	ENSG00000189143.9	101	101	9	10.5617	11.4816	12.8216
protein_NAT	TACSTD2	ENSG00000184292	ENSG00000184292.7	101	101	9	26.1067794565616	26.9352634237195	27.4339258264442
protein_NAT	CLDN4	ENSG00000189143	ENSG00000189143.9	101	72	38	21.849581464586	23.19377631585755	25.0570139685439
