signature	n_genes_requested	RNA_genes_used	RNA_n_used	protein_genes_used	protein_n_used
CYT_cytolytic	2	ENSG00000145649.8;ENSG00000180644.8	2	ENSG00000145649.8;ENSG00000180644.8	2
CD8_Tcell	3	ENSG00000153563.15;ENSG00000198851.10;ENSG00000167286.9	3	ENSG00000153563.15;ENSG00000198851.10;ENSG00000167286.9	3
IFNG_6gene	6	ENSG00000111537.5;ENSG00000115415.20;ENSG00000138755.6;ENSG00000169245.6;ENSG00000131203.13;ENSG00000204287.14	6	ENSG00000115415.20;ENSG00000138755.6;ENSG00000169245.6;ENSG00000131203.13;ENSG00000204287.14	5
GEP_Tcell_inflamed	18	ENSG00000271503.6;ENSG00000139193.3;ENSG00000120217.14;ENSG00000103855.18;ENSG00000153563.15;ENSG00000174600.14;ENSG00000138755.6;ENSG00000172215.6;ENSG00000196735.13;ENSG00000196126.11;ENSG00000204592.9;ENSG00000131203.13;ENSG00000089692.9;ENSG00000105374.10;ENSG00000197646.8;ENSG00000205220.12;ENSG00000115415.20;ENSG00000181847.12	18	ENSG00000271503.6;ENSG00000139193.3;ENSG00000120217.14;ENSG00000103855.18;ENSG00000153563.15;ENSG00000174600.14;ENSG00000138755.6;ENSG00000172215.6;ENSG00000196735.13;ENSG00000196126.11;ENSG00000204592.9;ENSG00000131203.13;ENSG00000089692.9;ENSG00000197646.8;ENSG00000205220.12;ENSG00000115415.20	16
TLS_chemokine	7	ENSG00000271503.6;ENSG00000172724.12;ENSG00000137077.8;ENSG00000138755.6;ENSG00000169245.6;ENSG00000169248.13;ENSG00000156234.7	7	ENSG00000271503.6;ENSG00000172724.12;ENSG00000137077.8;ENSG00000138755.6;ENSG00000169245.6;ENSG00000156234.7	6
TGFB_axis	2	ENSG00000105329.10;ENSG00000163513.19	2	ENSG00000105329.10;ENSG00000163513.19	2
