n	rho	p	gene	test
110	0.6664127007043072	1.9285920416067863e-15	TACSTD2	RNA_vs_protein
79	0.17373417721518988	0.12571000800941237	CLDN4	RNA_vs_protein
110	0.39186837561767496	2.2997345547585534e-05	TACSTD2_vs_CLDN4	coexpression_RNA
79	0.2745618305744888	0.014336540643019976	TACSTD2_vs_CLDN4	coexpression_protein
