accession	gene	sample	group	value	scale
GSE108417	TACSTD2	GSM2897926	control_I	7.52604237	log2-like
GSE108417	TACSTD2	GSM2897927	control_I	7.628657093	log2-like
GSE108417	TACSTD2	GSM2897928	control_I	7.456372012	log2-like
GSE108417	TACSTD2	GSM2897929	eosinophilic asthma_II	6.50336328	log2-like
GSE108417	TACSTD2	GSM2897930	eosinophilic asthma_II	7.54935673	log2-like
GSE108417	TACSTD2	GSM2897931	eosinophilic asthma_II	6.545689934	log2-like
GSE108417	TACSTD2	GSM2897932	mixed asthma_III	8.457951056	log2-like
GSE108417	TACSTD2	GSM2897933	mixed asthma_III	7.623568886	log2-like
GSE108417	TACSTD2	GSM2897934	mixed asthma_III	7.427766268	log2-like
GSE108417	TACSTD2	GSM2897935	neutrophilic asthma_IV	6.706362235	log2-like
GSE108417	TACSTD2	GSM2897936	neutrophilic asthma_IV	7.27087956	log2-like
GSE108417	TACSTD2	GSM2897937	neutrophilic asthma_IV	8.285630944	log2-like
GSE108417	CLDN4	GSM2897926	control_I	6.100111727	log2-like
GSE108417	CLDN4	GSM2897927	control_I	6.158163645	log2-like
GSE108417	CLDN4	GSM2897928	control_I	6.015015451	log2-like
GSE108417	CLDN4	GSM2897929	eosinophilic asthma_II	4.228648548	log2-like
GSE108417	CLDN4	GSM2897930	eosinophilic asthma_II	6.416039169	log2-like
GSE108417	CLDN4	GSM2897931	eosinophilic asthma_II	5.302951423	log2-like
GSE108417	CLDN4	GSM2897932	mixed asthma_III	8.267177913	log2-like
GSE108417	CLDN4	GSM2897933	mixed asthma_III	8.024297513	log2-like
GSE108417	CLDN4	GSM2897934	mixed asthma_III	7.417121021	log2-like
GSE108417	CLDN4	GSM2897935	neutrophilic asthma_IV	7.405248019	log2-like
GSE108417	CLDN4	GSM2897936	neutrophilic asthma_IV	8.357535197	log2-like
GSE108417	CLDN4	GSM2897937	neutrophilic asthma_IV	9.511368186	log2-like
GSE33348	TACSTD2	GSM824875	4T1 cells harboring the empty pLKO.1puro lentiviral vector	1.4033824	log2-like
GSE33348	TACSTD2	GSM824876	4T1 cells harboring the empty pLKO.1puro lentiviral vector	1.0361917	log2-like
GSE33348	TACSTD2	GSM824877	4T1 cells harboring the empty pLKO.1puro lentiviral vector	1.4985409	log2-like
