accession	gene	group	n	mean	median	sd	scale
GSE108417	TACSTD2	control_I	3	7.537	7.526	0.0867	log2-like
GSE108417	TACSTD2	eosinophilic asthma_II	3	6.8661	6.5457	0.5921	log2-like
GSE108417	TACSTD2	mixed asthma_III	3	7.8364	7.6236	0.5471	log2-like
GSE108417	TACSTD2	neutrophilic asthma_IV	3	7.421	7.2709	0.8003	log2-like
GSE108417	CLDN4	control_I	3	6.0911	6.1001	0.072	log2-like
GSE108417	CLDN4	eosinophilic asthma_II	3	5.3159	5.303	1.0938	log2-like
GSE108417	CLDN4	mixed asthma_III	3	7.9029	8.0243	0.4378	log2-like
GSE108417	CLDN4	neutrophilic asthma_IV	3	8.4247	8.3575	1.0547	log2-like
GSE33348	TACSTD2	4T1 cells harboring the empty pLKO.1puro lentiviral vector	3	1.3127	1.4034	0.2441	log2-like
GSE33348	TACSTD2	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	6	-1.1205	-1.1582	0.4932	log2-like
GSE33348	TACSTD2	Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	3	-0.6217	-0.6747	0.1389	log2-like
GSE33348	TACSTD2	KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus	3	0.483	0.4844	0.0534	log2-like
GSE33348	CLDN4	4T1 cells harboring the empty pLKO.1puro lentiviral vector	3	1.3242	1.2982	0.1382	log2-like
GSE33348	CLDN4	Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	6	-1.0693	-1.0841	0.4436	log2-like
GSE33348	CLDN4	Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts	3	-0.651	-0.6962	0.1456	log2-like
GSE33348	CLDN4	KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus	3	0.1357	0.0773	0.1018	log2-like
GSE48443	TACSTD2	CLDN18_KnockOut	3	12.4865	12.591	0.2025	log2-like
GSE48443	TACSTD2	WildType	4	11.8623	11.8995	0.2363	log2-like
GSE48443	CLDN4	CLDN18_KnockOut	3	10.0394	10.1259	0.3199	log2-like
GSE48443	CLDN4	WildType	4	9.4986	9.512	0.1586	log2-like
GSE210340	TACSTD2	BMDMs treated with A549 conditioned medium	4	5.1475	5.095	0.2541	log2-like
GSE210340	TACSTD2	BMDMs treated with Calu-1 conditioned medium	4	5.15	5.12	0.1837	log2-like
GSE210340	TACSTD2	BMDMs treated with NCI-H1299 conditioned medium	4	5.2575	5.275	0.2074	log2-like
GSE210340	TACSTD2	BMDMs treated with NCI-H460 conditioned medium	4	5.31	5.325	0.2282	log2-like
GSE210340	TACSTD2	BMDMs treated with PC-9 conditioned medium	3	5.2733	5.26	0.3202	log2-like
GSE210340	TACSTD2	Control BMDMs (M0)	4	5.2675	5.265	0.2465	log2-like
GSE210340	TACSTD2	M1 BMDMs	3	5.0067	4.95	0.1818	log2-like
GSE210340	TACSTD2	M2 BMDMs	3	5.1	5.06	0.1153	log2-like
GSE210340	CLDN4	BMDMs treated with A549 conditioned medium	4	5.17	5.175	0.1679	log2-like
GSE210340	CLDN4	BMDMs treated with Calu-1 conditioned medium	4	5.0525	5.025	0.1144	log2-like
GSE210340	CLDN4	BMDMs treated with NCI-H1299 conditioned medium	4	5.015	5.075	0.1377	log2-like
GSE210340	CLDN4	BMDMs treated with NCI-H460 conditioned medium	4	5.285	5.295	0.0794	log2-like
GSE210340	CLDN4	BMDMs treated with PC-9 conditioned medium	3	5.0233	5.08	0.1436	log2-like
GSE210340	CLDN4	Control BMDMs (M0)	4	5.1075	5.13	0.1533	log2-like
GSE210340	CLDN4	M1 BMDMs	3	5.15	5.19	0.2623	log2-like
GSE210340	CLDN4	M2 BMDMs	3	4.9733	4.93	0.0839	log2-like
GSE266384	TACSTD2	3LL IFNG	1	0.0464	0.0464		log2-like
GSE266384	TACSTD2	3LL con	1	-0.0464	-0.0464		log2-like
GSE266384	TACSTD2	AB1-HA IFNG	1	-0.1443	-0.1443		log2-like
GSE266384	TACSTD2	AB1-HA con	1	0.1975	0.1975		log2-like
GSE266384	CLDN4	3LL IFNG	1	0.1884	0.1884		log2-like
GSE266384	CLDN4	3LL con	1	-0.489	-0.489		log2-like
GSE266384	CLDN4	AB1-HA IFNG	1	0.5665	0.5665		log2-like
GSE266384	CLDN4	AB1-HA con	1	0.0117	0.0117		log2-like
