score,radius_um,cutoff,n_sections,sections_high_lt_low,section_median_delta,section_p,patients_high_lt_low,patient_median_delta,patient_p,n_fovs,fovs_high_lt_low,fov_median_delta,fov_p,section_mean_high,section_mean_low
n_immune,20,q4_q1,8,5/8,-0.22657524049282074,0.25,4/5,-0.4832202047109604,0.1875,210,164/210,-0.20789213478565216,5.1478819547128296e-20,0.5002772090956569,0.7374631119892001
n_cyto,20,q4_q1,8,5/8,-0.02609063871204853,0.1953125,3/5,-0.05143759958446026,0.3125,210,142/210,-0.017836869694292545,4.02499587638987e-15,0.043214224628172815,0.07128681591711938
frac_immune,20,q4_q1,8,5/8,-0.032619004137814045,0.25,4/5,-0.06387140974402428,0.1875,210,162/210,-0.03106991108506918,2.667115048263122e-19,0.07717367471195757,0.11017999891191721
sum_chemokine,20,q4_q1,8,3/8,0.11897639842682373,0.3828125,2/5,0.08665699317279296,0.625,210,97/210,0.08077156891331372,0.06689161114685216,8.592299096296287,8.387495963228323
mean_chemokine,20,q4_q1,8,1/8,0.0587019925036264,0.015625,1/5,0.051415327951470524,0.125,210,50/210,0.07070605024221688,9.797803531461413e-14,1.2565312042542387,1.1554319406564835
n_chemokine_pos,20,q4_q1,8,1/8,0.07254672050476074,0.0546875,1/5,0.08134579658508301,0.125,210,78/210,0.06658530235290527,1.9805692990271566e-06,2.0498550832271576,1.9350278824567795
sum_chemokine_immune,20,q4_q1,8,4/8,-0.23406790867716273,0.3125,3/5,-0.5697659852830406,0.3125,210,154/210,-0.22703886392650097,5.9299189219345174e-15,1.001483061705545,1.4091613205601172
n_chemokine_pos_immune,20,q4_q1,8,4/8,-0.04200359247624874,0.3125,3/5,-0.10448728688061237,0.3125,210,152/210,-0.043302567675709724,1.5021921205442007e-15,0.1737519665621221,0.2448778608813882
sum_isg,20,q4_q1,8,2/8,1.248580553058611,0.1953125,1/5,2.0050841971689337,0.1875,210,75/210,1.1801484809859772,4.764543403602464e-07,41.64037332740614,39.01602159683117
mean_isg,20,q4_q1,8,0/8,0.5970384100664341,0.0078125,0/5,0.6529199776380299,0.0625,210,25/210,0.4245960349483937,2.0115311464920136e-25,5.856945753965993,5.203685738351277
