sample,patient,module,context,radius_um,arm,n_index,mean_z,median_z,mean_log_cp10k,median_neighbor_n,frac_with_neighbor
LUAD-5 R1,Lung5,ifn,all_neighbors,50,high,4460,0.05242448174367286,0.04443528879291592,0.5512057392388174,42.0,1.0
LUAD-5 R1,Lung5,ifn,all_neighbors,50,low,5226,0.048708746761856436,0.0476502535197922,0.5489221899149899,45.0,1.0
LUAD-5 R1,Lung5,ifn,immune_neighbors,50,high,3305,-0.08714839912639923,-0.09282507563577337,0.3644758217128391,3.0,0.7410313901345291
LUAD-5 R1,Lung5,ifn,immune_neighbors,50,low,3665,-0.0984585148006517,-0.1146024961353572,0.35349347843477025,2.0,0.7013011863758133
LUAD-5 R1,Lung5,ifn,all_neighbors,100,high,4460,0.037038724557754414,0.031460815751273435,0.5322271876363539,158.0,1.0
LUAD-5 R1,Lung5,ifn,all_neighbors,100,low,5226,0.04038080087105597,0.03766258751532332,0.5385872133068331,168.0,1.0
LUAD-5 R1,Lung5,ifn,immune_neighbors,100,high,4389,-0.0804568577720294,-0.08575934388554324,0.3702875722175443,26.0,0.9840807174887892
LUAD-5 R1,Lung5,ifn,immune_neighbors,100,low,5165,-0.09623030642926789,-0.10279816945795117,0.3538389911719669,18.0,0.9883275928052048
LUAD-5 R1,Lung5,ifn,intrinsic,0,high,4460,0.09001867860966946,0.0744591724744369,0.5986704155059563,1.0,1.0
LUAD-5 R1,Lung5,ifn,intrinsic,0,low,5226,0.01487783396050138,-0.004800698288896764,0.5045889262015933,1.0,1.0
LUAD-5 R1,Lung5,sting,all_neighbors,50,high,4460,0.010115631213226133,0.008346526427823658,0.4076018125376009,42.0,1.0
LUAD-5 R1,Lung5,sting,all_neighbors,50,low,5226,0.0035152285735270267,0.0007030756569011673,0.4018620799609758,45.0,1.0
LUAD-5 R1,Lung5,sting,immune_neighbors,50,high,3305,-0.06052859882456964,-0.07343823294339348,0.3124211863713572,3.0,0.7410313901345291
LUAD-5 R1,Lung5,sting,immune_neighbors,50,low,3665,-0.08145109620870922,-0.1049530210585734,0.2831805828421373,2.0,0.7013011863758133
LUAD-5 R1,Lung5,sting,all_neighbors,100,high,4460,0.0030640062080834873,0.0027939562485559018,0.3985279825128915,158.0,1.0
LUAD-5 R1,Lung5,sting,all_neighbors,100,low,5226,0.00037020954167127476,-0.0003835393887656345,0.39745618841155916,168.0,1.0
LUAD-5 R1,Lung5,sting,immune_neighbors,100,high,4389,-0.05413451017402788,-0.05876073811097703,0.31655714682012537,26.0,0.9840807174887892
LUAD-5 R1,Lung5,sting,immune_neighbors,100,low,5165,-0.0737365951528174,-0.08037017281412433,0.2945143742929216,18.0,0.9883275928052048
LUAD-5 R1,Lung5,sting,intrinsic,0,high,4460,0.027467432266194556,-0.03986306913015164,0.43224481383527164,1.0,1.0
LUAD-5 R1,Lung5,sting,intrinsic,0,low,5226,-0.027713583025951425,-0.08313415075721806,0.36372068904566407,1.0,1.0
LUAD-5 R1,Lung5,epithelial_control,all_neighbors,50,high,4460,0.9545455984176915,1.0492683211124902,3.0636573367009365,42.0,1.0
LUAD-5 R1,Lung5,epithelial_control,all_neighbors,50,low,5226,0.9824887504547943,1.0664732765787068,3.124382384206448,45.0,1.0
LUAD-5 R1,Lung5,epithelial_control,immune_neighbors,50,high,3305,-0.22303345799805954,-0.2623200817651771,0.7714196238654648,3.0,0.7410313901345291
LUAD-5 R1,Lung5,epithelial_control,immune_neighbors,50,low,3665,-0.2512449280055424,-0.2990752152445897,0.7141000667456308,2.0,0.7013011863758133
LUAD-5 R1,Lung5,epithelial_control,all_neighbors,100,high,4460,0.7557757214946402,0.818526137841177,2.6748458619378246,158.0,1.0
LUAD-5 R1,Lung5,epithelial_control,all_neighbors,100,low,5226,0.8483030586580612,0.9286532336480683,2.8602719836099078,168.0,1.0
LUAD-5 R1,Lung5,epithelial_control,immune_neighbors,100,high,4389,-0.2659320277458256,-0.2907537961241681,0.682482653392395,26.0,0.9840807174887892
LUAD-5 R1,Lung5,epithelial_control,immune_neighbors,100,low,5165,-0.2901957603320353,-0.3089223054127187,0.6335612400911194,18.0,0.9883275928052048
LUAD-5 R1,Lung5,epithelial_control,intrinsic,0,high,4460,1.42456912682547,1.5307149021119304,3.9740622987108796,1.0,1.0
LUAD-5 R1,Lung5,epithelial_control,intrinsic,0,low,5226,1.171608983181506,1.291832059687469,3.5120986097966664,1.0,1.0
LUAD-5 R2,Lung5,ifn,all_neighbors,50,high,4485,0.04085944580256483,0.03830665718629124,0.5982234144054092,44.0,1.0
LUAD-5 R2,Lung5,ifn,all_neighbors,50,low,5537,0.03910854933073104,0.037597852158828576,0.5981303860692875,48.0,1.0
LUAD-5 R2,Lung5,ifn,immune_neighbors,50,high,3308,-0.06886653293173893,-0.06402188167921405,0.4442138685285968,3.0,0.7375696767001115
LUAD-5 R2,Lung5,ifn,immune_neighbors,50,low,4009,-0.08926655108229957,-0.09492357351526712,0.42003475770486925,2.0,0.7240382878815242
LUAD-5 R2,Lung5,ifn,all_neighbors,100,high,4485,0.03113328633619222,0.02871179688892545,0.5852497120218224,168.0,1.0
LUAD-5 R2,Lung5,ifn,all_neighbors,100,low,5537,0.0319450815623384,0.03157365979255431,0.5882222960771688,174.0,1.0
LUAD-5 R2,Lung5,ifn,immune_neighbors,100,high,4447,-0.07017352514746987,-0.061597409044394494,0.44081141490111725,26.0,0.9915273132664437
