sample,patient,module,gene,radius_um,mean_log_high,mean_log_low,delta_log
LUAD-5 R1,Lung5,ifn,STAT1,50,0.5861458481449293,0.5796842447014944,0.006461603443434938
LUAD-5 R1,Lung5,ifn,JAK1,50,0.9969548481575549,1.0782110321276819,-0.08125618397012702
LUAD-5 R1,Lung5,ifn,JAK2,50,0.46206489853868155,0.48148522987820974,-0.019420331339528196
LUAD-5 R1,Lung5,ifn,IFNGR1,50,0.8287640526339073,0.8113210283808422,0.017443024253065098
LUAD-5 R1,Lung5,ifn,IFNGR2,50,1.0248364901063483,1.0654890146025549,-0.0406525244962066
LUAD-5 R1,Lung5,ifn,IFNAR1,50,0.49904045461785795,0.5027094645211783,-0.0036690099033203083
LUAD-5 R1,Lung5,ifn,IFNAR2,50,0.7207689817606725,0.737516694262112,-0.01674771250143947
LUAD-5 R1,Lung5,ifn,IFNG,50,0.11410361598204222,0.1073779443302914,0.0067256716517508225
LUAD-5 R1,Lung5,ifn,IFNB1,50,0.17947158998692486,0.17387091549898392,0.005600674487940938
LUAD-5 R1,Lung5,ifn,IFNA1,50,0.17594562024306534,0.17122873488626783,0.004716885356797512
LUAD-5 R1,Lung5,ifn,IFIT1,50,0.18509506773151052,0.1689721559307662,0.01612291180074432
LUAD-5 R1,Lung5,ifn,IFITM1,50,0.847463535329413,0.8141336197139696,0.033329915615443406
LUAD-5 R1,Lung5,ifn,IFITM3,50,2.0716901369132437,2.088751478670866,-0.017061341757622195
LUAD-5 R1,Lung5,ifn,MX1,50,0.6395738237171441,0.6086051910442093,0.030968632672934815
LUAD-5 R1,Lung5,ifn,OAS1,50,0.5307286854625111,0.5348263509133729,-0.004097665450861876
LUAD-5 R1,Lung5,ifn,OAS2,50,0.49627072078002443,0.4853532534344153,0.010917467345609111
LUAD-5 R1,Lung5,ifn,OAS3,50,0.7048851151437601,0.6937078307058782,0.011177284437881907
LUAD-5 R1,Lung5,ifn,OASL,50,0.4268011513348342,0.42327210944709476,0.003529041887739448
LUAD-5 R1,Lung5,ifn,CXCL9,50,0.23236239905975406,0.2165271919054809,0.015835207154273168
LUAD-5 R1,Lung5,ifn,CXCL10,50,0.23870714099416016,0.22084746315587497,0.017859677838285182
LUAD-5 R1,Lung5,ifn,CCL5,50,0.26196246003725354,0.23864701687883288,0.023315443158420657
LUAD-5 R1,Lung5,ifn,CD274,50,0.23813606272678361,0.22847658323129388,0.009659479495489731
LUAD-5 R1,Lung5,ifn,IDO1,50,0.2180639347605824,0.19656204797578064,0.02150188678480175
LUAD-5 R1,Lung5,ifn,BST2,50,0.6959130816589432,0.7079392172179831,-0.012026135559039974
LUAD-5 R1,Lung5,ifn,TAP1,50,0.48745378219422913,0.4958900650772102,-0.008436282882981039
LUAD-5 R1,Lung5,ifn,TAP2,50,0.4681457221931211,0.4405710592970937,0.02757466289602739
LUAD-5 R1,Lung5,ifn,STAT1,100,0.5667768310066821,0.5660178687824049,0.0007589622242771821
LUAD-5 R1,Lung5,ifn,JAK1,100,0.961303332096684,1.0430667827645237,-0.08176345066783974
LUAD-5 R1,Lung5,ifn,JAK2,100,0.4359771967974905,0.47014394529130743,-0.034166748493816956
LUAD-5 R1,Lung5,ifn,IFNGR1,100,0.7910015139947771,0.7969961759245301,-0.0059946619297529535
LUAD-5 R1,Lung5,ifn,IFNGR2,100,0.957328753478593,1.0096771902489856,-0.05234843677039258
LUAD-5 R1,Lung5,ifn,IFNAR1,100,0.4675359118252276,0.48563553967819406,-0.018099627852966482
