score,radius_um,cutoff,n_sections,sections_high_lt_low,section_median_delta,section_p,patients_high_lt_low,patient_median_delta,patient_p,n_fovs,fovs_high_lt_low,fov_median_delta,fov_p,section_mean_high,section_mean_low,section_p_rank,fov_p_rank
n_immune,20,pos_vs_zero,8,8/8,-0.2484007328748703,0.0078125,5/5,-0.40548646450042725,0.0625,211,188/211,-0.2513709217309952,3.933740403036115e-30,0.4112949622794986,0.7374631119892001,0.0078125,3.933740403036115e-30
frac_immune,20,pos_vs_zero,8,8/8,-0.03384074755012989,0.0078125,5/5,-0.05101701617240906,0.0625,211,183/211,-0.04073777794837952,2.4391210153268913e-28,0.062338383635506034,0.11017999891191721,0.0078125,2.4391210153268913e-28
sum_CCL5,40,top10_vs_bot50,8,8/8,-0.2560421310524572,0.0078125,5/5,-0.5650862119887563,0.0625,210,140/210,-0.40863294661393645,3.5591957490504143e-07,8.734552946378741,9.247900671593564,0.0078125,3.5591957490504143e-07
sum_STAT1,40,top10_vs_bot50,8,8/8,-0.9463755866977692,0.0078125,5/5,-0.7114205409399261,0.0625,210,132/210,-0.5246625983251123,9.83501204294659e-07,26.174367250947714,27.674866535092036,0.0078125,9.83501204294659e-07
npos_CCL5,40,top10_vs_bot50,8,8/8,-0.15877127647399902,0.0078125,5/5,-0.11439859867095947,0.0625,210,137/210,-0.09784674644470215,9.83501204294659e-07,2.4362175464630127,2.6007344722747803,0.0078125,9.83501204294659e-07
npos_CD274,40,top10_vs_bot50,8,8/8,-0.07266891002655029,0.0078125,5/5,-0.05175602436065674,0.0625,210,140/210,-0.08145451545715332,1.4434058946155086e-06,2.2967887073755264,2.3950751274824142,0.0078125,1.4434058946155086e-06
sum_STAT1,60,top10_vs_bot50,8,8/8,-1.7397918920549316,0.0078125,5/5,-1.3277263655958222,0.0625,210,133/210,-0.944575597590454,4.022600093258458e-06,56.83023428140205,59.447375809045965,0.0078125,4.022600093258458e-06
npos_CCL5,20,top10_vs_bot50,8,8/8,-0.05552093684673309,0.0078125,5/5,-0.03649529814720154,0.0625,210,134/210,-0.02435678243637085,5.202188423725364e-06,0.579995583742857,0.6306142508983612,0.0078125,5.202188423725364e-06
npos_CD274,20,top10_vs_bot50,8,8/8,-0.02249675989151001,0.0078125,5/5,-0.018246665596961975,0.0625,210,132/210,-0.027747660875320435,7.27628237925239e-06,0.5764345228672028,0.6147347241640091,0.0078125,7.27628237925239e-06
npos_CCL5,60,top10_vs_bot50,8,8/8,-0.18755841255187988,0.0078125,5/5,-0.18895872433980365,0.0625,210,134/210,-0.1879364252090454,1.4305281444619003e-05,5.596826374530792,5.851561605930328,0.0078125,1.4305281444619003e-05
sum_CCL5,20,top10_vs_bot50,8,8/8,-0.12381467122688328,0.0078125,5/5,-0.13342970818596012,0.0625,210,132/210,-0.1005093434850382,1.576798193694471e-05,2.0381950893339136,2.1963790818126854,0.0078125,1.576798193694471e-05
sum_chemokine,40,top10_vs_bot50,8,8/8,-1.2052518391204714,0.0078125,5/5,-1.08794157405352,0.0625,210,117/210,-0.48725960986825,0.0003507244732376484,33.73691803645646,35.11098071842683,0.0078125,0.0003507244732376484
sum_chemokine,20,top10_vs_bot50,8,8/8,-0.3849854764298519,0.0078125,5/5,-0.24124870394407605,0.0625,210,129/210,-0.21866036683628298,0.0004962841769000377,8.13120309398974,8.589651570809227,0.0078125,0.0004962841769000377
n_chemokine_pos_immune,20,pos_vs_zero,8,7/8,-0.053727325052022934,0.015625,4/5,-0.1147775836288929,0.125,211,171/211,-0.05343063920736313,5.217284194262337e-22,0.1628567986190319,0.2448778608813882,0.015625,5.217284194262337e-22
sum_chemokine_immune,20,pos_vs_zero,8,7/8,-0.29625381413988394,0.015625,4/5,-0.6159752108221712,0.125,211,165/211,-0.250863958613896,9.039724934583819e-20,0.9846297793684778,1.4091613205601172,0.015625,9.039724934583819e-20
n_cyto,20,pos_vs_zero,8,7/8,-0.030500393826514482,0.015625,4/5,-0.05531322956085205,0.125,211,156/211,-0.016582325100898743,5.939536930184524e-19,0.04084107268135995,0.07128681591711938,0.015625,5.939536930184524e-19
sum_CXCL9,40,top10_vs_bot50,8,7/8,-0.39903548861417093,0.015625,4/5,-0.4803611573242925,0.125,210,132/210,-0.2654057689658731,1.6351940497193278e-06,8.48864093472212,8.91248199905098,0.015625,1.6351940497193278e-06
sum_STAT1,20,top10_vs_bot50,8,7/8,-0.2768751066747863,0.015625,4/5,-0.10723886066644628,0.125,210,131/210,-0.2990269293733072,1.663172792218779e-06,6.706825495379118,7.164913080710434,0.015625,1.663172792218779e-06
sum_CXCL9,20,top10_vs_bot50,8,7/8,-0.18364697371755878,0.015625,4/5,-0.15027070633579065,0.125,210,131/210,-0.09111800964545258,3.9178794151953186e-05,1.9925529405837865,2.169826036973993,0.015625,3.9178794151953186e-05
sum_chemokine,60,top10_vs_bot50,8,7/8,-1.308460396236402,0.015625,5/5,-1.0000591571643582,0.0625,210,121/210,-1.2071684367021405,0.007002825571820964,76.59522308510874,78.27884621579213,0.015625,0.007002825571820964
npos_CXCL9,40,top10_vs_bot50,8,7/8,-0.17542600631713867,0.0234375,4/5,-0.11439353227615356,0.1875,210,138/210,-0.07639437913894653,7.445950848127095e-07,2.393399477005005,2.5366488844156265,0.0234375,7.445950848127095e-07
sum_CD274,40,top10_vs_bot50,8,7/8,-0.31092472769070234,0.0234375,5/5,-0.24216293549333123,0.0625,210,135/210,-0.31920621158610674,2.3166316809593547e-06,7.959752761480358,8.214262959355832,0.0234375,2.3166316809593547e-06
sum_CD274,20,top10_vs_bot50,8,7/8,-0.14205426963444356,0.0234375,5/5,-0.1252589943370177,0.0625,210,138/210,-0.1271929425380709,4.709760813761365e-06,1.983513032842867,2.098107704137226,0.0234375,4.709760813761365e-06
npos_CD274,60,top10_vs_bot50,8,7/8,-0.15867853164672852,0.0234375,5/5,-0.12969112396240234,0.0625,210,142/210,-0.12036359310150146,1.2832500217073004e-05,5.031386345624924,5.180436342954636,0.0234375,1.2832500217073004e-05
npos_CXCL9,20,top10_vs_bot50,8,7/8,-0.059388622641563416,0.0234375,4/5,-0.038007527589797974,0.1875,210,132/210,-0.03135956823825836,2.088743880556818e-05,0.5741920061409473,0.6284496150910854,0.0234375,2.088743880556818e-05
npos_CXCL9,60,top10_vs_bot50,8,7/8,-0.16071701049804688,0.0234375,4/5,-0.1063222885131836,0.1875,210,135/210,-0.10061132907867432,6.806109591308335e-05,5.416990518569946,5.592814952135086,0.0234375,6.806109591308335e-05
sum_STAT1,100,top10_vs_bot50,8,7/8,-3.4207873445840136,0.0234375,4/5,-2.663114297292566,0.1875,210,129/210,-2.229538636423168,0.00013865462317201263,150.58653624139976,155.33208465707327,0.0234375,0.00013865462317201263
