score,sec,dmed,sp,pat,pp,fov,fp,hi,lo,ratio
frac_immune,8/8,-0.034481337293982506,0.0078125,5/5,0.0625,200/211,4.128405213683889e-33,0.02423654228914529,0.06429883174132556,0.3769359665296718
n_immune,8/8,-0.05828539375215769,0.0078125,5/5,0.0625,195/211,6.374053328817065e-33,0.038452388427685946,0.10998946661129594,0.34960064461060747
sum_CCL5,8/8,-0.050764946094004004,0.0078125,5/5,0.0625,155/211,2.463823053344143e-14,0.3200365009075682,0.37784778071838543,0.8469984931474173
sum_CD274,8/8,-0.04427801053873909,0.0078125,5/5,0.0625,157/211,1.7738812793757453e-11,0.3200703716186978,0.3627077474653436,0.8824470220319189
sum_OAS1,8/8,-0.033234780393609276,0.0078125,5/5,0.0625,146/211,2.767454953313729e-11,0.51167969199788,0.5563185063466627,0.9197603282300902
npos_CCL5,8/8,-0.006875684484839439,0.0078125,5/5,0.0625,146/211,1.4525448721667823e-09,0.09432273404672742,0.10490967705845833,0.8990851625076342
sum_CXCL10,8/8,-0.029921958067495424,0.0078125,5/5,0.0625,124/211,0.00016169609879373528,0.4750193105389776,0.5258419229917324,0.9033500178844549
mean_CCL5,8/8,-0.010009839178698493,0.0078125,5/5,0.0625,127/211,0.0009100907499847981,0.19231700609198338,0.20464141808743325,0.9397755737297312
mean_MX1,0/8,0.04535297849224201,0.0078125,0/5,0.0625,88/211,0.003680988466615863,0.6709436557955535,0.6163270905029316,1.0886162009332643
sum_IFIT1,7/8,-0.025534757046875314,0.015625,5/5,0.0625,154/211,1.1406758977495455e-11,0.23812448694135818,0.27226563404940557,0.8746035384625439
sum_IFNG,7/8,-0.015945451419225407,0.0234375,5/5,0.0625,134/211,9.515941735187087e-06,0.16901876953582093,0.18185395387839537,0.9294203723986268
npos_CD274,6/8,-0.006511956453323364,0.0390625,5/5,0.0625,144/211,2.042587439075187e-07,0.09545405860990286,0.10149249760434031,0.9405035925120516
sum_CXCL9,7/8,-0.033341195996208384,0.0546875,5/5,0.0625,147/211,4.513411709340035e-10,0.3212197005945472,0.365605197898293,0.8785971929313398
sum_CXCL8,7/8,-0.037871993815675103,0.109375,4/5,0.1875,165/211,5.600655386741279e-18,0.4590927754874088,0.5101100473023618,0.8999877142496018
sum_MX1,6/8,-0.0376526828516251,0.109375,5/5,0.0625,140/211,1.0557498233935682e-07,1.1046266211258762,1.1373955890606586,0.9711894715875895
