score,sample,patient,n_high,n_low,mean_high,mean_low,delta
n_immune,LUAD-5 R1,Lung5,12611,5226,0.025295376777648926,0.05491771921515465,-0.029622342437505722
n_immune,LUAD-5 R2,Lung5,12377,5537,0.027874283492565155,0.04840166121721268,-0.020527377724647522
n_immune,LUAD-5 R3,Lung5,9985,5908,0.026139209046959877,0.04417738690972328,-0.018038177862763405
n_immune,LUSC-6,Lung6,16323,49873,0.006432640831917524,0.010907705873250961,-0.004475065041333437
n_immune,LUAD-9 R1,Lung9,27834,11030,0.0260832067579031,0.13789664208889008,-0.11181343346834183
n_immune,LUAD-9 R2,Lung9,57922,36954,0.021131867542862892,0.10808031260967255,-0.0869484469294548
n_immune,LUAD-12,Lung12,7260,11007,0.07011019438505173,0.2573816776275635,-0.18727147579193115
n_immune,LUAD-13,Lung13,19177,6853,0.10455232858657837,0.21815262734889984,-0.11360029876232147
frac_immune,LUAD-5 R1,Lung5,12611,5226,0.015324678272008896,0.03242760896682739,-0.017102930694818497
frac_immune,LUAD-5 R2,Lung5,12377,5537,0.016290970146656036,0.0289175845682621,-0.012626614421606064
frac_immune,LUAD-5 R3,Lung5,9985,5908,0.01618928462266922,0.027586888521909714,-0.011397603899240494
frac_immune,LUSC-6,Lung6,16323,49873,0.00506442878395319,0.008332832716405392,-0.003268403932452202
frac_immune,LUAD-9 R1,Lung9,27834,11030,0.015499629080295563,0.07442429661750793,-0.05892466753721237
frac_immune,LUAD-9 R2,Lung9,57922,36954,0.013630688190460205,0.06549043208360672,-0.051859743893146515
frac_immune,LUAD-12,Lung12,7260,11007,0.046241965144872665,0.15624451637268066,-0.1100025475025177
frac_immune,LUAD-13,Lung13,19177,6853,0.06565069407224655,0.12096649408340454,-0.05531580001115799
sum_IFNG,LUAD-5 R1,Lung5,12611,5226,0.16113226535063369,0.15361523925230475,0.007517026098328938
sum_IFNG,LUAD-5 R2,Lung5,12377,5537,0.2699855693257595,0.2831869773537506,-0.01320140802799108
