gsm	patient	site	file	n_cells	n_epithelial	n_malignant	n_tnk	frac_tnk	mal_CLDN4_mean	mal_CLDN4_pct	tnk_CLDN4_mean	median_n_umi	n_empty	bytes
GSM3516662	MSK_LX653	PRIMARY_TUMOUR	GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz	392	154	154	34	0.08673469387755102	1.1221798440312796	69.48051948051948	0.0	2150.5	0	842343
GSM3516663	MSK_LX661	PRIMARY_TUMOUR	GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz	4566	117	117	3023	0.6620674551029347	0.9420667758309001	64.95726495726495	0.009738328278684079	4291.0	0	10274091
GSM3516664	MSK_LX666	METASTASIS	GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz	1316	790	790	140	0.10638297872340426	0.53848343426041	67.72151898734177	0.010826100701602719	13506.0	0	4947007
GSM3516665	MSK_LX675	PRIMARY_TUMOUR	GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz	3435	514	514	1033	0.3007278020378457	0.5939194133188213	39.88326848249027	0.02355563017244891	3716.0	0	8950800
GSM3516666	MSK_LX675	NORMAL	GSM3516666_MSK_LX675_NORMAL_dense.csv.gz	3061	172	0	1183	0.3864750081672656			0.0016073929885672368	3015.0	0	7705666
GSM3516667	MSK_LX676	PRIMARY_TUMOUR	GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz	4014	140	140	2388	0.5949177877428998	0.9006599470678017	47.85714285714286	0.0060829647501540905	3245.5	0	7330375
GSM3516668	MSK_LX255B	METASTASIS	GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz	3886	205	205	1472	0.3787956767884714	0.7184841044276806	40.0	0.010742956302726765	609.0	0	3430456
GSM3516669	MSK_LX679	PRIMARY_TUMOUR	GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz	2017	464	464	568	0.2816063460585027	0.7484460205444359	48.275862068965516	0.020132869351179354	1186.0	0	2901215
GSM3516670	MSK_LX680	PRIMARY_TUMOUR	GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz	941	265	265	298	0.31668437832093516	1.4747144882185004	76.60377358490567	0.05136918510153441	3212.0	0	2598156
GSM3516671	MSK_LX681	METASTASIS	GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz	1630	1249	1249	70	0.04294478527607362	0.8599097832617973	61.88951160928743	0.05385463898594166	6419.0	0	4934673
GSM3516672	MSK_LX682	PRIMARY_TUMOUR	GSM3516672_MSK_LX682_PRIMARY_TUMOUR_dense.csv.gz	4092	259	259	1970	0.4814271749755621	0.6609503671183302	28.957528957528954	0.043604300934814225	4056.0	0	9582459
GSM3516673	MSK_LX682	NORMAL	GSM3516673_MSK_LX682_NORMAL_dense.csv.gz	4061	155	0	1162	0.2861364196010835			0.013566317103215082	4396.0	0	11522274
GSM3516674	MSK_LX684	PRIMARY_TUMOUR	GSM3516674_MSK_LX684_PRIMARY_TUMOUR_dense.csv.gz	378	182	182	43	0.11375661375661375	1.0952882823534116	81.31868131868131	0.035646291804339925	4548.0	0	989355
GSM3516675	MSK_LX684	NORMAL	GSM3516675_MSK_LX684_NORMAL_dense.csv.gz	2475	158	0	1845	0.7454545454545455			0.00474659529668657	3961.0	0	5530534
GSM3516676	MSK_LX685	NORMAL	GSM3516676_MSK_LX685_NORMAL_dense.csv.gz	3124	292	0	2040	0.6530089628681178			0.007817039001081615	3488.5	0	6578363
GSM3516677	MSK_LX699	METASTASIS	GSM3516677_MSK_LX699_METASTASIS_dense.csv.gz	2671	37	37	2106	0.7884687383002621	0.47160103516453217	24.324324324324326	0.0	3743.0	0	5386222
GSM3516678	MSK_LX701	METASTASIS	GSM3516678_MSK_LX701_METASTASIS_dense.csv.gz	788	57	57	160	0.20304568527918782	0.45793466513434905	22.807017543859647	0.0	2084.0	0	1319090
