gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
CCL5	-2.6265124113207587	4.140579306789383	-5.091632585689867	3.7173809699550645e-05	0.5158487709232248	23	0.0546590180073211	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
GZMA	-2.3479256796203254	2.9057798815157523	-4.938772348720213	5.4293581550985445e-05	0.4754067435865403	23	0.05607045679509843	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
GBP4	-2.5181587310732096	2.8108557589497303	-4.699341950592711	9.847897214963214e-05	0.5358534785398206	23	0.05607045679509843	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
TBCD	0.8571556155112091	4.731568984945351	4.043082289454656	0.0005054414596181194	0.21200548347652481	23	0.07719922444716676	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
CSF2RB	-0.6069089291787311	0.8339897502015958	-3.9898048762029807	0.0005769641385678545	0.152114939955739	23	0.07719922444716676	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
GBP2	-2.298280555043211	3.9226371510606146	-3.7927391968331583	0.000939906076221757	0.6059685192596995	23	0.09336149085879746	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
DLG3	1.050253886322513	4.3105904578192495	3.7424085347632734	0.0010641545283233097	0.28063581957092426	23	0.09599564057974058	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
CD86	-1.1132493779717092	1.2793201053361412	-3.5939670968571105	0.0015325281767477762	0.30975502779233427	23	0.11120415699473499	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
CLDN3	1.8743310374799196	7.073028568036294	3.5869067826043786	0.0015592534938097694	0.5225480200851517	23	0.11120415699473499	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
LCP2	-1.7573745938630818	2.3448581614294572	-3.58293529714691	0.00157448695139077	0.4904846021814791	23	0.11120415699473499	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
CD69	-2.143597547971782	3.537456375027009	-3.5726092578768904	0.0016147806386004732	0.6000089551482791	23	0.11247254317978299	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
AUTS2	2.544180930856192	4.543994430388975	3.5370338566964707	0.0017614885555549574	0.719297873284259	23	0.11488030603849145	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
MAP2K7	0.5672627372209134	4.6162736840625795	3.52681423593504	0.0018059933318367628	0.16084281713536833	23	0.11591323868701509	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
STAT1	-1.0950015191442226	6.086418311886302	-3.4959997014621953	0.0019469495677749175	0.3132155642594135	23	0.11793993374229032	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
TAP2	-1.6226040292410908	4.579076251828445	-3.464868971659261	0.002100256488974771	0.4683016998660287	23	0.12263374892663517	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	MHC-I/APM
SLC39A9	0.755522805995194	4.211280794881265	3.404338445681365	0.0024328084808907654	0.22192940509590817	23	0.12635112971036103	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
AMOT	1.6223332012161813	2.2772810547621245	3.3241710351394005	0.0029531316242867806	0.48804143471160116	23	0.13840034173668028	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
TMEM140	-1.3181548414229434	2.176137310628298	-3.2997427942793323	0.0031321515883506687	0.39947199633504465	23	0.14031797743711272	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
TAP1	-1.622431553733358	5.670050395422769	-3.269025622671524	0.0033722567314761593	0.4963043245918241	23	0.14391261312637307	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN|MHC-I/APM
PFKP	-1.5469114015206384	5.493149403779689	-3.2589626542544385	0.00345472811140837	0.47466373985636523	23	0.14431479911257705	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
IL2RB	-1.493726990118451	1.4996974721427194	-3.203248615788359	0.003947906985175953	0.4663162836490687	23	0.15046690979873426	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
PARD6A	1.3051252578954622	3.638656016389658	3.1954303166255684	0.004022346486441177	0.40843489876934563	23	0.15129635365511535	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
JAK2	-0.7303583495796361	2.2702707743000383	-3.1516591510069967	0.004464821087706483	0.23173773386829505	23	0.1547805599487034	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
PECAM1	-1.4427766216495874	2.2692778675420944	-3.1490880181025673	0.004492223819370709	0.45815696905128406	23	0.1547805599487034	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
CD274	-1.1172434498732309	1.8777790744349787	-3.0669160883816358	0.0054585779594964875	0.36428888749375044	23	0.16677832186016228	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
IL10RA	-1.2612184163325626	1.8781217541541029	-2.9070774261366594	0.007940030889833555	0.43384410920511673	23	0.18745652734491797	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
VIM	-2.2541622693955126	8.151023766481504	-2.873676430718384	0.008580125544358571	0.7844175653526864	23	0.19310013245592275	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
CLDN15	0.9368066339928365	3.244674328042522	2.8504156057537227	0.009054608979481528	0.328656155299543	23	0.1976373085480894	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
EPSTI1	-1.859420490118702	3.4716806147046153	-2.8393048348642984	0.009289961635891995	0.6548858253212431	23	0.19961766542771023	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
ESAM	1.1584839470240234	1.804061821431854	2.830494613927171	0.009480704747896954	0.40928675197748715	23	0.20058529548237863	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
SAMD9L	-1.6110323195574066	3.2417852988886704	-2.805272469970919	0.010047550833861395	0.5742872882412408	23	0.20637178328617442	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
PSMB9	-1.6406282552593012	6.4394542552008724	-2.7677996816414385	0.010949402097935605	0.5927554172873991	23	0.21209496092031543	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN|MHC-I/APM
ARHGEF2	0.7813754577732537	4.615335607340498	2.734247331893846	0.011821446031022908	0.28577351019376973	23	0.218821591547543	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
CGNL1	1.240810033903745	2.646081087909436	2.728369100392249	0.011980827528068177	0.45478085561273857	23	0.2196996081608095	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
OAS2	-1.7133163570659706	3.132283372812042	-2.680563878196242	0.013354426954654386	0.639162666856074	23	0.22808289499955656	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
PSME2	-0.6642888622409368	7.505730738056764	-2.6755906635958735	0.013505549039530723	0.2482774630960038	23	0.22871833391782226	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
TNFAIP3	-1.67416468945725	5.225110593567429	-2.601376357499643	0.01596062956639786	0.6435688110375547	23	0.23704979119092653	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
SAMHD1	-0.9398542838007978	4.32238340253935	-2.599154451063191	0.016040216962322957	0.36160001319519425	23	0.23774258149304117	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
MAGI1	0.7559618189022707	3.7333860593338506	2.5894894079998707	0.016390757128898144	0.29193470209487277	23	0.23822592933521722	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
PARP12	-0.8289326835833153	4.155135377861514	-2.5872627107734716	0.01647252701665891	0.32038983908808505	23	0.23861938916072292	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
STAT4	-0.9974378987490657	1.7842399209697954	-2.5870481112041177	0.0164804277864545	0.3855505796082074	23	0.23861938916072292	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
WAS	-1.4123088943987405	1.9321901895696159	-2.586275302993918	0.016508909142503338	0.5460783284609441	23	0.23861938916072292	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
ST3GAL5	1.2297256933472474	4.101633875900022	2.542200409882497	0.01821157691826366	0.4837249213582207	23	0.2507908097337476	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
CFB	-1.7950994864944723	2.8126124476892005	-2.525825281326384	0.01888490988853782	0.7106982021938641	23	0.25409422670828147	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
IFITM1	-2.28393377811888	4.50943582946341	-2.51946449419431	0.019152661857210818	0.9065155644708741	23	0.2545399777144846	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
PRKAA2	1.4112108791941635	2.767362337433801	2.50051944606571	0.019971226643169648	0.564367088372197	23	0.2592412678383835	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
GBP6	-1.3126567287697217	0.892666695582845	-2.49309435148436	0.020300831664399492	0.5265170682321674	23	0.2608569543749306	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
STRN	0.4565760004572736	4.109666951271478	2.4388344344559254	0.02286720966788019	0.18721074051061207	23	0.2712461163189716	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
RTP4	-1.1706558584833484	2.479395358089393	-2.4375322671006905	0.022932340468444782	0.4802627125325314	23	0.27152831239870123	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
IFI35	-0.7985154194976466	5.115527147692081	-2.4370866326710625	0.02295466927197081	0.3276516348630859	23	0.27159387037663196	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
PRKACA	0.4741585964619406	4.094977706296916	2.4273943900750057	0.02344531035138296	0.19533644734479644	23	0.2728089565635022	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	TJ
STAT2	-0.572868115809284	4.663360953356237	-2.413598885755181	0.024160407229322518	0.23735017412806006	23	0.2767239407211284	malignant	GSE131907+GSE205335+GSE189357	q4q1_combined	14.0	13.0	IFN
