family	split	cohort	n_q1	n_q4	n	n_genes	logFC	p	t	se	df	fdr
IFN	q4q1	GSE131907+GSE205335+GSE189357	14.0	13.0	27	221	-0.5194843983336569	0.02261596422070623	-2.4438899928287228	0.21256455890323062	23.0	0.06784789266211869
MHC-I/APM	q4q1	GSE131907+GSE205335+GSE189357	14.0	13.0	27	21	-0.7397891939079887	0.04660937977700893	-2.103004310983352	0.35177730737131385	23.0	0.06991406966551339
TJ	q4q1	GSE131907+GSE205335+GSE189357	14.0	13.0	27	195	0.0606101718741916	0.37361964163689654	0.9073713704564377	0.0667975361000234	23.0	0.3736196416368965
IFN	continuous	GSE131907+GSE205335+GSE189357			51	221	-0.11663537824097842	0.21432265188621127	-1.2587906278288512	0.0926566941812634	47.0	0.21432265188621127
MHC-I/APM	continuous	GSE131907+GSE205335+GSE189357			51	21	-0.23620873326095101	0.08356419737466439	-1.7679264979863083	0.13360777924308273	47.0	0.1253462960619966
TJ	continuous	GSE131907+GSE205335+GSE189357			51	195	0.04453569215512694	0.08091287661038234	1.7838026256352095	0.024966715215629782	47.0	0.1253462960619966
IFN	q4q1	GSE131907	6.0	5.0	11	221	0.0790760255452122	0.7915114900945364	0.27233213228527675	0.29036612345978147	9.0	0.9121667803227164
MHC-I/APM	q4q1	GSE131907	6.0	5.0	11	21	-0.0625692438864145	0.9121667803227164	-0.11344664590279427	0.5515301346152304	9.0	0.9121667803227164
TJ	q4q1	GSE131907	6.0	5.0	11	195	0.2747175744741604	0.004362648439094734	3.7779653261898933	0.0727157479635249	9.0	0.013087945317284203
IFN	continuous	GSE131907			21	221	0.10005247095961493	0.43361219465503176	0.7999782099624283	0.1250689952721512	19.0	0.6504182919825476
MHC-I/APM	continuous	GSE131907			21	21	0.0022547182419910728	0.9907620762670964	0.011731581680132984	0.19219217863942062	19.0	0.9907620762670964
TJ	continuous	GSE131907			21	195	0.11105558520511083	0.0006776119002314883	4.053788205953414	0.02739550750135738	19.0	0.002032835700694465
IFN	q4q1	GSE205335	5.0	6.0	11	221	-1.2426646082779098	0.0022512239597759598	-4.216452139368148	0.2947180632445475	9.0	0.006753671879327879
MHC-I/APM	q4q1	GSE205335	5.0	6.0	11	21	-1.605322013359881	0.017685748536144994	-2.8968537699853525	0.5541605275325989	9.0	0.026528622804217493
TJ	q4q1	GSE205335	5.0	6.0	11	195	-0.11456891715300488	0.3445648765573582	-0.9975404998426531	0.11485139417504991	9.0	0.3445648765573582
IFN	continuous	GSE205335			21	221	-0.4225694779178467	0.008583231412174656	-2.9304879900994565	0.1441976487689019	19.0	0.012874847118261984
MHC-I/APM	continuous	GSE205335			21	21	-0.6095590376874348	0.008198873974334638	-2.9512704028756924	0.20654123630741722	19.0	0.012874847118261984
TJ	continuous	GSE205335			21	195	-0.027339244146034336	0.5548071103720044	-0.6012081294693994	0.04547384309351037	19.0	0.5548071103720044
IFN	continuous	GSE189357			9	221	-0.06024850470724182	0.569599378683662	-0.5965344300124161	0.10099753120031617	7.0	0.8195578481145332
MHC-I/APM	continuous	GSE189357			9	21	-0.03731926046314874	0.8195578481145332	-0.2368462833214049	0.1575674312461378	7.0	0.8195578481145332
TJ	continuous	GSE189357			9	195	-0.024061129303086785	0.32485193098942966	-1.058803258857758	0.022724834950965344	7.0	0.8195578481145332
