lineage	GSM8839599_MPR-1	GSM8839600_MPR-2	GSM8839601_MPR-3	GSM8839602_Non-MPR-1	GSM8839603_Non-MPR-2	GSM8839604_Non-MPR-3
B	77	25	27	251	56	15
Endothelial	215	474	120	635	896	118
Epithelial	1696	1744	1209	2332	996	471
Fibroblast	492	521	797	227	406	273
Mast	9	5	7	22	34	0
Myeloid	1709	148	851	154	520	76
NK	105	172	146	263	302	26
Plasma	74	41	90	175	156	73
T	99	29	122	273	195	23
Unassigned	1072	2013	1703	1814	1924	349
