gsm	fig3h_outcome	n_tissue_spots	n_epcam_pos	n_lilrb2_pos_tissue	cldn4_pos_among_epcam	cldn4_median_epcam_pos	split	n_cldn4_high	n_cldn4_low	mean_lilrb2_neighbors_cldn4_high	mean_lilrb2_neighbors_cldn4_low	delta_high_minus_low	mean_lilrb2_neighbors_pooled_high	mean_lilrb2_neighbors_pooled_low	n_pooled_high	n_pooled_low
GSM6506110	Poor	2940	2101	97	1629	2.0	CLDN4 > median vs <= median among EPCAM>0 spots	758	1343	0.087071	0.058824	0.028248	0.092885	0.046832	1012	1089
GSM6506111	Good	1935	980	214	679	1.0	CLDN4 > median vs <= median among EPCAM>0 spots	430	550	0.258140	0.247273	0.010867	0.262791	0.243636	430	550
GSM6506112	Good	1504	1145	65	756	1.0	CLDN4 > median vs <= median among EPCAM>0 spots	503	642	0.111332	0.082555	0.028777	0.131429	0.064516	525	620
GSM6506114	Good	2124	585	493	277	0.0	CLDN4>0 vs CLDN4==0 (median of EPCAM>0 spots is 0)	277	308	0.595668	0.448052	0.147616	0.614458	0.446429	249	336
GSM6506116	Poor	3632	2327	130	1614	1.0	CLDN4 > median vs <= median among EPCAM>0 spots	1025	1302	0.115122	0.057604	0.057518	0.115799	0.052762	1114	1213
GSM6506117	Poor	3180	1337	117	1004	3.0	CLDN4 > median vs <= median among EPCAM>0 spots	607	730	0.092257	0.079452	0.012805	0.094737	0.075893	665	672
