gsm	library	title	tissue	treatment	line_in_protocol	srx	biosample
GSM9457798	ND_anti_B2	ND tumor LILRB2 treatment	tumor	anti-LILRB2	SK-MEL-5	SRX31826394	SAMN54677775
GSM9457799	ND_CTR	ND tumor Isotype	tumor	isotype	SK-MEL-5	SRX31826395	SAMN54677774
GSM9457800	PB_anti_B2	PB LILRB2 treatment	peripheral blood	anti-LILRB2	SK-MEL-5	SRX31826396	SAMN54677773
GSM9457801	PB_CTR	PB Isotype	peripheral blood	isotype	SK-MEL-5	SRX31826397	SAMN54677772
