replicate	assay	sheet	block	CLDN1	CLDN2	CLDN3	CLDN4	CLDN5	CLDN6	CLDN7	CLDN8	CLDN9	CLDN10	CLDN11	CLDN12	CLDN14	CLDN15	CLDN16	CLDN17	CLDN18	CLDN19	CLDN20	CLDN21	CLDN22	CLDN25
1	SK-MEL-5 qRT-PCR, GAPDH-normalized	fig. S10	fig. S10A	N.D.	1.320845	0.189151	1.483038	1.006886	2.497311	0.372625	1.228199	0.687849	0.022274	0.000954	0.841181	0.72921	0.152832	N.D.	1.085619	0.512966	N.D.	1.669466	1.357719	0.180072	1.154439
2	SK-MEL-5 qRT-PCR, GAPDH-normalized	fig. S10	fig. S10A		1.20127	0.194372	1.211964	1.341915	3.197886	0.655442	0.896376	0.493634	0.007771	0.004855	0.992383	0.743289	0.11984		1.105456	0.754435		1.383902	1.919771	0.211993	0.856679
3	SK-MEL-5 qRT-PCR, GAPDH-normalized	fig. S10	fig. S10A		1.193203	0.26295	0.904919	1.581697	3.360633	0.592427	1.230908	0.695786	0.001987	0.000274	0.919928	0.543218	0.126212		1.027827	0.673888		1.188113	1.034165	0.255546	1.034956
