kind	name	geo_time	size_bytes	type
Archive	GSE316655_RAW.tar	01/17/2026 00:27:00	135751680	TAR
File	GSM9457798_ND_anti_B2_barcodes.tsv.gz	01/14/2026 19:45:40	56954	TSV
File	GSM9457798_ND_anti_B2_features.tsv.gz	01/14/2026 19:45:40	593990	TSV
File	GSM9457798_ND_anti_B2_matrix.mtx.gz	01/14/2026 19:45:41	45372697	MTX
File	GSM9457799_ND_CTR_barcodes.tsv.gz	01/14/2026 19:45:39	46506	TSV
File	GSM9457799_ND_CTR_features.tsv.gz	01/14/2026 19:45:39	685596	TSV
File	GSM9457799_ND_CTR_matrix.mtx.gz	01/14/2026 19:45:40	39712106	MTX
File	GSM9457800_PB_anti_B2_barcodes.tsv.gz	01/14/2026 19:45:42	14382	TSV
File	GSM9457800_PB_anti_B2_features.tsv.gz	01/14/2026 19:45:43	685596	TSV
File	GSM9457800_PB_anti_B2_matrix.mtx.gz	01/14/2026 19:45:43	18572837	MTX
File	GSM9457801_PB_CTR_barcodes.tsv.gz	01/14/2026 19:45:41	25748	TSV
File	GSM9457801_PB_CTR_features.tsv.gz	01/14/2026 19:45:42	685596	TSV
File	GSM9457801_PB_CTR_matrix.mtx.gz	01/14/2026 19:45:42	29286251	MTX
