gsm	library	tissue	treatment	n_cells	n_genes	nnz	gene	on_reference	nonzero_cells	umi_sum	pct_cells
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	CLDN4	yes	3	3	0.0218
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	CLDN18	yes	0	0	0.0000
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	CLDN3	yes	1	1	0.0073
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	CLDN7	yes	5	5	0.0363
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	LILRB2	yes	11	16	0.0798
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	LILRB5	yes	1	1	0.0073
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	CD8A	yes	1063	1724	7.7146
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	NKG7	yes	1259	2730	9.1371
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	GZMB	yes	234	439	1.6982
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	PRF1	yes	525	651	3.8101
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	IFNG	yes	77	94	0.5588
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	CD274	yes	50	51	0.3629
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	IDO1	yes	14	20	0.1016
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	NEAT1	yes	7206	95876	52.2970
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	PTPRC	yes	5693	15836	41.3165
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	KRT8	yes	69	80	0.5008
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	EPCAM	yes	2	2	0.0145
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	mm10:Cldn4	yes	1	1	0.0073
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	mm10:Cldn18	yes	0	0	0.0000
GSM9457798	ND_anti_B2	tumor	anti-LILRB2	13779	68886	14133560	mm10:Ptprc	yes	3082	5184	22.3674
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	CLDN4	yes	2	2	0.0220
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	CLDN18	yes	1	1	0.0110
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	CLDN3	yes	8	8	0.0880
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	CLDN7	yes	6	6	0.0660
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	LILRB2	yes	13	14	0.1431
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	LILRB5	yes	0	0	0.0000
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	CD8A	yes	162	253	1.7830
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	NKG7	yes	282	777	3.1037
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	GZMB	yes	43	65	0.4733
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	PRF1	yes	104	134	1.1446
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	IFNG	yes	36	41	0.3962
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	CD274	yes	44	46	0.4843
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	IDO1	yes	10	10	0.1101
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	NEAT1	yes	3844	28133	42.3068
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	PTPRC	yes	2438	6294	26.8325
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	KRT8	yes	62	83	0.6824
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	EPCAM	yes	2	2	0.0220
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	mm10:Cldn4	yes	0	0	0.0000
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	mm10:Cldn18	yes	0	0	0.0000
GSM9457799	ND_CTR	tumor	isotype	9086	68886	10240782	mm10:Ptprc	yes	975	2461	10.7308
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	CLDN4	yes	0	0	0.0000
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	CLDN18	yes	0	0	0.0000
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	CLDN3	yes	0	0	0.0000
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	CLDN7	yes	4	4	0.1541
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	LILRB2	yes	22	52	0.8475
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	LILRB5	yes	0	0	0.0000
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	CD8A	yes	272	903	10.4777
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	NKG7	yes	265	1641	10.2080
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	GZMB	yes	81	249	3.1202
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	PRF1	yes	175	333	6.7411
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	IFNG	yes	47	71	1.8105
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	CD274	yes	35	50	1.3482
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	IDO1	yes	35	68	1.3482
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	NEAT1	yes	1457	45730	56.1248
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	PTPRC	yes	1431	14006	55.1233
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	KRT8	yes	6	6	0.2311
GSM9457800	PB_anti_B2	peripheral blood	anti-LILRB2	2596	68886	4892215	EPCAM	yes	2	4	0.0770
