block	ligand	receptor	EC50	note
Fig. 1B	CLDN18.2 ECL1	LILRB2	293.2 nM	sheet text EC50 = 293.2nM; dose table is % GFP+ cells
Fig. 1B	CLDN18.2 ECL2	LILRB2	1039 nM	sheet text EC50 = 1039 nM
fig. S1C	CLDN18.2 ECL1	LILRB5	1725 nM	sheet text EC50 = 1725 nM
fig. S1C	CLDN18.2 ECL2	LILRB5	7156 nM	sheet text EC50 = 7156 nM
Fig. 1F	CLDN18.2 ECL1	LILRB2	Kd 175 nM	sheet text KD = 175 nM; not an EC50
