protein	species	catalog	vendor	role_in_paper
CLDN1	Homo sapiens	H00009076-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN2	Homo sapiens	H00009075-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN3	Homo sapiens	H00001365-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN4	Homo sapiens	H00001364-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN5	Homo sapiens	H00007122-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN6	Homo sapiens	CL6-HF2M9	Acro Biosystems	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN7	Homo sapiens	H00001366-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN8	Homo sapiens	H00009073-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN9	Homo sapiens	CL9-H5586	Acro Biosystems	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN10	Homo sapiens	H00009071-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN11	Homo sapiens	H00005010-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN14	Homo sapiens	H00023562-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN15	Homo sapiens	H00024146-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN16	Homo sapiens	H00010686-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN17	Homo sapiens	H00026285-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN18.1	Homo sapiens	CL1-H5588	Acro Biosystems	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN18.2	Homo sapiens	Z03504	GenScript	immobilized recombinant protein, and the only claudin carried forward as ectopic FL / BD / ΔICD constructs and ECL peptides
CLDN19	Homo sapiens	H00149461-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN20	Homo sapiens	H00049861-P01	Abnova	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN22	Homo sapiens	PROTQ8N7P3	Boster Biological Technology	immobilized recombinant protein in the LILRB reporter screen (Fig. 1A, fig. S1); not used as a genetic perturbation
CLDN18.2 ECL1	synthesized peptide	Thermo Fisher Scientific PEP90UNMOD	Thermo Fisher Scientific	soluble or coated peptide; sequence in Materials and Methods
CLDN18.2 ECL2	synthesized peptide	Thermo Fisher Scientific PEP90UNMOD	Thermo Fisher Scientific	soluble or coated peptide; sequence in Materials and Methods
