sheet	block	ligand	unit_on_sheet	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5	PirB	Gp49B
Fig. 1	Fig. 1A	NC	not labeled	0	3	1	0	1	0	3
Fig. 1	Fig. 1A	PC	not labeled	20	53	28	16	57	20	62
Fig. 1	Fig. 1A	CLDN1	not labeled	0	42	1	1	26	0	1
Fig. 1	Fig. 1A	CLDN2	not labeled	0	23	1	1	17	0	2
Fig. 1	Fig. 1A	CLDN3	not labeled	0	37	1	2	49	0	2
Fig. 1	Fig. 1A	CLDN4	not labeled	0	26	1	1	21	0	1
Fig. 1	Fig. 1A	CLDN5	not labeled	0	27	0	0	21	0	1
Fig. 1	Fig. 1A	CLND6	not labeled	1	30	1	0	13	1	2
Fig. 1	Fig. 1A	CLDN7	not labeled	0	25	1	1	17	0	1
Fig. 1	Fig. 1A	CLDN8	not labeled	0	21	1	1	13	0	2
Fig. 1	Fig. 1A	CLND9	not labeled	0	17	0	0	12	0	1
Fig. 1	Fig. 1A	CLND10	not labeled	0	28	1	0	13	0	2
Fig. 1	Fig. 1A	CLDN11	not labeled	0	20	1	1	13	0	2
Fig. 1	Fig. 1A	CLND14	not labeled	0	32	1	0	12	0	2
Fig. 1	Fig. 1A	CLDN15	not labeled	0	38	1	0	20	0	1
Fig. 1	Fig. 1A	CLND16	not labeled	0	12	2	0	24	0	1
Fig. 1	Fig. 1A	CLND17	not labeled	0	10	1	0	13	0	2
Fig. 1	Fig. 1A	CLND18.1	not labeled	1	18	0	0	9	0	5
Fig. 1	Fig. 1A	CLDN18.2	not labeled	0	32	1	0	15	0	1
Fig. 1	Fig. 1A	CLND19	not labeled	0	20	1	0	13	0	9
Fig. 1	Fig. 1A	CLND20	not labeled	0	18	1	0	16	0	7
Fig. 1	Fig. 1A	CLND22	not labeled	0	15	1	0	22	0	3
Fig. 1	Fig. 1A	ECL1	not labeled	0	45	1	0	42	0	3
Fig. 1	Fig. 1A	ECL2	not labeled	0	37	1	0	28	0	4
