panel	feature	library	label	gsm	arm	genotype	log2_fpkm_plus1
a	Tacstd2	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	3.4032677223
b	Cldn4	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	3.7430840555
c	Epithelial_TJ_core	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	3.6978605880
d	Tacstd2	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	3.4032677223
d	Cldn6	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	0.6322682155
d	Cldn4	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	3.7430840555
d	Cldn7	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	3.5801454844
d	Cldn3	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	5.0338634519
d	Cldn1	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	0.9411063109
d	Ocln	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	3.4815572807
d	Tjp1	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	4.4181899479
d	Cldn2	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	7.2512456898
d	Cldn5	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	5.3950627995
d	Cldn18	B6AL10-1-RNA	B6AL10-1	GSM4073816	KP	KrasG12D;Trp53	5.4036085835
a	Tacstd2	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	3.0285691522
b	Cldn4	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	4.2479275134
c	Epithelial_TJ_core	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	3.9063012744
d	Tacstd2	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	3.0285691522
d	Cldn6	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	0.7048719645
d	Cldn4	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	4.2479275134
d	Cldn7	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	3.3881895372
d	Cldn3	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	4.9639364521
d	Cldn1	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	1.4114262457
d	Ocln	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	3.8787253415
d	Tjp1	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	4.8688842730
d	Cldn2	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	7.2604961869
d	Cldn5	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	6.2907561384
d	Cldn18	B6AL10-2-RNA	B6AL10-2	GSM4073817	KP	KrasG12D;Trp53	5.3760819667
a	Tacstd2	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	0.0000000000
b	Cldn4	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	1.5260688117
c	Epithelial_TJ_core	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	2.4033496098
d	Tacstd2	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	0.0000000000
d	Cldn6	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	0.5459683691
d	Cldn4	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	1.5260688117
d	Cldn7	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	0.4329594073
d	Cldn3	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	0.6322682155
d	Cldn1	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	0.0285691522
d	Ocln	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	2.3132458518
d	Tjp1	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	5.0844895249
d	Cldn2	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	6.1185258489
d	Cldn5	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	0.1763227726
d	Cldn18	B6AL10-3-RNA	B6AL10-3	GSM4073818	KP	KrasG12D;Trp53	4.4073527511
a	Tacstd2	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	3.3950627995
b	Cldn4	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	3.4032677223
c	Epithelial_TJ_core	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	3.6359461360
d	Tacstd2	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	3.3950627995
d	Cldn6	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	0.6415460291
d	Cldn4	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	3.4032677223
d	Cldn7	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	3.2913088598
d	Cldn3	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	5.4171774119
d	Cldn1	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	1.5753123307
d	Ocln	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	3.1651079851
d	Tjp1	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	4.1763227726
d	Cldn2	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	7.0645811092
d	Cldn5	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	6.5407092627
d	Cldn18	B6AL10-4-RNA	B6AL10-4	GSM4073819	KP	KrasG12D;Trp53	5.5825560030
a	Tacstd2	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	3.2600256560
b	Cldn4	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	3.6064422281
c	Epithelial_TJ_core	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	3.7406597837
d	Tacstd2	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	3.2600256560
d	Cldn6	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	0.3673710656
d	Cldn4	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	3.6064422281
d	Cldn7	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	3.0959244200
d	Cldn3	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	5.0789513414
d	Cldn1	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	1.3561438102
d	Ocln	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	3.4880007708
d	Tjp1	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	4.8688842730
d	Cldn2	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	7.0945527860
d	Cldn5	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	5.9345165016
d	Cldn18	B6AL10-5-RNA	B6AL10-5	GSM4073820	KP	KrasG12D;Trp53	5.3750394313
a	Tacstd2	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	5.7032114674
b	Cldn4	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	7.9645141541
c	Epithelial_TJ_core	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	4.9713606497
d	Tacstd2	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	5.7032114674
d	Cldn6	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	8.9141758141
d	Cldn4	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	7.9645141541
d	Cldn7	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	7.2812345846
d	Cldn3	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	8.1501026695
d	Cldn1	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	3.8728287595
d	Ocln	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	4.0617761976
d	Tjp1	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	5.4960148734
d	Cldn2	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	0.2265085298
d	Cldn5	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	0.0143552930
d	Cldn18	KL155mix-control-2-RNA	KL155	GSM4073821	KL	KrasG12D;Lkb1	0.0565835284
a	Tacstd2	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	5.1894292458
b	Cldn4	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	8.5335244149
c	Epithelial_TJ_core	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	4.9766734487
d	Tacstd2	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	5.1894292458
d	Cldn6	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	9.0909063452
d	Cldn4	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	8.5335244149
d	Cldn7	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	7.1365810517
d	Cldn3	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	8.2502984179
d	Cldn1	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	4.8589756143
d	Ocln	KL47-1-untreated-1-RNA	KL47	GSM4073822	KL	KrasG12D;Lkb1	4.1127001327
