gene	in_epithelial_tj_core	per_library_in_watch_genes	drawn_as_heatmap_cell
Cldn1	True	True	True
Cldn3	True	True	True
Cldn4	True	True	True
Cldn7	True	True	True
Ocln	True	True	True
Marveld2	True	False	False
Marveld3	True	False	False
Tjp1	True	True	True
Tjp2	True	False	False
Tjp3	True	False	False
F11r	True	False	False
Jam2	True	False	False
Jam3	True	False	False
Cgn	True	False	False
Cgnl1	True	False	False
Crb3	True	False	False
Ildr1	True	False	False
Lsr	True	False	False
Tacstd2	False	True	True
Cldn6	False	True	True
Cldn2	False	True	True
Cldn5	False	True	True
Cldn18	False	True	True
