gene	mean_fpkm	max_fpkm	n_libs_fpkm_ge1	mean_fpkm_kl	mean_fpkm_kp	delta_log2	welch_t	U	mw_p	cliffs_delta	n_tie_pairs	complete_separation	hits_floor	label
Cldn6	197.80800000000002	544.3	5	395.11800000000005	0.49800000000000005	7.98792309682241	35.301822813636754	25.0	0.007936507936507936	1.0	0	True	True	True
Cldn4	257.477	785.07	10	504.34799999999996	10.606	5.569627161932762	10.188369532619777	25.0	0.007936507936507936	1.0	0	True	True	True
Cldn7	69.22	154.55	9	131.01600000000002	7.4239999999999995	4.27731461673991	7.22229184773099	25.0	0.007936507936507936	1.0	0	True	True	True
Cldn3	182.25099999999998	437.26	9	337.092	27.410000000000004	4.159204185271468	4.580331937451701	25.0	0.007936507936507936	1.0	0	True	True	True
Cldn1	14.385	51.78	8	27.542	1.2280000000000002	3.5684507429078027	7.4256012287658715	25.0	0.007936507936507936	1.0	0	True	True	True
Tacstd2	33.461	94.98	9	59.95399999999999	6.968000000000001	3.2382274886828935	4.647609029620379	25.0	0.007936507936507936	1.0	0	True	True	True
Marveld2	7.861	15.11	10	12.162	3.5599999999999996	1.6001518213320294	5.6160225604966	25.0	0.007936507936507936	1.0	0	True	True	True
Marveld3	3.771	9.38	9	6.088	1.4540000000000002	1.5728956269388084	4.898905947174785	25.0	0.007936507936507936	1.0	0	True	True	True
Ocln	18.409	44.47	10	27.609999999999996	9.208	1.4659925726429774	3.804607712330981	25.0	0.007936507936507936	1.0	0	True	True	True
Cldn12	17.416	39.93	10	25.657999999999998	9.174	1.4216144959010668	3.9459946748157813	24.0	0.015873015873015872	0.92	0	False	False	True
Tjp1	46.604	97.58	10	67.842	25.366	1.3510695179956658	4.760342182518467	25.0	0.007936507936507936	1.0	0	True	True	True
Cgnl1	44.533	111.44	10	65.076	23.990000000000002	1.343203078915959	5.6911863594367285	25.0	0.007936507936507936	1.0	0	True	True	True
Ildr1	4.114	8.64	9	6.244	1.984	1.3034735769818875	4.712490131881413	25.0	0.007936507936507936	1.0	0	True	True	True
Cldn23	5.462000000000001	15.02	9	8.062000000000001	2.862	1.252098442479023	2.8494095833909276	24.0	0.015873015873015872	0.92	0	False	False	True
Tjp3	17.857	38.18	10	22.428	13.285999999999998	0.8890950616658397	1.570737532724713	19.0	0.2222222222222222	0.52	0	False	False	False
Jam2	6.197	12.58	9	8.442	3.9520000000000004	0.8375112414220682	1.485492476878249	21.0	0.09523809523809523	0.68	0	False	False	False
Crb3	20.671	30.77	10	24.048000000000002	17.294	0.7315973961831075	1.228791995593939	20.0	0.15079365079365079	0.6	0	False	False	False
Tjp2	69.571	105.82	10	86.902	52.239999999999995	0.7264934750463352	4.72638637626709	25.0	0.007936507936507936	1.0	0	True	True	False
Cgn	13.9	21.9	10	16.972	10.828	0.630967919779589	2.961691623794279	25.0	0.007936507936507936	1.0	0	True	True	False
Lsr	125.14000000000001	163.71	10	135.164	115.11600000000001	0.22653058261326464	2.185039946530727	22.0	0.05555555555555555	0.76	0	False	False	False
Cldn34b2	0.03300000000000001	0.17	0	0.044000000000000004	0.022000000000000002	0.02870553888423091	0.61070393057492	14.0	0.8412698412698413	0.12	6	False	False	False
Cldn17	0.011	0.04	0	0.016	0.006	0.014104543864848261	0.8666914912510145	16.0	0.5476190476190477	0.28	12	False	False	False
Cldn34b4	0.002	0.02	0	0.004	0.0	0.005713830439354184	1.0	15.0	0.6904761904761905	0.2	20	False	False	False
Cldn34b3	0.002	0.02	0	0.004	0.0	0.005713830439354184	1.0	15.0	0.6904761904761905	0.2	20	False	False	False
Cldn34a	0.0	0.0	0	0.0	0.0	0.0	0.0	12.5	1.0	0.0	25	False	False	False
Cldn34c4	0.0	0.0	0	0.0	0.0	0.0	0.0	12.5	1.0	0.0	25	False	False	False
Cldn34c3	0.0	0.0	0	0.0	0.0	0.0	0.0	12.5	1.0	0.0	25	False	False	False
Cldn34b1	0.0	0.0	0	0.0	0.0	0.0	0.0	12.5	1.0	0.0	25	False	False	False
Cldn34d	0.0	0.0	0	0.0	0.0	0.0	0.0	12.5	1.0	0.0	25	False	False	False
Cldn24	0.0	0.0	0	0.0	0.0	0.0	0.0	12.5	1.0	0.0	25	False	False	False
Cldn25-ps	0.0	0.0	0	0.0	0.0	0.0	0.0	12.5	1.0	0.0	25	False	False	False
Cldn34-ps	0.0	0.0	0	0.0	0.0	0.0	0.0	12.5	1.0	0.0	25	False	False	False
Cldn16	0.005	0.03	0	0.004	0.006	-0.0028150370423445604	-0.2742114391090131	12.0	1.0	-0.04	16	False	False	False
Cldn34c2	0.008	0.05	0	0.006	0.01	-0.005548998096580856	-0.3371224905477193	12.0	1.0	-0.04	16	False	False	False
Cldn14	0.002	0.02	0	0.0	0.004	-0.005713830439354184	-1.0	10.0	0.6904761904761905	-0.2	20	False	False	False
Cldn19	0.01	0.03	0	0.006	0.014000000000000002	-0.011371639325638916	-1.1062380687388216	8.0	0.42063492063492064	-0.36	8	False	False	False
Cldn13	0.006	0.06	0	0.0	0.012	-0.01681285295769491	-1.0	10.0	0.6904761904761905	-0.2	20	False	False	False
Cldnd2	0.047	0.12	0	0.033999999999999996	0.06000000000000001	-0.03635568143722032	-0.878850827426208	8.5	0.5476190476190477	-0.32	5	False	False	False
F11r	131.32	161.84	10	127.888	134.752	-0.09765465232115567	-0.5813288550502962	10.0	0.6904761904761905	-0.2	0	False	False	False
Cldn34c1	0.051000000000000004	0.16	0	0.006	0.096	-0.12164572989807228	-3.057021985727695	3.0	0.05555555555555555	-0.76	4	False	False	False
Cldn11	0.06400000000000002	0.16	0	0.012	0.11600000000000002	-0.13966008665898583	-4.142201455918772	1.0	0.015873015873015872	-0.92	2	False	False	False
