	Tacstd2	Cldn4	Cldn1	Cldn3	Cldn7	Cldn6	Cldn2	Cldn5	Cldn18	Ocln	Tjp1	Stk11	Trp53
KP B6AL10-1	3.403267722339301	3.743084055549586	0.9411063109464314	5.033863451866284	3.5801454844233804	0.632268215499513	7.2512456897991235	5.395062799517578	5.403608583543695	3.48155728070859	4.418189947945766	4.668459556915382	3.237257770900372
KP B6AL10-2	3.028569152196771	4.247927513443585	1.411426245726465	4.963936452144486	3.3881895371560837	0.7048719644563528	7.260496186946641	6.290756138396673	5.37608196665007	3.8787253414801053	4.868884273028773	4.5777309314900805	3.1210154009613658
KP B6AL10-3	0.0	1.5260688116675876	0.02856915219677092	0.632268215499513	0.43295940727610627	0.5459683691052925	6.118525848935668	0.17632277264046287	4.40735275114004	2.3132458517875616	5.084489524936252	4.458775699080244	1.8073549220576042
KP B6AL10-4	3.3950627995175777	3.403267722339301	1.5753123306874368	5.417177411906387	3.29130885982897	0.6415460290875237	7.064581109190573	6.540709262671431	5.582556003014061	3.1651079851445365	4.176322772640463	4.753818443173543	3.3088850574117634
KP B6AL10-5	3.2600256559614555	3.6064422281316078	1.3561438102252754	5.078951341394822	3.0959244199985356	0.36737106564852945	7.094552786039102	5.93451650158608	5.3750394313469245	3.488000770834068	4.868884273028773	4.720278465233327	3.0531113364595623
KL KL155	5.703211467391146	7.9645141540866495	3.8728287595348854	8.150102669536803	7.281234584647019	8.914175814063894	0.22650852980867975	0.014355292977070054	0.056583528366367514	4.06177619758669	5.496014873437763	2.62993940943954	6.108524456778169
KL KL47	5.189429245809757	8.533524414856684	4.85897561429202	8.250298417906333	7.136581051666501	9.090906345231911	0.11103131238874395	0.0	0.02856915219677092	4.112700132749362	5.490890978894291	2.5310694927259543	6.253232938538032
KL KLC	5.7398481026993275	9.168446483540569	5.721919445551544	8.315511889134802	6.917909073852982	7.909473111409926	0.12432813500220177	0.0	0.014355292977070054	4.896756218474805	6.268471822912371	1.8639384504239715	4.6117625600648715
KL KLD	6.584661907941469	9.618513980828808	3.612352498752662	8.775643199837265	7.034083626615416	8.687305690470208	0.43295940727610627	0.0	0.02856915219677092	5.506843098969815	6.2935176304174245	1.7612852733616193	4.92837032301897
KL KLE	6.060912049587874	9.08992710748277	5.088735246190284	8.430661622753629	6.8052924556007115	8.229780166733326	0.8073549220576041	0.0	0.02856915219677092	5.0785244453890765	6.623223075896506	1.7782085763980877	4.789729251375769
