cohort,genes,samples,dropped_samples,qc_threshold,median_detected_genes,lusc_pathology,has_TACSTD2,has_CLDN4
FRANCE3,33976,43,0,8736,21840,11,1,1
FRANCE4,16383,61,9,2994,7587,11,0,1
NEOCHEMO,58387,24,0,10650,26625,12,1,1
PLA,59328,27,0,18075,45189,9,1,1
DURVART,20187,32,0,7534,18835,10,1,1
SMC,51241,27,0,9133,22833,0,1,1
YUHS,18745,16,0,6875,17188,0,1,1
