analysis_set,cohort,n,n_with_benefit,n_benefit,n_nobenefit,n_with_pfs,n_TACSTD2,n_CLDN4
primary_pathology_LUSC,DURVART,10,0,0,0,0,10,10
primary_pathology_LUSC,FRANCE3,11,11,5,6,11,11,11
primary_pathology_LUSC,FRANCE4,11,10,1,9,11,0,11
primary_pathology_LUSC,NEOCHEMO,12,12,4,8,0,12,12
primary_pathology_LUSC,PLA,9,9,2,7,0,9,9
sensitivity_LUSC_plus_inferred,DURVART,10,0,0,0,0,10,10
sensitivity_LUSC_plus_inferred,FRANCE3,11,11,5,6,11,11,11
sensitivity_LUSC_plus_inferred,FRANCE4,11,10,1,9,11,0,11
sensitivity_LUSC_plus_inferred,NEOCHEMO,12,12,4,8,0,12,12
sensitivity_LUSC_plus_inferred,PLA,9,9,2,7,0,9,9
sensitivity_LUSC_plus_inferred,SMC,11,11,1,10,11,11,11
sensitivity_LUSC_plus_inferred,YUHS,7,7,2,5,0,7,7
contrast_pathology_nonLUSC,DURVART,20,0,0,0,0,20,20
contrast_pathology_nonLUSC,FRANCE3,14,14,4,10,14,14,14
contrast_pathology_nonLUSC,FRANCE4,48,48,15,33,48,0,48
contrast_pathology_nonLUSC,NEOCHEMO,8,8,3,5,0,8,8
contrast_pathology_nonLUSC,PLA,16,16,3,13,0,16,16
