analysis_set,stratum,gene,dropped,k,estimate,se,ci_low,ci_high,p,tau2,q,i2
primary_pathology_LUSC,LUSC,TACSTD2,FRANCE3,2,0.10441320842923985,0.48741449795569747,-0.8509192075639271,1.0597456244224068,0.8303766607401826,0.0,0.07098356773910981,0.0
primary_pathology_LUSC,LUSC,TACSTD2,NEOCHEMO,2,-0.4468219774559287,0.6256713186810854,-1.673137762070856,0.7794938071589985,0.4751356115619665,0.26444881342315707,1.494631752418627,33.093887616010385
primary_pathology_LUSC,LUSC,TACSTD2,PLA,2,-0.46856743741619106,0.4968018220656004,-1.4422990086647678,0.5051641338323858,0.3455951261496918,0.09668779468512885,1.2429304520607924,19.544975477751876
primary_pathology_LUSC,LUSC,CLDN4,FRANCE3,2,0.45069266231188676,0.6554031575648004,-0.8338975265151221,1.7352828511388956,0.4916687148470835,0.33347183667333097,1.589064162662308,37.069879020831586
primary_pathology_LUSC,LUSC,CLDN4,NEOCHEMO,2,0.20007313456349723,0.9648486360430089,-1.6910301920808002,2.0911764612077945,0.8357270020446049,1.3051246553398062,3.271945828515654,69.43714681078144
primary_pathology_LUSC,LUSC,CLDN4,PLA,2,-0.36998413945267244,0.43787458682579855,-1.2282183296312377,0.4882500507258927,0.39813619655276145,0.0,0.46532099369442453,0.0
sensitivity_LUSC_plus_inferred,LUSC,TACSTD2,FRANCE3,3,0.13583315315428385,0.4215555841125289,-0.6904157917062728,0.9620820980148406,0.7472869094289147,0.0,0.08747455591677042,0.0
sensitivity_LUSC_plus_inferred,LUSC,TACSTD2,NEOCHEMO,3,-0.2971375385072295,0.4370046993726755,-1.1536667492776735,0.5593916722632144,0.4965416367422941,0.010108800180276682,2.034932341992718,1.7166340753378775
sensitivity_LUSC_plus_inferred,LUSC,TACSTD2,YUHS,3,-0.290029764469509,0.3897081856110874,-1.0538578082672403,0.47379827932822227,0.45674162310462896,0.0,1.886438540204819,0.0
sensitivity_LUSC_plus_inferred,LUSC,TACSTD2,PLA,3,-0.311042531414964,0.3934498591793876,-1.0822042554065636,0.46011919257663564,0.42920552825942004,0.0,1.772972234973472,0.0
sensitivity_LUSC_plus_inferred,LUSC,CLDN4,FRANCE3,3,0.26410864645637055,0.42976863490244777,-0.5782378779524271,1.1064551708651682,0.5388606556038666,0.0,1.7486764691333962,0.0
sensitivity_LUSC_plus_inferred,LUSC,CLDN4,NEOCHEMO,3,0.06941231864190069,0.567502831013612,-1.0428932301447789,1.1817178674285802,0.9026520510084475,0.3787279160221563,3.272029755741744,38.87586148963321
sensitivity_LUSC_plus_inferred,LUSC,CLDN4,YUHS,3,0.027830336859485456,0.5099745400691389,-0.9717197616760268,1.0273804353949978,0.9564794364914245,0.30525530463097145,3.2784097095207105,38.99481220446997
sensitivity_LUSC_plus_inferred,LUSC,CLDN4,PLA,3,-0.2953168591556089,0.38795780669323027,-1.05571416027434,0.46508044196312237,0.44653242038215135,0.0,0.6005662956161005,0.0
