cohort,signature,genes_present,genes_total,fraction
YUHS,IFNG_6,6,6,1.0
YUHS,TIS_18,18,18,1.0
YUHS,IFNG_EXPANDED,18,18,1.0
YUHS,CD8_T_CELL,8,8,1.0
YUHS,NK_CELL,6,6,1.0
YUHS,B_CELL,6,6,1.0
YUHS,TLS_CABRITA,9,9,1.0
YUHS,TREG,5,5,1.0
YUHS,M2_MACROPHAGE,6,6,1.0
YUHS,ANTIGEN_PRESENTATION,9,9,1.0
YUHS,MHC_II,7,7,1.0
YUHS,CHECKPOINT,8,8,1.0
YUHS,TYPE_I_IFN,9,9,1.0
YUHS,TGFB_FTBRS,25,27,0.9259259259259259
YUHS,PROLIFERATION,10,10,1.0
YUHS,EPITHELIAL,8,8,1.0
YUHS,SQUAMOUS_MARKERS,12,12,1.0
YUHS,ADENO_MARKERS,12,12,1.0
