analysis_set,stratum,gene,signature,n_total,k,estimate,se,ci_low,ci_high,p,tau2,q,i2,rho,rho_ci_low,rho_ci_high
primary_pathology_LUSC,LUSC,TACSTD2,CYT,42,4,-0.3274321674083182,0.18257418583505536,-0.6852775716450268,0.03041323682839031,0.07290581730926428,0.0,0.20720600708948797,0.0,-0.31621158137875677,-0.5949396610243115,0.030403863236864646
primary_pathology_LUSC,LUSC,TACSTD2,IFNG_6,42,4,0.04041684825220356,0.18257418583505536,-0.317428555984505,0.39826225248891206,0.8248026406185112,0.0,0.9089661753755021,0.0,0.040394855357259896,-0.3071799606271616,0.3784610972111145
primary_pathology_LUSC,LUSC,TACSTD2,TIS_18,42,4,-0.27551565855114535,0.18257418583505536,-0.6333610627878539,0.08232974568556317,0.1312830897581537,0.0,0.3082298629104478,0.0,-0.268749662688571,-0.5603622270584754,0.08214423317341837
primary_pathology_LUSC,LUSC,TACSTD2,CD8_T_CELL,42,4,-0.3328122681463482,0.18257418583505536,-0.6906576723830566,0.02503313609036034,0.06832037594920357,0.0,0.2049611278476107,0.0,-0.32104545684168173,-0.5984043346100274,0.025027908329911443
primary_pathology_LUSC,LUSC,TACSTD2,CHECKPOINT,42,4,-0.43216395102665134,0.18257418583505536,-0.7900093552633598,-0.07431854678994282,0.0179300526448274,0.0,0.10758031586896441,0.0,-0.40712816662837276,-0.6584143356562991,-0.07418202185775245
primary_pathology_LUSC,LUSC,TACSTD2,ANTIGEN_PRESENTATION,42,4,0.09367774791305203,0.19785881585806725,-0.2941255311687597,0.48148102699486384,0.6358867879367086,0.022824491502022017,0.815764236972842,14.52375285844257,0.09340468272437197,-0.2859275152846097,0.44742893111854454
primary_pathology_LUSC,LUSC,TACSTD2,TGFB_FTBRS,42,4,0.0014388245004171277,0.18257418583505536,-0.3564065797362914,0.3592842287371256,0.9937121232870678,0.0,0.9937121232870678,0.0,0.0014388235075254766,-0.34204493394694374,0.3445834075711195
primary_pathology_LUSC,LUSC,TACSTD2,EPITHELIAL,42,4,0.90703113619456,0.18257418583505536,0.5491857319578515,1.2648765404312685,6.76420327194339e-07,0.0,1.8263348834247154e-05,0.0,0.7197042405451725,0.49990968528077895,0.8524029553650231
primary_pathology_LUSC,LUSC,TACSTD2,PROLIFERATION,42,4,0.37188959914816944,0.18257418583505536,0.014044194911460917,0.729735003384878,0.04165773646373015,0.0,0.1606798406458163,0.0,0.35564341890926965,0.014043271628061248,0.6229032006384523
primary_pathology_LUSC,LUSC,CLDN4,CYT,42,4,-0.3198684806352296,0.2678465441906329,-0.84484770724887,0.2051107459784109,0.23239078188154438,0.15202972660979905,0.4183034073867799,53.09077503644565,-0.30938799584385623,-0.6883681994398931,0.2022819745505395
primary_pathology_LUSC,LUSC,CLDN4,IFNG_6,53,5,-0.05546309142919586,0.16222142113076254,-0.37341707684549047,0.26249089398709874,0.7324280631225699,0.0,0.8598068567091038,0.0,-0.055406290306821246,-0.3569769723305002,0.2566238702815719
primary_pathology_LUSC,LUSC,CLDN4,TIS_18,53,5,-0.18007696708334545,0.16222142113076254,-0.49803095249964,0.13787701833294916,0.26696930409234676,0.0,0.45051070065583515,0.0,-0.17815539333767735,-0.46056719596312745,0.13700992709967388
primary_pathology_LUSC,LUSC,CLDN4,CD8_T_CELL,53,5,-0.23459512083835476,0.17524241713786454,-0.5780702584285693,0.10888001675185971,0.18067189288760532,0.021633357057523346,0.37758304649092866,14.065236996480875,-0.23038415911492394,-0.5212614389440579,0.10845179486023608
primary_pathology_LUSC,LUSC,CLDN4,CHECKPOINT,53,5,-0.1679966742768358,0.23728034047070318,-0.633066141599414,0.2970727930457424,0.47893951748236807,0.14863087817532739,0.7184092762235521,52.93032128483621,-0.16643386456999323,-0.5601598794066216,0.2886315385921674
primary_pathology_LUSC,LUSC,CLDN4,ANTIGEN_PRESENTATION,53,5,-0.1008447127718449,0.16222142113076254,-0.41879869818813953,0.2171092726444497,0.5341729832012534,0.0,0.7311121434489077,0.0,-0.10050424566224109,-0.39591791750648864,0.21376113377384823
primary_pathology_LUSC,LUSC,CLDN4,TGFB_FTBRS,53,5,0.1851183011813401,0.16222142113076254,-0.1328356842349545,0.5030722865976347,0.25380923475324046,0.0,0.44211931215080597,0.0,0.183032297335371,-0.1320598503683836,0.46452991696753104
primary_pathology_LUSC,LUSC,CLDN4,EPITHELIAL,53,5,0.8420771568448393,0.16222142113076254,0.5241231714285447,1.160031142261134,2.0926627538581237e-07,0.0,1.1300378870833868e-05,0.0,0.6869076948229964,0.480876013428935,0.8210500301342706
primary_pathology_LUSC,LUSC,CLDN4,PROLIFERATION,53,5,0.06949733009845936,0.16222142113076254,-0.24845665531783523,0.387451315514754,0.6683524162588088,0.0,0.8202506926812654,0.0,0.06938565794282313,-0.24346734804995437,0.36916095162968293
primary_pathology_LUSC,LUSC,ACTB,CYT,42,4,0.10269035598069755,0.3385833302174191,-0.5609329712454438,0.7663136832068389,0.7616656755462079,0.3230748549969834,0.8751052442445793,70.63239733987702,0.10233090492797804,-0.5086693311317781,0.6447808082041222
primary_pathology_LUSC,LUSC,ACTB,IFNG_6,53,5,0.29330440820457077,0.2691915722647039,-0.2343110734342489,0.8209198898433905,0.275900399181516,0.22917226574476443,0.45147338047884433,63.42180413067678,0.2851733459583031,-0.23011517045994884,0.6755702422292107
