analysis_set,stratum,cohort,gene,n,events,hr,hr_lo,hr_hi,p,note
primary_pathology_LUSC,LUSC,FRANCE3,TACSTD2,11,7,4.080676822936819,0.8200226170844754,20.306663482597962,0.08586783591284078,ok
primary_pathology_LUSC,LUSC,FRANCE4,TACSTD2,0,0,,,,,too few events
primary_pathology_LUSC,LUSC,POOLED_within_cohort_z,TACSTD2,11,7,4.080676822936819,0.8200226170844754,20.306663482597962,0.08586783591284078,ok
primary_pathology_LUSC,LUSC,FRANCE3,CLDN4,11,7,1.7448994488010017,0.6920977478362699,4.399196639412156,0.23803014128880712,ok
primary_pathology_LUSC,LUSC,FRANCE4,CLDN4,11,9,1.0332131535361497,0.5132459507704047,2.079956829737686,0.927073988666292,ok
primary_pathology_LUSC,LUSC,POOLED_within_cohort_z,CLDN4,22,16,1.2448929885599231,0.7718490551141992,2.007851849655192,0.3691063188126872,ok
sensitivity_LUSC_plus_inferred,LUSC,FRANCE3,TACSTD2,11,7,4.080676822936819,0.8200226170844754,20.306663482597962,0.08586783591284078,ok
sensitivity_LUSC_plus_inferred,LUSC,FRANCE4,TACSTD2,0,0,,,,,too few events
sensitivity_LUSC_plus_inferred,LUSC,SMC,TACSTD2,11,10,1.0438176488782709,0.5560727537139267,1.959375417753854,0.893820237642363,ok
sensitivity_LUSC_plus_inferred,LUSC,POOLED_within_cohort_z,TACSTD2,22,17,1.5556764901993916,0.8082918820908914,2.9941279824544336,0.18588400403040356,ok
sensitivity_LUSC_plus_inferred,LUSC,FRANCE3,CLDN4,11,7,1.7448994488010017,0.6920977478362699,4.399196639412156,0.23803014128880712,ok
sensitivity_LUSC_plus_inferred,LUSC,FRANCE4,CLDN4,11,9,1.0332131535361497,0.5132459507704047,2.079956829737686,0.927073988666292,ok
sensitivity_LUSC_plus_inferred,LUSC,SMC,CLDN4,11,10,1.6910401237729218,0.6125072263908281,4.668706877239806,0.3106301876679745,ok
sensitivity_LUSC_plus_inferred,LUSC,POOLED_within_cohort_z,CLDN4,33,26,1.2755523412375125,0.8665040528659748,1.8776989788507759,0.21733148671480382,ok
contrast_pathology_nonLUSC,non-LUSC,FRANCE3,TACSTD2,14,12,1.107473742686809,0.5446780224858897,2.2517855321994418,0.7779899092628538,ok
contrast_pathology_nonLUSC,non-LUSC,FRANCE4,TACSTD2,0,0,,,,,too few events
contrast_pathology_nonLUSC,non-LUSC,POOLED_within_cohort_z,TACSTD2,14,12,1.107473742686809,0.5446780224858897,2.2517855321994418,0.7779899092628537,ok
contrast_pathology_nonLUSC,non-LUSC,FRANCE3,CLDN4,14,12,0.5058783530230935,0.24804806310498584,1.0317069395903447,0.06091405095026559,ok
contrast_pathology_nonLUSC,non-LUSC,FRANCE4,CLDN4,48,33,0.9490881146177023,0.6980996518114906,1.290314709327231,0.7387959010563641,ok
contrast_pathology_nonLUSC,non-LUSC,POOLED_within_cohort_z,CLDN4,62,45,0.8387119827079441,0.6496826621102931,1.0827405916189772,0.1770580766450875,ok
