analysis_set,stratum,cohort,gene,n_benefit,n_nobenefit,median_benefit,median_nobenefit,mean_benefit,mean_nobenefit,hedges_g,hedges_g_se,mw_u,mw_p,auc,rank_biserial,permutation_p
primary_pathology_LUSC,LUSC,FRANCE3,TACSTD2,5,6,6.1044,7.2324,5.30434,7.034366666666666,-0.9890348163100248,0.6488532563031406,7.0,0.17748917748917747,0.23333333333333334,-0.5333333333333333,0.10368963103689631
primary_pathology_LUSC,LUSC,NEOCHEMO,TACSTD2,4,8,7.46885,6.4482,6.4209,6.4047375,0.005644896375521692,0.6123737365716744,16.0,1.0,0.5,0.0,0.9931006899310069
primary_pathology_LUSC,LUSC,PLA,TACSTD2,2,7,8.0315,8.091,8.0315,7.499828571428572,0.2751539164521596,0.805149040228798,7.0,1.0,0.5,0.0,0.7550244975502449
primary_pathology_LUSC,LUSC,FRANCE3,CLDN4,5,6,3.9574,4.1382,3.53782,4.125299999999999,-0.6752494599619746,0.6260973403721278,9.0,0.32900432900432897,0.3,-0.4,0.25637436256374363
primary_pathology_LUSC,LUSC,NEOCHEMO,CLDN4,4,8,5.9603,6.36295,5.410024999999999,5.5963625,-0.07772058715371519,0.6126189880205933,12.0,0.5696969696969697,0.375,-0.25,0.915008499150085
primary_pathology_LUSC,LUSC,PLA,CLDN4,2,7,6.98695,4.8567,6.98695,5.394128571428572,1.263604335855896,0.8700039374949411,12.0,0.2222222222222222,0.8571428571428571,0.7142857142857142,0.11638836116388361
primary_pathology_LUSC,LUSC,FRANCE3,ACTB,5,6,10.2426,10.19,10.21448,10.205066666666665,0.010934564322766085,0.6055355556446124,14.0,0.9307359307359306,0.4666666666666667,-0.06666666666666665,0.9823017698230176
primary_pathology_LUSC,LUSC,NEOCHEMO,ACTB,4,8,11.186250000000001,11.068249999999999,11.077675,11.135,-0.12256096283165036,0.6129853664489153,15.0,0.9333333333333333,0.46875,-0.0625,0.8435156484351565
primary_pathology_LUSC,LUSC,PLA,ACTB,2,7,11.38425,11.3302,11.38425,11.287757142857142,0.18330337818408235,0.803279000119141,8.0,0.8888888888888888,0.5714285714285714,0.1428571428571428,0.7722227777222278
primary_pathology_LUSC,LUSC,FRANCE3,GAPDH,5,6,8.7812,8.7755,8.71716,8.969483333333335,-0.19117613548173337,0.6072043548911378,13.0,0.7922077922077921,0.43333333333333335,-0.1333333333333333,0.7389261073892611
primary_pathology_LUSC,LUSC,NEOCHEMO,GAPDH,4,8,10.654,11.7265,11.031375,11.500675000000001,-0.3750800490337863,0.6180891943394249,12.0,0.5696969696969697,0.375,-0.25,0.5173482651734826
primary_pathology_LUSC,LUSC,PLA,GAPDH,2,7,9.92185,9.9288,9.92185,9.695314285714288,0.19067301188854768,0.8034015273227174,6.0,0.8888888888888888,0.42857142857142855,-0.1428571428571429,0.8067193280671933
primary_pathology_LUSC,LUSC,FRANCE3,PPIA,5,6,8.8008,8.33895,8.39498,8.346033333333335,0.059890304528404756,0.6056945897331658,16.0,0.9307359307359306,0.5333333333333333,0.06666666666666665,0.9022097790220978
primary_pathology_LUSC,LUSC,NEOCHEMO,PPIA,4,8,10.23095,10.7046,10.39265,10.7451375,-0.47158931925712316,0.6213854072167047,10.0,0.3676767676767677,0.3125,-0.375,0.4163583641635836
primary_pathology_LUSC,LUSC,PLA,PPIA,2,7,8.4339,8.0716,8.4339,7.760542857142857,0.8792141614490613,0.8355074395536343,12.0,0.2222222222222222,0.8571428571428571,0.7142857142857142,0.280971902809719
sensitivity_LUSC_plus_inferred,LUSC,FRANCE3,TACSTD2,5,6,6.1044,7.2324,5.30434,7.034366666666666,-0.9890348163100248,0.6488532563031406,7.0,0.17748917748917747,0.23333333333333334,-0.5333333333333333,0.10288971102889712
sensitivity_LUSC_plus_inferred,LUSC,NEOCHEMO,TACSTD2,4,8,7.46885,6.4482,6.4209,6.4047375,0.005644896375521692,0.6123737365716744,16.0,1.0,0.5,0.0,0.9921007899210079
sensitivity_LUSC_plus_inferred,LUSC,PLA,TACSTD2,2,7,8.0315,8.091,8.0315,7.499828571428572,0.2751539164521596,0.805149040228798,7.0,1.0,0.5,0.0,0.7486251374862514
