dataset,gene,signature,genes_present,genes_total,n,rho,p,partial_rho_epithelial,partial_p_epithelial,q
TCGA-LUSC,TACSTD2,CYT,2,2,501,-0.20537067342977794,3.5723117337252476e-06,-0.15319125993538069,0.0005877700449508541,9.185944458150636e-06
TCGA-LUSC,TACSTD2,IFNG_6,6,6,501,-0.24709405339290985,2.094278061594639e-08,-0.20638291195850625,3.2634298247920793e-06,7.031405593301974e-08
TCGA-LUSC,TACSTD2,TIS_18,18,18,501,-0.24738653630997515,2.0130673561249995e-08,-0.2020399347270646,5.2764459829522236e-06,7.031405593301974e-08
TCGA-LUSC,TACSTD2,CD8_T_CELL,8,8,501,-0.28528029859408394,7.761511257436706e-11,-0.23135643541960793,1.6815722026645906e-07,6.985360131693035e-10
TCGA-LUSC,TACSTD2,CHECKPOINT,8,8,501,-0.2671129106683584,1.2431278862269816e-09,-0.21755381101265403,9.041801047897775e-07,7.45876731736189e-09
TCGA-LUSC,TACSTD2,ANTIGEN_PRESENTATION,9,9,501,-0.08939695032405524,0.04550217958936289,-0.05112407369183974,0.25384740892928986,0.063003017892964
TCGA-LUSC,TACSTD2,TGFB_FTBRS,27,27,501,-0.05167328618013203,0.2483005628241786,-0.024445041947145866,0.5855326573141232,0.2793381331772009
TCGA-LUSC,TACSTD2,EPITHELIAL,8,8,501,0.2462595466686893,2.3438018644339912e-08,,,7.031405593301974e-08
TCGA-LUSC,TACSTD2,PROLIFERATION,10,10,501,-0.1806162171328535,4.780067107649764e-05,-0.28586820330869905,7.385963896311661e-11,0.00010755150992211968
TCGA-LUSC,CLDN4,CYT,2,2,501,-0.11323990673756346,0.011197173435584122,0.018932242094942334,0.6727943141532386,0.02015491218405142
TCGA-LUSC,CLDN4,IFNG_6,6,6,501,-0.09148704729914306,0.04066431165442378,0.019399415763318106,0.665204292468671,0.063003017892964
TCGA-LUSC,CLDN4,TIS_18,18,18,501,-0.07714192714112844,0.08454042943097487,0.050183235035540806,0.26270162478021825,0.10869483783982482
TCGA-LUSC,CLDN4,CD8_T_CELL,8,8,501,-0.1148470838972117,0.010090213955220676,0.03956724758227088,0.3773000861076645,0.02015491218405142
TCGA-LUSC,CLDN4,CHECKPOINT,8,8,501,-0.09073121980282468,0.042361087312246824,0.05053553494408352,0.2593615565659031,0.063003017892964
TCGA-LUSC,CLDN4,ANTIGEN_PRESENTATION,9,9,501,-0.02096172404820167,0.6397371474910172,0.07551938636723347,0.09163262094239032,0.6773687444022535
TCGA-LUSC,CLDN4,TGFB_FTBRS,27,27,501,-0.06153822370567644,0.16904622300357233,-0.0031239120754436114,0.9444498457341337,0.2028554676042868
TCGA-LUSC,CLDN4,EPITHELIAL,8,8,501,0.5153294469840239,2.4755368218424255e-35,,,4.455966279316366e-34
TCGA-LUSC,CLDN4,PROLIFERATION,10,10,501,0.0012205557214393112,0.9782591373215029,-0.2079999125047717,2.72168181417481e-06,0.9782591373215028
