analysis_set,stratum,cohort,n,rho,p
primary_pathology_LUSC,LUSC,DURVART,10,0.5636363636363636,0.0897240283170912
primary_pathology_LUSC,LUSC,FRANCE3,11,0.33636363636363636,0.31182431390038634
primary_pathology_LUSC,LUSC,NEOCHEMO,12,0.7272727272727274,0.0073550288578051294
primary_pathology_LUSC,LUSC,PLA,9,0.5333333333333333,0.13922686754397814
sensitivity_LUSC_plus_inferred,LUSC,DURVART,10,0.5636363636363636,0.0897240283170912
sensitivity_LUSC_plus_inferred,LUSC,FRANCE3,11,0.33636363636363636,0.31182431390038634
sensitivity_LUSC_plus_inferred,LUSC,NEOCHEMO,12,0.7272727272727274,0.0073550288578051294
sensitivity_LUSC_plus_inferred,LUSC,PLA,9,0.5333333333333333,0.13922686754397814
sensitivity_LUSC_plus_inferred,LUSC,SMC,11,0.3181818181818182,0.34029761418190335
sensitivity_LUSC_plus_inferred,LUSC,YUHS,7,0.4642857142857144,0.29393410760025196
contrast_pathology_nonLUSC,non-LUSC,DURVART,20,0.831578947368421,5.522372803574219e-06
contrast_pathology_nonLUSC,non-LUSC,FRANCE3,14,0.2087912087912088,0.473778837309814
contrast_pathology_nonLUSC,non-LUSC,NEOCHEMO,8,0.8571428571428572,0.0065300172547152905
contrast_pathology_nonLUSC,non-LUSC,PLA,16,0.31764705882352945,0.2305734636218452
