cohort,histology_final,histology_tier,n
DURVART,LUSC,pathology,10
DURVART,NA,unlabelled,2
DURVART,non-LUSC,pathology,20
FRANCE3,LUSC,pathology,11
FRANCE3,NA,unlabelled,18
FRANCE3,non-LUSC,pathology,14
FRANCE4,LUSC,pathology,11
FRANCE4,NA,unlabelled,2
FRANCE4,non-LUSC,pathology,48
NEOCHEMO,LUSC,pathology,12
NEOCHEMO,NA,unlabelled,4
NEOCHEMO,non-LUSC,pathology,8
PLA,LUSC,pathology,9
PLA,NA,unlabelled,2
PLA,non-LUSC,pathology,16
SMC,LUSC,inferred_highconf,11
SMC,indeterminate,inferred_indeterminate,7
SMC,non-LUSC,inferred_highconf,9
YUHS,LUSC,inferred_highconf,7
YUHS,indeterminate,inferred_indeterminate,7
YUHS,non-LUSC,inferred_highconf,2
