analysis_set,stratum,gene,n_total,n_benefit,n_nobenefit,k,estimate,se,ci_low,ci_high,p,tau2,q,i2
primary_pathology_LUSC,LUSC,TACSTD2,32,11,21,3,-0.290029764469509,0.3897081856110874,-1.0538578082672403,0.47379827932822227,0.45674162310462896,0.0,1.886438540204819,0.0
primary_pathology_LUSC,LUSC,CLDN4,32,11,21,3,0.027830336859485456,0.5099745400691389,-0.9717197616760268,1.0273804353949978,0.9564794364914245,0.30525530463097145,3.2784097095207105,38.99481220446997
primary_pathology_LUSC,LUSC,ACTB,32,11,21,3,-0.0017694368106408074,0.3796405020203373,-0.7458648207705019,0.7423259471492203,0.9962812155354246,0.0,0.09235325805356553,0.0
primary_pathology_LUSC,LUSC,GAPDH,32,11,21,3,-0.17515415644306606,0.381270902157077,-0.922445124670937,0.5721368117848048,0.645950142050224,0.0,0.3126629974342401,0.0
primary_pathology_LUSC,LUSC,PPIA,32,11,21,3,0.029842375806841827,0.38495217809993293,-0.7246638932690267,0.7843486448827103,0.9382080568391745,0.0,1.6871048767396137,0.0
sensitivity_LUSC_plus_inferred,LUSC,TACSTD2,39,13,26,4,-0.19804478683120078,0.35350012842373074,-0.890905038541713,0.4948154648793115,0.5753159881066431,0.0,2.200864237240337,0.0
sensitivity_LUSC_plus_inferred,LUSC,CLDN4,39,13,26,4,-0.024725342111662538,0.37238631237663666,-0.7546025143698704,0.7051518301465453,0.9470617412089114,0.04821464134819978,3.2787531895222557,8.501804601000558
sensitivity_LUSC_plus_inferred,LUSC,ACTB,39,13,26,4,0.08236546346954374,0.3467604709594338,-0.5972850596109465,0.762015986550034,0.8122468814107272,0.0,0.38872973571703173,0.0
sensitivity_LUSC_plus_inferred,LUSC,GAPDH,39,13,26,4,-0.2621995905382206,0.3489748600163981,-0.9461903161703609,0.42179113509391963,0.45244664967391757,0.0,0.633935563802174,0.0
sensitivity_LUSC_plus_inferred,LUSC,PPIA,39,13,26,4,-0.12468542690364531,0.35324277264986714,-0.817041261297385,0.5676704074900942,0.7241081183242328,0.0,2.7072315168286494,0.0
contrast_pathology_nonLUSC,non-LUSC,TACSTD2,38,10,28,3,0.16645127385372332,0.37969952677645746,-0.5777597986281333,0.9106623463355799,0.6611135234341501,0.0,1.826042012996838,0.0
contrast_pathology_nonLUSC,non-LUSC,CLDN4,86,25,61,4,0.4579213140845101,0.33042823621716416,-0.18971802890113165,1.1055606570701517,0.16579516704142072,0.14000033790556748,4.339236993998378,30.863421284679404
contrast_pathology_nonLUSC,non-LUSC,ACTB,86,25,61,4,0.34642722018524275,0.3756905107933179,-0.38992618096966025,1.0827806213401456,0.3564722519054254,0.25383807773202477,5.487302910494309,45.328332535413956
contrast_pathology_nonLUSC,non-LUSC,GAPDH,86,25,61,4,0.20009966003090043,0.35267812050294467,-0.49114945615487116,0.891348776216672,0.5704615279551968,0.19583542473561802,4.927486535498462,39.11703302713293
contrast_pathology_nonLUSC,non-LUSC,PPIA,38,10,28,3,0.32563479256956795,0.585506124983002,-0.8219572123971159,1.4732267975362519,0.578101824242585,0.5612622847378764,4.407907211363283,54.62699407909184
