endpoint	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1
CD8A	23	23	0.080712392	-0.129812645	293.0	0.5384642123452066	0.10775047258979198
CD274	23	23	-0.070186029	-0.130507192	259.0	0.9125315861561896	-0.020793950850661602
