gene	named_probe	present	gpl570_symbol	used	n_probes_for_symbol	collapsed_probe
CLDN4	201428_at	True	CLDN4	named	2	201428_at
CD8A	205758_at	True	CD8A	named	1	205758_at
CD274	223834_at	True	CD274	named	2	223834_at
TACSTD2	202286_s_at	True	TACSTD2	named	4	202286_s_at
CD274	227458_at	True	CD274	companion_probe	2	223834_at
