subset	gene_x	gene_y	n	n_arrays	present	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	verdict	q_bh_immune
tumor	CLDN4	CD8A	91	91	True	0.12111801242236025	0.25277453866276794	-0.07937484985330907	0.3207648565524986	0.0821200716984663	0.4416141863715087	NO_EVIDENCE	0.4002263528827159
tumor	CLDN4	CD274	91	91	True	0.03578595317725753	0.736294065547171	-0.16306421286117623	0.23498966196091822	-0.07020950354752489	0.5108161356502685	NO_EVIDENCE	0.736294065547171
tumor	CLDN4	CD8B	91	91	True	0.047412197054831344	0.6553933088446714	-0.15906850495654193	0.24850703679157335	-0.001727981822750694	0.9871036082851736	NO_EVIDENCE	0.732498404002868
tumor	CLDN4	PDCD1	91	91	True	0.04123268036311515	0.6979698580156742	-0.16498194666151877	0.2347450432738712	0.0008488165647423269	0.9936648486582282	NO_EVIDENCE	0.736294065547171
tumor	CLDN4	CD2	91	91	True	0.17916865742952698	0.08926022518904625	-0.03547651653602096	0.37949341067359327	0.1498448328948921	0.1586417413928805	NO_EVIDENCE	0.30341612369600124
tumor	CLDN4	CD3D	91	91	True	0.16083771301162605	0.12775415734568474	-0.04442891645219963	0.3563899412991036	0.1288689352204953	0.22607805213148746	NO_EVIDENCE	0.30341612369600124
tumor	CLDN4	CD3E	91	91	True	0.16580665711100495	0.11624703222619999	-0.04648076202544537	0.3544075883460136	0.1494818792010675	0.15966443878768505	NO_EVIDENCE	0.30341612369600124
tumor	CLDN4	GZMA	91	91	True	0.10439560439560441	0.3247233389127389	-0.11941919638182211	0.3226755025210345	0.0947324225985636	0.3744613293995539	NO_EVIDENCE	0.4745956491801569
tumor	CLDN4	GZMB	91	91	True	0.1746456442108616	0.09777573946189541	-0.04395947205973707	0.37198248289252467	0.09514302734966144	0.37238502763777476	NO_EVIDENCE	0.30341612369600124
tumor	CLDN4	GZMK	91	91	True	0.08006051919095397	0.45061921826947415	-0.12762012165994027	0.2922572849730602	0.10082583225339194	0.34437327827269787	NO_EVIDENCE	0.611554653365715
tumor	CLDN4	PRF1	91	91	True	0.16631629240324894	0.11511361758505696	-0.03790679712288896	0.36025612169072374	0.14879593282405307	0.16161060461900512	NO_EVIDENCE	0.30341612369600124
tumor	CLDN4	IFNG	91	91	True	0.12236024844720499	0.24790441469964467	-0.09193410200994546	0.33649025460336623	0.11147404608426187	0.2955530607573998	NO_EVIDENCE	0.4002263528827159
tumor	CLDN4	STAT1	91	91	True	0.1699315177576047	0.1073171046814987	-0.03552334653739377	0.36894654539145044	0.027334592768385773	0.7981503580238379	NO_EVIDENCE	0.30341612369600124
tumor	CLDN4	CXCL9	91	91	True	0.14652014652014653	0.16578254142780938	-0.06009738636815048	0.35197030357924164	0.07816147198789278	0.4640092530958282	NO_EVIDENCE	0.34998536523648643
tumor	CLDN4	CXCL10	91	91	True	0.05160057333970377	0.6271392713099201	-0.16215330687199536	0.25609230114608067	0.0040109562549906766	0.970070778348737	NO_EVIDENCE	0.732498404002868
tumor	CLDN4	IDO1	91	91	True	0.19249880554228382	0.06753841738851765	-0.021041885744943707	0.38028812477105745	0.11992881544934329	0.26020363483245584	NO_EVIDENCE	0.30341612369600124
tumor	CLDN4	HLA-DRA	91	91	True	0.21919095397356267	0.036842874110322804	0.023170118746623596	0.40664104781339416	0.279132037678154	0.007716250040682606	OPPOSITE	0.30341612369600124
tumor	CLDN4	CXCL13	91	91	True	0.061713648670170415	0.5611550168148198	-0.15524904588550592	0.27991830438559684	0.0365176096448201	0.7325707859318307	NO_EVIDENCE	0.7107963546321051
tumor	CLDN4	MS4A1	91	91	True	0.12517916865742953	0.23709356195778555	-0.09827622280906971	0.3355775918525819	0.0880006056966756	0.4094970998645458	NO_EVIDENCE	0.4002263528827159
tumor	CLDN4	TACSTD2	91	91	True	0.6214843127886606	4.9108909076041643e-11	0.45790521548272417	0.7515231975049889	0.4924331238108417	8.22670266710848e-07	OPPOSITE	
