gene	signature	n	n_genes_in_sig	genes_used	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	verdict
CLDN4	T_cell_CD8	91	8	CD8A,CD8B,GZMK,GZMA,PRF1,CD2,CD3D,CD3E	0.14464086637999682	0.17133800951838915	-0.06723570225568326	0.34062634128803276	0.12047588669516303	0.2580198967982931	NO_EVIDENCE
CLDN4	IFNg_Ayers	91	6	IFNG,STAT1,CXCL9,CXCL10,IDO1,HLA-DRA	0.16300366300366304	0.12263553414594067	-0.03548828172003586	0.3512446697025946	0.11518177961109323	0.27967995376905347	NO_EVIDENCE
CLDN4	Epithelial	91	6	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7	0.6138875617136487	9.760946944779797e-11	0.4517148448917579	0.7347223037500962			COMPANION
