contrast	n	rho	p	q
TACSTD2 vs DPT	22	0.6171654432523999	0.002214800218193569	0.002887206916138686
CLDN4 vs DPT	22	0.6182947487295314	0.0021621583150805016	0.002887206916138686
TACSTD2 vs CLDN4	22	0.8633540372670809	2.3025547385902737e-07	2.939586796703391e-06
TACSTD2 vs AT2 score	22	-0.8430265386787127	8.433564994662839e-07	3.935663664175991e-06
TACSTD2 vs club score	22	0.044607566346696784	0.8437394727309631	0.8437394727309631
TACSTD2 vs basal score	22	0.6973461321287409	0.00030957279078606216	0.0006191455815721243
TACSTD2 vs barrier/keratin score	22	0.8543195934500282	4.199409709576273e-07	2.939586796703391e-06
TACSTD2 vs malignant-like score	22	0.6160361377752683	0.002268519719823253	0.002887206916138686
CLDN4 vs AT2 score	22	-0.8328627893845286	1.5104375042937865e-06	5.286531265028252e-06
CLDN4 vs club score	22	-0.18690005646527386	0.40493287244281234	0.4360815549384133
CLDN4 vs basal score	22	0.6103896103896105	0.0025539020592147206	0.002979552402417174
CLDN4 vs barrier/keratin score	22	0.8170525127046867	3.477900567126601e-06	9.738121587954483e-06
CLDN4 vs malignant-like score	22	0.7210615471485038	0.0001528714095424258	0.0003566999555989936
SFTPC vs DPT (control)	22	-0.6736307171089779	0.0005887354485823171	0.0010302870350190549
