leiden	n_cells	n_samples	n_nLung	n_tLung	top_subtype	mean_TACSTD2	mean_CLDN4	mean_AT2	mean_club	mean_basal	mean_barrier_keratin	mean_dpt	pct_TACSTD2_pos	pct_CLDN4_pos
0	260	12	2	258	tS1	0.8466770263818594	1.021994673518034	0.7726680158422543	0.49273969194827927	0.043234053254127505	1.2078852868997134	0.2618023157119751	0.38846153846153847	0.4423076923076923
1	1729	2	1	1728	tS1	1.8735572494062267	1.6926174538889809	1.6772339156575118	1.6244470024927056	0.05579201525272214	1.3780197947478676	0.3614618480205536	0.9641411220358589	0.9462116830537883
2	551	19	494	57	AT1	2.2328998496225223	1.0136916493547374	0.6085096177950962	0.5570417144625964	0.014596532590808972	1.4167597234666365	0.3776843845844269	0.8275862068965517	0.5063520871143375
3	494	18	26	468	tS1	1.310598064711702	1.2974307260773925	2.8773633259450375	1.286524617740339	0.037712465473997446	1.1386935802132425	0.0682978630065918	0.8319838056680162	0.8360323886639676
4	690	13	624	66	AT2	1.012568401037783	1.0911600794049277	3.966258919073476	1.2872108396556643	0.02689967290430829	0.7900910983668105	0.009389609098434448	0.7304347826086957	0.7869565217391304
5	1591	20	1311	280	AT2	0.6511754964148752	0.8477544218564018	3.8841334459836845	1.0349512486157615	0.018645237892454036	0.6224013627059821	0.023198233917355537	0.5487115021998743	0.6957888120678818
6	744	19	658	86	Ciliated	1.6234192434017376	1.7962232560560267	0.3731745949522409	1.3241037478116358	0.012395669545938251	1.0904012325773451	0.8147081136703491	0.8225806451612904	0.8521505376344086
7	456	21	398	58	Club	2.001088012009859	1.4692472168489505	0.9329026443693155	4.385547357159313	0.10764864963691748	1.1080100389482235	0.14170867204666138	0.9078947368421053	0.8092105263157895
8	175	22	99	76	AT2	0.9434714434828078	0.8267584812641143	2.280910952091217	1.1596087649890354	0.03747626394033432	0.7492569637785153	0.14870569109916687	0.6228571428571429	0.5885714285714285
9	665	17	17	648	tS2	1.6583847339216031	1.8625426038315422	0.9024882724559995	0.6486283758566492	0.09478443821794108	1.6546341010662464	0.4863746464252472	0.9413533834586466	0.9624060150375939
10	114	1	0	114	tS2	1.5962596148775334	1.5249633258372022	0.40058184029501787	0.37313547922156703	0.08665666196560651	1.9198323460225775	0.6540927290916443	0.9473684210526315	0.9736842105263158
11	171	1	0	171	tS1	1.034340799203393	1.4813780990260386	1.7818887777205332	0.17942514646703966	0.02323794478212881	0.8126728987086288	0.19634610414505005	0.7368421052631579	0.8654970760233918
12	355	1	0	355	tS2	2.2982516953642937	1.931279049456959	0.9472515413493898	0.13827051243311922	0.11243738991169022	2.205305835193911	0.46859437227249146	0.9943661971830986	0.9746478873239437
13	395	2	3	392	tS1	0.8997966158239147	1.3345609744138356	1.7869063445284397	0.7583559129308548	0.030899016389363928	0.9702650838368193	0.38738417625427246	0.7341772151898734	0.9164556962025316
14	582	2	0	582	tS2	1.6332674282522954	1.8701757288880365	0.07965781368135996	0.35458401138259504	0.11206221343674201	1.5887770113271418	0.44784581661224365	0.8230240549828178	0.8745704467353952
15	411	1	0	411	tS2	1.764622034672693	1.749831229593342	0.2538681805937491	0.5933077301518858	0.11664997193500073	1.7547827389481003	0.4618241488933563	0.9805352798053528	0.9951338199513382
16	709	2	0	709	tS1	1.4905186512406354	0.9817536585085482	2.4039563508200765	1.6401194945489177	0.01854268607535046	0.9399128124439113	0.3100803792476654	0.7856135401974612	0.613540197461213
17	346	1	0	346	tS2	2.281067228127766	2.2199167350813145	0.4297304866200238	0.5199479746465394	0.07779668396435721	1.4897527593679414	0.701309323310852	0.9797687861271677	0.953757225433526
18	230	6	0	230	tS1	1.6899984215912611	1.4619365907233695	2.1047512156915835	0.8950410740962927	0.041446662208308345	1.2559993058628176	0.11442506313323975	0.8608695652173913	0.8347826086956521
19	104	20	70	34	Undetermined	0.7034019910945342	0.7571345917307414	2.2599166343227415	1.0896795065357134	0.017742272072400037	0.7492705252389987	0.25547492504119873	0.6923076923076923	0.7307692307692307
20	201	1	0	201	tS1	1.2400875687599182	1.504561038456153	1.1926393103144854	2.216131868844799	0.026226631259147207	1.0478875377369674	0.39218541979789734	0.8507462686567164	0.8756218905472637
