sub_cell_type	n_cells	n_samples
CD4T_Tem_GZMA	21051	231
CD4T_Tfh_CXCL13	21373	228
CD4T_Th1-like_CXCL13	13338	230
CD4T_Tm_ANXA1	41334	229
CD4T_Tm_XCL1	3712	221
CD4T_Tn_CCR7	43054	229
CD4T_Treg_CCR8	20173	231
CD4T_Treg_FOXP3	38352	231
CD4T_Treg_MKI67	1855	206
CD8T_ISG15	5090	228
CD8T_MAIT_KLRB1	6498	226
CD8T_NK-like_FGFBP2	16744	230
CD8T_Tem_GZMK+GZMH+	39566	230
CD8T_Tem_GZMK+NR4A1+	33768	231
CD8T_Tex_HAVCR2	31093	227
CD8T_Tm_IL7R	39631	230
CD8T_Trm_ZNF683	29961	230
CD8T_prf_MKI67	7247	225
CD8T_terminal_Tex_LAYN	10244	221
ILC3_KIT	394	155
NK_CD16hi_FGFBP2	2164	205
NK_CD16low_GZMK	1503	197
T_gdT_TRDV1	4698	224
T_gdT_TRDV2	1615	202
