metric	contrast	n_a	n_b	median_a	median_b	mean_a	mean_b	q25_a	q75_a	q25_b	q75_b	mannwhitney_U	mannwhitney_p_twosided	cliffs_delta_a_minus_b	note
exp_cxcl13_per_k_cd8	MPR-any_vs_non-MPR	126	104	15.974603952310957	28.26678688206527	22.249729977630214	41.06248465004229	9.066205533596838	27.915757937955497	15.86045810729355	50.586150490730645	4304.0	7.640201398642043e-06	-0.3431013431013431	
exp_cxcl13_per_k_cd8	LUAD_MPR-any_vs_non-MPR	21	40	15.92356687898089	29.203355034112377	22.25173223360396	40.728875373635816	8.032128514056224	26.92664809656453	18.649655963302752	43.2308450244927	232.0	0.004423168523751118	-0.4476190476190476	
exp_cxcl13_per_k_cd8	LUSC_MPR-any_vs_non-MPR	105	64	16.025641025641026	26.1520924930793	22.249329526435456	41.27099044779634	9.174311926605505	28.14814814814815	13.002324186534711	50.76963906581741	2386.5	0.0016127900497760466	-0.2897321428571429	
exp_cxcl13_per_k_cd8	pCR_vs_non-pCR	84	146	16.629986885522698	21.11864721731859	24.042144801199232	34.61934395537718	10.432267546555337	29.014262709914885	11.643779406937302	39.77519767841615	5140.0	0.04128285746837091	-0.16177429876060012	
exp_cxcl13_per_k_cd8	MPR-only_vs_non-MPR	42	104	14.653784219001611	28.26678688206527	18.664900330492156	41.06248465004229	8.287470871138876	19.550843593251255	15.86045810729355	50.586150490730645	1212.5	2.6959444610405933e-05	-0.4448260073260073	
exp_cxcl13_per_k_tcr	MPR-any_vs_non-MPR	126	104	7.878326232810373	14.29500278655025	10.175630904928791	16.098860616237115	4.501345068722692	14.2860503549311	8.147815265486726	19.81170195571359	4481.0	3.746214590000384e-05	-0.3160866910866911	
exp_cxcl13_per_k_tcr	LUAD_MPR-any_vs_non-MPR	21	40	8.771929824561402	15.167390748786097	9.192922001474065	15.812846131618688	3.6540803897685747	13.582966226138032	9.86244897512313	18.109565577473273	242.0	0.0070489057950257235	-0.42380952380952386	
exp_cxcl13_per_k_tcr	LUSC_MPR-any_vs_non-MPR	105	64	7.749535027898326	11.651442699803507	10.372172685619736	16.277619669123627	4.750593824228028	14.507772020725389	6.901008012406306	23.596808292982338	2491.0	0.004879455394337017	-0.25863095238095235	
exp_cxcl13_per_k_tcr	pCR_vs_non-pCR	84	146	9.12449548424463	10.789857482793032	11.039804268274283	13.897722188867451	4.92725556024084	15.565386620536032	5.885717186921358	18.745424917903648	5285.5	0.08164611157304848	-0.13804631441617743	
exp_cxcl13_per_k_tcr	MPR-only_vs_non-MPR	42	104	6.440015904455457	14.29500278655025	8.447284178237808	16.098860616237115	3.838255133160679	9.800716682417766	8.147815265486726	19.81170195571359	1259.5	6.481780983680378e-05	-0.42330586080586086	
