metric_x	metric_y	n	spearman_rho	spearman_p	note	stratum
TACSTD2_frac_pos	exp_cxcl13_per_k_cd8	231	-0.04045761619620957	0.5406585858835166		all
TACSTD2_frac_pos	exp_cxcl13_per_k_cd8	61	0.008408694284327375	0.9487182495951755		LUAD
TACSTD2_frac_pos	exp_cxcl13_per_k_cd8	170	-0.06113681651172496	0.4283684762538747		LUSC
TACSTD2_frac_pos	frac_cxcl13	231	-0.06713724329584071	0.30962503604241937		all
TACSTD2_frac_pos	frac_cxcl13	61	-0.06017979904812267	0.6450041492750648		LUAD
TACSTD2_frac_pos	frac_cxcl13	170	-0.07312974395613119	0.3432668879396916		LUSC
TACSTD2_frac_pos	frac_cxcl13_among_expanded	231	-0.07608921586714994	0.2493814639571227		all
TACSTD2_frac_pos	frac_cxcl13_among_expanded	61	0.014173145083017211	0.9136695593307451		LUAD
TACSTD2_frac_pos	frac_cxcl13_among_expanded	170	-0.10814289921725244	0.1603998213111968		LUSC
TACSTD2_frac_pos	frac_exp_cells	231	-0.002520493613703032	0.9696076059295452		all
TACSTD2_frac_pos	frac_exp_cells	61	-0.12141723955579056	0.35126651017333743		LUAD
TACSTD2_frac_pos	frac_exp_cells	170	0.03937323294313054	0.6102095749983127		LUSC
TACSTD2_frac_pos	exp_tex_per_k_cd8	231	0.14026597676894428	0.03310242037207647		all
TACSTD2_frac_pos	exp_tex_per_k_cd8	61	0.16740262836704323	0.19721405332518682		LUAD
TACSTD2_frac_pos	exp_tex_per_k_cd8	170	0.13455758338447327	0.08021548846342103		LUSC
TACSTD2_frac_pos	lor_cxcl13_exp_vs_non	231	-0.023998720769174756	0.7167374375562608		all
TACSTD2_frac_pos	lor_cxcl13_exp_vs_non	61	0.1005288207297726	0.4407852790435099		LUAD
TACSTD2_frac_pos	lor_cxcl13_exp_vs_non	170	-0.05510835913312694	0.47537157261285795		LUSC
CLDN4_frac_pos	exp_cxcl13_per_k_cd8	231	0.04443447048627719	0.5015748472757104		all
CLDN4_frac_pos	exp_cxcl13_per_k_cd8	61	0.09647475766220988	0.45952353671957064		LUAD
CLDN4_frac_pos	exp_cxcl13_per_k_cd8	170	0.019612189652323073	0.7996118599275638		LUSC
CLDN4_frac_pos	frac_cxcl13	231	0.018018307464673877	0.7853213301554137		all
CLDN4_frac_pos	frac_cxcl13	61	0.09459209391162361	0.4683709082473712		LUAD
CLDN4_frac_pos	frac_cxcl13	170	-0.0069089332499855235	0.928749783738815		LUSC
CLDN4_frac_pos	frac_cxcl13_among_expanded	231	0.0036358954250467	0.9561693512483813		all
CLDN4_frac_pos	frac_cxcl13_among_expanded	61	0.1234496076664462	0.3432018414521187		LUAD
CLDN4_frac_pos	frac_cxcl13_among_expanded	170	-0.03925244602808101	0.611306597269477		LUSC
CLDN4_frac_pos	frac_exp_cells	231	-0.022931412169640633	0.7288300809755709		all
CLDN4_frac_pos	frac_exp_cells	61	-0.0043633479159681	0.9733763728377804		LUAD
CLDN4_frac_pos	frac_exp_cells	170	-0.037402524444194216	0.6282150134191545		LUSC
CLDN4_frac_pos	exp_tex_per_k_cd8	231	0.21180520145249	0.0012015215493380892		all
CLDN4_frac_pos	exp_tex_per_k_cd8	61	0.2655233526253402	0.03862258248371561		LUAD
CLDN4_frac_pos	exp_tex_per_k_cd8	170	0.20154694136239415	0.008399733448151267		LUSC
CLDN4_frac_pos	lor_cxcl13_exp_vs_non	231	0.025451005219442362	0.700396186847846		all
CLDN4_frac_pos	lor_cxcl13_exp_vs_non	61	0.11130503865642265	0.39310843400151657		LUAD
