family	tag	method	contrast	adjustment	n	rho	p	k	lo	hi	q
biological	primary	nusvr	CLDN4_vs_CD8_fraction	none	516	0.007414771160171056	0.8665635673096697	0	-0.0789565153843145	0.09367556478142858	0.990140640677527
biological	primary	nusvr	CLDN4_vs_CD8_fraction	malignant_fraction	516	0.005864458854047543	0.8943804158797882	1	-0.08058096006057294	0.09222231555871323	0.990140640677527
biological	primary	nusvr	CLDN4_vs_CD8_fraction	KRT8_KRT18_KRT19	516	0.021571651356424842	0.6259380073533221	3	-0.06512296332542424	0.10794306134522512	0.9389070110299831
biological	primary	nusvr	CLDN4_vs_CD8_plus_NK	none	516	0.009738002099161012	0.8253465458618383	0	-0.07664717741460092	0.09597807426779253	0.990140640677527
control	primary	nusvr	CD8A_vs_CD8_fraction	none	516	-0.08572051314422051	0.05164793852715915	0	-0.1707776018126362	0.0006047119333930738	
control	primary	nusvr	ACTB_vs_CD8_fraction	none	516	-0.052008178761033565	0.2382660607387337	0	-0.13771069297469082	0.03446730879535039	
control	primary	nusvr	KRT8_vs_malignant_fraction	none	516	0.004977614466833139	0.9101921713264556	0	-0.08137810191393807	0.09125915355347969	
control	primary	nusvr_vs_bayes	CD8_fraction_concordance	none	516	0.029495001680739104	0.5038028478926324	0	-0.05697079825604454	0.11552163060121275	
control	primary	nnls	CD8A_vs_CD8_fraction	none	516	-0.11080505617588171	0.011780139953506664	0	-0.19525820578749425	-0.024720754105430953	
control	primary	nnls	ACTB_vs_CD8_fraction	none	516	0.02879932242482103	0.5139215199973829	0	-0.057664781554904274	0.11483459655121418	
control	primary	nnls	KRT8_vs_malignant_fraction	none	516	-0.1587406862929811	0.00029445565430971107	0	-0.24174884542992484	-0.07342606486771686	
biological	primary	nnls	CLDN4_vs_CD8_fraction	none	516	0.104733777512116	0.017318618943919877	0	0.018581012301660694	0.18934273748716432	0.33233243564031234
control	primary	bayes	CD8A_vs_CD8_fraction	none	516	0.7375954944398904	1.0475111083735247e-89	0	0.6955609693982603	0.774597762909054	
control	primary	bayes	ACTB_vs_CD8_fraction	none	516	0.11283570174247189	0.010314164131628776	0	0.026775748670545302	0.19723536747999418	
control	primary	bayes	KRT8_vs_malignant_fraction	none	516	0.29028903486035634	1.7750747517967037e-11	0	0.20921067868204138	0.3674034029179191	
biological	primary	bayes	CLDN4_vs_CD8_fraction	none	516	-0.04353371680322194	0.3236594784842176	0	-0.12936831890668316	0.042948428046521644	0.7836939759112251
biological	primary	bayes	CLDN4_vs_CD8_fraction	malignant_fraction	516	0.0015989107601732078	0.9711253469779503	1	-0.08481739427736336	0.08799134171365094	0.990140640677527
biological	primary	bayes	CLDN4_vs_CD8_fraction	KRT8_KRT18_KRT19	516	-0.0557221584454888	0.20767671804014134	3	-0.14161201333268164	0.031000384553288164	0.7009089233854771
biological	bulk	bulk	CLDN4_vs_CD8A	none	516	-0.09782299098652147	0.02627966714503153	0	-0.18260182360346391	-0.011600194277008993	0.33233243564031234
biological	bulk	bulk	CLDN4_vs_CD8A	KRT8_KRT18_KRT19	516	-0.08687327389352777	0.049234434909675905	3	-0.1721515389791478	-0.00030255327696837337	0.33233243564031234
biological	bulk	bulk	CLDN4_vs_KRT8	KRT18_KRT19	516	0.07487905044917927	0.08990977843265205	2	-0.011685294422830674	0.16032939561130374	0.4045940029469342
biological	keratin_held_out	nusvr	CLDN4_vs_CD8_fraction	none	516	0.0005453173639675474	0.990140640677527	0	-0.0857794710012392	0.08686197911559167	0.990140640677527
biological	keratin_held_out	nusvr	CLDN4_vs_CD8_fraction	malignant_fraction	516	-0.006606587056164207	0.8811081047517718	1	-0.09295811014281706	0.07984357804727377	0.990140640677527
biological	keratin_held_out	nusvr	CLDN4_vs_CD8_fraction	KRT8_KRT18_KRT19	516	0.006446594614343629	0.8841917736123317	3	-0.08017114506604273	0.0929677053274035	0.990140640677527
biological	keratin_held_out	nusvr	CLDN4_vs_CD8_plus_NK	none	516	0.03346521184806397	0.44812036753699974	0	-0.05300866706207097	0.11944092833398702	0.8642321373927853
control	keratin_held_out	nusvr	CD8A_vs_CD8_fraction	none	516	-0.005161108645806734	0.9068962624194709	0	-0.09144112117776378	0.0811958155010696	
control	keratin_held_out	nusvr	ACTB_vs_CD8_fraction	none	516	-0.12802882034614402	0.003577453361592833	0	-0.21200657096441383	-0.042174159381984294	
control	keratin_held_out	nusvr	KRT8_vs_malignant_fraction	none	516	-0.051062399700833955	0.24692232418857857	0	-0.1367802577855522	0.03541444868289734	
control	keratin_held_out	nusvr_vs_bayes	CD8_fraction_concordance	none	516	0.08914827448461445	0.04295162012733844	0	0.002849451462988704	0.17412904180225736	
control	keratin_held_out	nnls	CD8A_vs_CD8_fraction	none	516	-0.10826330761586474	0.013872757946758851	0	-0.19278243497395334	-0.022149552845415237	
control	keratin_held_out	nnls	ACTB_vs_CD8_fraction	none	516	0.021435328254617976	0.6271146380359806	0	-0.06500570322005537	0.10755706448938741	
control	keratin_held_out	nnls	KRT8_vs_malignant_fraction	none	516	-0.17422398433742642	6.935795813229224e-05	0	-0.2566844206298089	-0.08924540844719454	
biological	keratin_held_out	nnls	CLDN4_vs_CD8_fraction	none	516	0.08205887764835076	0.06251278121814133	0	-0.004292276732013136	0.16719531954900477	0.3375690185779632
control	keratin_held_out	bayes	CD8A_vs_CD8_fraction	none	516	0.7083569562838211	8.604698808039607e-80	0	0.6625483219098591	0.748886372495286	
control	keratin_held_out	bayes	ACTB_vs_CD8_fraction	none	516	0.12475014116996598	0.0045397177479487285	0	0.038847723345238616	0.20882218462050586	
