cohort	x	y	z	n	rho_partial	p
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	lcam_diff	frac_gate	26	0.14324786324786323	0.4851058860330668
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	cd8_trm_of_T	frac_gate	26	-0.030427350427350425	0.8826955404852086
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	lcam_diff	frac_gate	26	0.2505982905982906	0.21691207817332625
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	lcam_diff	frac_gate	26	0.10427350427350426	0.6122046666360922
patient Tumor (all preps)	tac_cpm_all	lcam_diff	frac_gate	35	-0.02100840336134454	0.9046521483714322
patient Tumor (all preps)	tac_cpm_all	cd8_trm_of_T	frac_gate	35	0.010364145658263305	0.9528805780958542
patient Tumor (all preps)	tac_cpm_gate	lcam_diff	frac_gate	35	0.3840336134453782	0.02275126471528401
patient Tumor (all preps)	tac_cpm_epi	lcam_diff	frac_gate	34	0.15935828877005345	0.3680000296621849
sample Tumor V2 beads	tac_cpm_all	lcam_diff	frac_gate	30	0.12124582869855395	0.5233214598378129
sample Tumor V2 beads	tac_cpm_all	cd8_trm_of_T	frac_gate	30	-0.053170189098998885	0.7802081176079786
sample Tumor V2 beads	tac_cpm_gate	lcam_diff	frac_gate	30	0.160845383759733	0.3958253472885637
sample Tumor V2 beads	tac_cpm_epi	lcam_diff	frac_gate	30	0.0028921023359288096	0.9878984726602261
