cohort	x	y	n	rho	p	q_global
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	lcam_diff	26	0.24786324786324784	0.22213758900788602	0.7280887780718085
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	lcam_diff	26	0.08411694429658259	0.6828737038118691	0.9217068585216323
patient Tumor V2 beads (paper LCAM set)	tac_cpm_immune	lcam_diff	26	-0.07623931623931623	0.7112585886626264	0.9283310150726488
patient Tumor V2 beads (paper LCAM set)	frac_gate	lcam_diff	26	-0.07076923076923076	0.731194023076702	0.9360046635179887
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	cd8_trm_of_T	26	0.019487179487179485	0.924722078059223	0.9680684254682491
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	cd8_trm_of_T	26	-0.02222222222222222	0.9141926183026543	0.9675802908908061
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	cd8_trm_of_T	26	0.020858266675168855	0.9194419679609152	0.9675802908908061
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	cd8_broad_of_T	26	0.23487179487179485	0.24810613571794263	0.7614474063440927
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	cd8_broad_of_T	26	0.15008547008547007	0.4642834547396419	0.9020961915179546
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	cd8_broad_of_T	26	0.26466062961607695	0.19135424981314533	0.7257019662724945
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	cd8a_cpm_immune	26	0.23555555555555555	0.24669186841814225	0.7614474063440927
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	cd8a_cpm_immune	26	0.20615384615384613	0.31230813998237666	0.8094216542857646
patient Tumor V2 beads (paper LCAM set)	tac_cpm_epi	cd8a_cpm_immune	26	0.1094204153451481	0.5946573957902211	0.9020961915179546
patient Tumor V2 beads (paper LCAM set)	tac_cpm_all	bulk_lcam_diff	26	0.037948717948717944	0.8539737921729723	0.9406336425834375
patient Tumor V2 beads (paper LCAM set)	tac_cpm_gate	bulk_lcam_diff	26	0.20615384615384613	0.31230813998237666	0.8094216542857646
patient Tumor V2 beads (paper LCAM set)	frac_gate	cd8_trm_of_T	26	0.10905982905982906	0.5958797037499546	0.9020961915179546
patient Tumor V2 beads (paper LCAM set)	epcam_cpm_all	lcam_diff	26	0.08854700854700855	0.66709078570047	0.9217068585216323
patient Tumor V2 beads (paper LCAM set)	epcam_cpm_all	cd8_trm_of_T	26	-0.1911111111111111	0.3496786228612843	0.8367309904180732
patient Tumor LUAD	tac_cpm_all	lcam_diff	30	0.14304783092324808	0.4507868543266534	0.9020961915179546
patient Tumor LUAD	tac_cpm_gate	lcam_diff	30	0.3904134565085445	0.032925433573146964	0.44725301029394743
patient Tumor LUAD	tac_cpm_epi	lcam_diff	29	0.19690969913065415	0.3059225820177153	0.8094216542857646
patient Tumor LUAD	tac_cpm_immune	lcam_diff	30	-0.0843159065628476	0.6577771651218055	0.9217068585216323
patient Tumor LUAD	frac_gate	lcam_diff	30	0.23337041156840932	0.21455668755863275	0.7280887780718085
patient Tumor LUAD	tac_cpm_all	cd8_trm_of_T	30	-0.035817575083426034	0.8509511779244581	0.9406336425834375
patient Tumor LUAD	tac_cpm_gate	cd8_trm_of_T	30	-0.10055766355531329	0.5970017963764238	0.9020961915179546
patient Tumor LUAD	tac_cpm_epi	cd8_trm_of_T	29	-0.006679097834833746	0.9725691856403229	0.9847901087233594
patient Tumor LUAD	tac_cpm_all	cd8_broad_of_T	30	0.16662958843159065	0.37882530745394066	0.8458068440440807
patient Tumor LUAD	tac_cpm_gate	cd8_broad_of_T	30	0.15228577429773607	0.42176491798479276	0.8650484542341157
patient Tumor LUAD	tac_cpm_epi	cd8_broad_of_T	29	0.30575425643905596	0.10674261182742284	0.588062991067213
patient Tumor LUAD	tac_cpm_all	cd8a_cpm_immune	30	0.047385984427141266	0.8036278011377227	0.9406336425834375
patient Tumor LUAD	tac_cpm_gate	cd8a_cpm_immune	30	-0.07826106409737242	0.6810205899396938	0.9217068585216323
patient Tumor LUAD	tac_cpm_epi	cd8a_cpm_immune	29	-0.1113182972472291	0.5653656699804446	0.9020961915179546
patient Tumor LUAD	tac_cpm_all	bulk_lcam_diff	30	0.1670745272525028	0.37753546837128815	0.8458068440440807
patient Tumor LUAD	tac_cpm_gate	bulk_lcam_diff	30	0.2824979151321107	0.13039177986504918	0.6237975588898993
patient Tumor LUAD	frac_gate	cd8_trm_of_T	30	0.020244716351501667	0.9154364690235783	0.9675802908908061
patient Tumor LUAD	epcam_cpm_all	lcam_diff	30	0.38509454949944383	0.035602229675140096	0.44725301029394743
patient Tumor LUAD	epcam_cpm_all	cd8_trm_of_T	30	-0.09721913236929922	0.609296324690827	0.9020961915179546
patient Tumor LUSC	tac_cpm_all	lcam_diff	5	-0.39999999999999997	0.5046315754686912	0.9020961915179546
patient Tumor LUSC	tac_cpm_gate	lcam_diff	5	-0.49999999999999994	0.3910022189557703	0.8458068440440807
patient Tumor LUSC	tac_cpm_epi	lcam_diff	5	-0.6	0.28475697986529386	0.8061429993369587
patient Tumor LUSC	tac_cpm_immune	lcam_diff	5	0.09999999999999999	0.8728885715695384	0.9406336425834375
patient Tumor LUSC	frac_gate	lcam_diff	5	0.09999999999999999	0.8728885715695384	0.9406336425834375
patient Tumor LUSC	tac_cpm_all	cd8_trm_of_T	5	0.49999999999999994	0.3910022189557703	0.8458068440440807
patient Tumor LUSC	tac_cpm_gate	cd8_trm_of_T	5	-0.19999999999999998	0.7470600781046621	0.9406336425834375
patient Tumor LUSC	tac_cpm_epi	cd8_trm_of_T	5	-0.3	0.623837664781073	0.9020961915179546
patient Tumor LUSC	tac_cpm_all	cd8_broad_of_T	5	0.7	0.1881204043741873	0.7257019662724945
patient Tumor LUSC	tac_cpm_gate	cd8_broad_of_T	5	0.3	0.623837664781073	0.9020961915179546
patient Tumor LUSC	tac_cpm_epi	cd8_broad_of_T	5	0.3	0.623837664781073	0.9020961915179546
patient Tumor LUSC	tac_cpm_all	cd8a_cpm_immune	5	0.7999999999999999	0.10408803866182788	0.588062991067213
patient Tumor LUSC	tac_cpm_gate	cd8a_cpm_immune	5	0.7	0.1881204043741873	0.7257019662724945
patient Tumor LUSC	tac_cpm_epi	cd8a_cpm_immune	5	0.3	0.623837664781073	0.9020961915179546
patient Tumor LUSC	tac_cpm_all	bulk_lcam_diff	5	-0.39999999999999997	0.5046315754686912	0.9020961915179546
patient Tumor LUSC	tac_cpm_gate	bulk_lcam_diff	5	-0.49999999999999994	0.3910022189557703	0.8458068440440807
patient Tumor LUSC	frac_gate	cd8_trm_of_T	5	0.7	0.1881204043741873	0.7257019662724945
patient Tumor LUSC	epcam_cpm_all	lcam_diff	5	-0.39999999999999997	0.5046315754686912	0.9020961915179546
patient Tumor LUSC	epcam_cpm_all	cd8_trm_of_T	5	0.49999999999999994	0.3910022189557703	0.8458068440440807
patient Tumor V2 beads LUAD	tac_cpm_all	lcam_diff	22	0.16205533596837948	0.47120361330902377	0.9020961915179546
patient Tumor V2 beads LUAD	tac_cpm_gate	lcam_diff	22	0.24788255223037836	0.26601937978240725	0.7863219902391744
patient Tumor V2 beads LUAD	tac_cpm_epi	lcam_diff	22	0.006211180124223602	0.9781147004348607	0.9847901087233594
patient Tumor V2 beads LUAD	tac_cpm_immune	lcam_diff	22	-0.006211180124223602	0.9781147004348607	0.9847901087233594
patient Tumor V2 beads LUAD	frac_gate	lcam_diff	22	0.07058159232072277	0.7549478236684113	0.9406336425834375
patient Tumor V2 beads LUAD	tac_cpm_all	cd8_trm_of_T	22	-0.03896103896103897	0.8633265562067404	0.9406336425834375
patient Tumor V2 beads LUAD	tac_cpm_gate	cd8_trm_of_T	22	-0.0852625635234331	0.7059795704811165	0.9274633572987216
patient Tumor V2 beads LUAD	tac_cpm_epi	cd8_trm_of_T	22	-0.03896103896103897	0.8633265562067404	0.9406336425834375
patient Tumor V2 beads LUAD	tac_cpm_all	cd8_broad_of_T	22	0.21852060982495766	0.3285693596146497	0.8153387812659827
