sample	cpm	numreads
MCF7_KO_rep1	81.5081	1519.08
MCF7_KO_rep2	85.8901	1512.63
MCF7_WT_rep1	141.8918	2367.69
MCF7_WT_rep2	141.8823	2365.90
T47D_KO_rep1	30.9110	512.36
T47D_KO_rep2	30.7494	479.54
T47D_WT_rep1	64.8977	1003.31
T47D_WT_rep2	60.2640	955.57
