sample	percent_mapped	num_mapped	num_processed
MCF7_KO_rep1	40.91	19236792	47026612
MCF7_KO_rep2	41.22	18171234	44087640
MCF7_WT_rep1	36.82	17195228	46699152
MCF7_WT_rep2	37.79	17178637	45458325
T47D_KO_rep1	38.41	17064234	44424212
T47D_KO_rep2	36.25	16090009	44387540
T47D_WT_rep1	36.30	15996551	44062012
T47D_WT_rep2	36.31	16416270	45214824
