gene	spearman_vs_TACSTD2	p	n	q
CLDN4	0.5679144385026738	0.00045943985792228694	34	0.0017867105585866717
CLDN1	0.6424751718869365	4.191197267618205e-05	34	0.00029338380873327434
CLDN2	0.2828113063407181	0.1050910021132652	34	0.1532577114151784
CLDN3	0.46472892971598606	0.005621652252069407	34	0.015135217601725327
CLDN5	-0.19541290114612547	0.2680592753786382	34	0.35044910952473096
CLDN6	0.1859830506137129	0.29228707372347656	34	0.36535884215434566
CLDN7	0.6724216959511078	1.3260198181724019e-05	34	0.00015470231212011355
CLDN8	0.3989304812834224	0.019433907212966027	34	0.03778815291410061
CLDN9	0.38743915568540355	0.023581724137041078	34	0.04344001814718094
CLDN10	-0.4832696715049656	0.0037884387250756864	34	0.011049612948137418
CLDN12	0.24736440030557674	0.15840719150830332	34	0.22177006811162464
CLDN18	-0.2870893812070282	0.09971170903391219	34	0.1532577114151784
TJP1	0.1944996180290298	0.2703464559190782	34	0.35044910952473096
TJP2	0.43162719633307867	0.010806781236642176	34	0.025215822885498413
TJP3	0.4190985485103132	0.01362096764341918	34	0.02835551877510589
OCLN	0.6510313216195569	3.0553823772202155e-05	34	0.00026734595800676885
MARVELD2	0.7399541634835751	5.703727207085042e-07	34	9.981522612398823e-06
MARVELD3	0.41848739495798315	0.013772680547908575	34	0.02835551877510589
F11R	0.6363636363636364	5.222269323148376e-05	34	0.0003046323771836553
JAM2	-0.5046600458365164	0.002337026367874486	34	0.007435992988691546
JAM3	-0.5593582887700533	0.0005835669090507685	34	0.0020424841816776896
CGN	0.44751718869365925	0.007958967166756127	34	0.019897417916890318
CDH1	0.7494270435446906	3.396574723019876e-07	34	9.981522612398823e-06
CTNNB1	-0.008403361344537815	0.9623796880984457	34	0.9623796880984457
CTNNA1	0.2849503437738731	0.10237459274542232	34	0.1532577114151784
EPCAM	0.5844155844155844	0.00028426783594262707	34	0.0012436717822489935
CRB3	0.5879566223018204	0.00025557436767462583	34	0.0012436717822489935
IFI27	0.15049656226126812	0.3955650265023893	34	0.42056871959000197
OAS2	0.11291061879297173	0.5249142731603026	34	0.5403529282532527
IFIT1	0.1608861726508785	0.3633654515162476	34	0.42056871959000197
MX1	0.15446906035141328	0.38306450803218245	34	0.42056871959000197
ISG15	0.28892284186401834	0.09747138847324387	34	0.1532577114151784
HLA-A	0.3179526355996944	0.06687677337342561	34	0.11703435340349483
B2M	0.15019098548510312	0.39653622132771615	34	0.42056871959000197
TAP1	0.16669213139801375	0.34607350587682245	34	0.4176749208858202
