contrast	accession	is_adc_treatment	set	n_in_set	n_present	n_tested	median_log2FC_set	median_log2FC_bg	n_up	n_down	binom_p	delta_median	mw_U	mw_p	direction	n_treat	n_ctrl	mean_treat	mean_ctrl	delta	t	p	n_pairs	wilcoxon_p
GSE312098_CX1_IMMU132_vs_ctrl	GSE312098	True	C4_IFN_MHCI	6.0	6.0	6.0	0.5482776653379577	-0.021452254906737522	5.0	1.0	0.21875	0.5697299202446953	60322.0	0.011513286025871993	up									
GSE312098_CX1_IMMU132_vs_ctrl	GSE312098	True	APM	19.0	19.0	19.0	0.39266123432505395	-0.021598961618155665	15.0	4.0	0.0192108154296875	0.4142601959432096	165352.0	0.005649557428068615	up									
GSE312098_CX1_IMMU132_vs_ctrl	GSE312098	True	IFN	55.0	55.0	55.0	0.20387699095933032	-0.022571173264757327	44.0	10.0	8.699371704778969e-06	0.22644816422408764	501454.0	2.6370750877017965e-08	up									
GSE312098_CX1_IMMU132_vs_ctrl	GSE312098	True	JUNCTION	27.0	27.0	27.0	0.008789580821546572	-0.021216064220693553	14.0	13.0	1.0	0.030005645042240126	172075.0	0.9914025820322596	null									
GSE312098_CX1_IMMU132_vs_ctrl	GSE312098	True	C4_IFN_MHCI_zscore													3.0	3.0	0.6295778960324083	-0.6295778960324138	1.259155792064822	6.768823140041157	0.002493796345425462		
GSE312098_CX1_IMMU132_vs_ctrl	GSE312098	True	APM_zscore													3.0	3.0	0.4248675223279566	-0.4248675223279548	0.8497350446559114	8.127192007059941	0.006821738889470258		
GSE312098_CX1_IMMU132_vs_ctrl	GSE312098	True	IFN_zscore													3.0	3.0	0.4882171180996808	-0.4882171180996815	0.9764342361993623	4.865541787058564	0.020124798540561695		
GSE312098_CX1_IMMU132_vs_ctrl	GSE312098	True	JUNCTION_zscore													3.0	3.0	-0.007810503142311559	0.0078105031423121585	-0.015621006284623717	-0.12786024334321192	0.9060569878840807		
GSE311016_CRC_PDX_IMMU132_vs_ctrl	GSE311016	True	C4_IFN_MHCI	6.0	6.0	6.0	0.1766269909111269	-0.03703041651112106	5.0	1.0	0.21875	0.21365740742224798	51231.0	0.18081681681066505	null									
GSE311016_CRC_PDX_IMMU132_vs_ctrl	GSE311016	True	APM	19.0	19.0	19.0	0.004836362085352519	-0.036885954823198584	10.0	9.0	1.0	0.041722316908551105	111278.0	0.47589457643489497	null									
