analysis	n	n_up	n_down	n_tie	frac_up	binom_two_sided_p	binom_greater_p	wilcoxon_two_sided_p	mean_delta	median_delta	n_models	n_studies	n_lung_groups	extra_vs_tacstd2
tacstd2_official_64	64	49	15	0	0.765625	2.436457216293327e-05	1.2182286081466635e-05	5.8398482923347564e-05	0.25596508868510365	0.11606931339508711	17.0	22.0	2.0	
tacstd2_lung_only	2	2	0	0	1.0	0.5	0.25	0.5	0.4286117432612462	0.4286117432612462				
tacstd2_non_lung	62	47	15	0	0.7580645161290323	5.778372004920304e-05	2.889186002460152e-05	0.00013479478335565954	0.25039584176329255	0.08763152728891055				
tacstd2_collapse_cell_line	17	14	3	0	0.8235294117647058	0.012725830078125	0.0063629150390625	0.00384521484375	0.28574080434076615	0.1613987199705567				
tacstd2_collapse_study	22	18	4	0	0.8181818181818182	0.004343509674072266	0.002171754837036133	0.004151344299316406	0.21949744948069813	0.11718060627460714				
cldn4_native_groups	65	34	29	2	0.5230769230769231	0.6146550157654618	0.3073275078827309	0.1234693559268815	0.11283222629348492	0.017317774064741366				MOC22_RU31562203_antiPD1
cldn4_on_tacstd2_64_stems	64	34	28	2	0.53125	0.52577336017565	0.262886680087825	0.07785245359948166	0.12519646640198	0.03995156983503673				
cldn4_lung_only	2	2	0	0	1.0	0.5	0.25	0.5	0.20714677084783334	0.20714677084783334				
