group	stem	model	cancer_type	study	n_baseline	n_treated	n_responders	n_nonresponders	mean_baseline	mean_treated	delta_treated_minus_baseline	median_baseline	median_treated	direction	treated_classes	mouse_treatments	is_lung
p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)	p53-2336R_GSE124821_end_antiCTLA4&antiPD1	p53-2336R	Mammary cancer, NOS	GSE124821	8	5	0	5	2.3698386213059734	4.89586858502922	2.5260299637232464	1.270607697105615	5.70570022526118	up	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
YTN16_GSE146027_day7_antiCTLA4(n=9)	YTN16_GSE146027_day7_antiCTLA4	YTN16	Gastric adenocarcinoma	GSE146027	4	5	5	0	1.6592985325519836	3.7022047505238502	2.0429062179718667	1.5223377592462048	3.55899455449509	up	Responders	antiCTLA4;no_treatment	False
YTN16_GSE146027_day14_antiCTLA4(n=9)	YTN16_GSE146027_day14_antiCTLA4	YTN16	Gastric adenocarcinoma	GSE146027	4	5	5	0	2.1198041382353887	3.9712919617959046	1.8514878235605159	2.23819823327546	4.0777397372373	up	Responders	antiCTLA4;no_treatment	False
B16_GSE149825_birinapant_antiCTLA4&antiPD1(n=6)	B16_GSE149825_birinapant_antiCTLA4&antiPD1	B16	Melanoma	GSE149825	3	3	3	0	0.034774497839035766	1.5004604337252934	1.4656859358862575	0.0305043535475078	1.20306801734117	up	Responders	antiPD1; antiCTLA4; birinapant;birinapant	False
EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)	EMT6_GSE107801_antiTGFb_trap_antiPDL1	EMT6	Mammary carcinoma	GSE107801	10	10	10	0	0.23495080701674637	0.97220228367741	0.7372514766606637	0.11088854003094015	0.963871624881366	up	Responders	M7824 (anti_PDL1_TGFb_Trap);anti_PDL1(mut)_TGFb_Trap_control	False
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10)	CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1	CT26	Colorectal carcinoma	GSE153239	5	5	5	0	0.4301268946357755	0.9795424785165496	0.5494155838807742	0.482335868270211	0.188559601295096	up	Responders	antiGARP:TGFb FcD;antiGARP:TGFb FcD; antiPD1 FcS;	False
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)	p53-2225L_GSE124821_day3_antiCTLA4&antiPD1	p53-2225L	Mammary cancer, NOS	GSE124821	8	5	0	5	6.989574430276287	7.509093416883822	0.5195189866075349	7.15319223645996	7.83853904395933	up	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)	T11_GSE124821_Apobec_end_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	4	4	0	0.21360330766742103	0.6973077323139635	0.48370442464654245	0.12344802595222384	0.5215886282212195	up	Responders	antiPD1; antiCTLA4;;no_treatment	False
D3UV2_GSE159344_antiPD1(n=6)	D3UV2_GSE159344_antiPD1	D3UV2	Melanoma	GSE159344	3	3	3	0	0.10005597973651033	0.5758237067181168	0.47576772698160646	0.143115171814098	0.0870459270131905	up	Responders	antiPD1;isotype	False
T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)	T11_GSE124821_day7_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	4	0	4	0.29420518717486	0.7654152631990858	0.4712100760242258	0.272059894797978	0.802872662137829	up	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10)	CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1	CT26	Colorectal carcinoma	GSE153239	5	5	5	0	0.46691004130120745	0.8992465962764014	0.4323365549751939	0.145664471531024	0.771318410885129	up	Responders	antiGARP:TGFb WT;antiGARP:TGFb WT; antiPD1 FcS;	False
BNL-MEA_GSE148947_antiPD1(n=6)	BNL-MEA_GSE148947_antiPD1	BNL-MEA	Hepatocellular carcinoma	GSE148947	3	3	0	3	0.671056938695246	1.0991225739881736	0.4280656352929276	0.235470966397632	0.991084062016367	up	Non-responders	antiPD1;vehicle	False
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)	p53-2336R_GSE124821_day3_antiCTLA4&antiPD1	p53-2336R	Mammary cancer, NOS	GSE124821	3	5	0	5	1.3966837133176833	1.7834035121096157	0.3867197987919324	1.40668142223428	1.70730611724121	up	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10)	CT26_ERP114266_day14_antiCTLA4&antiPDL1	CT26	Colorectal carcinoma	ERP114266	5	5	5	0	0.08374363448948113	0.43952350563367426	0.3557798711441931	0.0874537930231873	0.152264920111525	up	Responders	antiPDL1; antiCTL4;;isotype	False
