group	stem	model	cancer_type	study	n_baseline	n_treated	n_responders	n_nonresponders	mean_baseline	mean_treated	delta_treated_minus_baseline	median_baseline	median_treated	direction	treated_classes	mouse_treatments	is_lung
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)	T11_GSE124821_Apobec_end_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	4	4	0	0.09251530525424052	0.34444681183323594	0.25193150657899543	0.02159111120164255	0.28336965461585195	up	Responders	antiPD1; antiCTLA4;;no_treatment	False
402230_GSE148856_antiPD1(n=8)	402230_GSE148856_antiPD1	402230	Sarcoma	GSE148856	4	4	0	4	0.35402865800400896	0.5920764417419231	0.23804778373791413	0.3434807777595295	0.668633588210434	up	Non-responders	antiPD1;isotype	False
B16_GSE150401_MDK_knockdown_antiPD1(n=8)	B16_GSE150401_MDK_knockdown_antiPD1	B16	Melanoma	GSE150401	4	4	4	0	0.0	0.21215404398300575	0.21215404398300575	0.0	0.1621063958169895	up	Responders	antiPD1;isotype	False
B16_GSE151829_antiCTLA4(n=9)	B16_GSE151829_antiCTLA4	B16	Melanoma	GSE151829	3	6	6	0	0.14111845486978783	0.34690976943646173	0.2057913145666739	0.115827599152482	0.321601607789782	up	Responders	antiCTLA4;isotype	False
T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)	T11_GSE124821_UV_day3_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	3	3	0	0.1026740683924566	0.30399366698476965	0.20131959859231305	0.07360314424602721	0.319764739447131	up	Responders	antiPD1; antiCTLA4;;no_treatment	False
4T1_GSE130472_young_antiCTLA4(n=19)	4T1_GSE130472_young_antiCTLA4	4T1	Mammary carcinoma	GSE130472	7	12	12	0	1.828002337047947	2.022329043801921	0.1943267067539738	2.0041692956078	2.042084475065975	up	Responders	antiCTLA4; young;;isotype; young;	False
402230_GSE148856_radiation_antiPD1(n=8)	402230_GSE148856_radiation_antiPD1	402230	Sarcoma	GSE148856	4	4	4	0	0.7853871758966535	0.9710154722618483	0.18562829636519473	0.717414095291941	0.9763494979905245	up	Responders	antiPD1; radiation;;isotype; radiation;	False
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)	p53-2336R_GSE124821_day3_antiCTLA4&antiPD1	p53-2336R	Mammary cancer, NOS	GSE124821	3	5	0	5	0.0	0.17639883432466702	0.17639883432466702	0.0	0.0	up	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
D4M.3A.3_GSE159344_antiPD1(n=6)	D4M.3A.3_GSE159344_antiPD1	D4M.3A.3	Melanoma	GSE159344	3	3	0	3	0.049577902420543996	0.21097662239110068	0.1613987199705567	0.0	0.191002897726662	up	Non-responders	antiPD1;isotype	False
CT26_GSE153239_FcS_antiPD1(n=10)	CT26_GSE153239_FcS_antiPD1	CT26	Colorectal carcinoma	GSE153239	5	5	0	5	0.2201852447206285	0.3752578004740946	0.15507255575346612	0.154330652833521	0.460429307496847	up	Non-responders	antiPD1_FcS;isotype	False
YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8)	YTN16_GSE146027_anti_IL17_day10_antiPD1	YTN16	Gastric adenocarcinoma	GSE146027	4	4	4	0	1.2627168801482025	1.4053435272237125	0.14262664707550998	1.26805377005716	1.47943191746601	up	Responders	antiPD1; antiIL17;anti_IL17	False
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)	T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	4	4	0	0.24153950286932843	0.3745505974293625	0.13301109456003404	0.2359462401717129	0.34704131928100046	up	Responders	antiPD1; antiCTLA4;;no_treatment	False
YTN16_GSE146027_day10_antiPD1(n=8)	YTN16_GSE146027_day10_antiPD1	YTN16	Gastric adenocarcinoma	GSE146027	4	4	0	4	1.0798943046149072	1.2126212403190129	0.13272693570410565	1.03311639467173	1.27678568719933	up	Non-responders	antiPD1;no_treatment	False
LLC_GSE155972_antiCTLA4&antiPD1(n=16)	LLC_GSE155972_antiCTLA4&antiPD1	LLC	Lung carcinoma	GSE155972	10	6	0	6	0.15694832791755048	0.28954265590410805	0.13259432798655757	0.07891508807559125	0.297849969636445	up	Non-responders	antiPD1; antiCTL4;;no_treatment	True
MC38_GSE93017_antiPDL1(n=6)	MC38_GSE93017_antiPDL1	MC38	Colorectal carcinoma	GSE93017	3	3	3	0	0.0	0.09954429880361666	0.09954429880361666	0.0	0.14928913405771	up	Responders	antiPDL1;isotype	False
T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)	T11_GSE124821_day7_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	4	0	4	0.2016015812206086	0.277320336994813	0.07571875577420442	0.194962999482176	0.3215850312077385	up	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)	KPB25L_GSE124821_day3_antiCTLA4&antiPD1	KPB25L	Mammary cancer, NOS	GSE124821	5	5	5	0	3.029181049806108	3.0910298932539133	0.06184884344780528	3.14075395637055	3.08136689931215	up	Responders	antiPD1; antiCTLA4;;no_treatment	False
YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7)	YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2	YUMM1.7	Melanoma	GSE103725	3	4	2	2	0.06187295047089236	0.12016964543363072	0.05829669496273836	0.0655941453224401	0.08236495502065394	up	Non-responders,Responders	BRAFi;BRAFi; antiPDL2;	False
4T1_GSE137818_Brca2_KO_antiPD1(n=8)	4T1_GSE137818_Brca2_KO_antiPD1	4T1	Mammary carcinoma	GSE137818	5	3	3	0	4.16174288745599	4.219715199100553	0.05797231164456296	3.92360076832232	4.25409640102182	up	Responders	antiPD1;no_treatment	False
B16_GSE150401_antiPD1(n=8)	B16_GSE150401_antiPD1	B16	Melanoma	GSE150401	4	4	0	4	0.0	0.0574797835081895	0.0574797835081895	0.0	0.0	up	Non-responders	antiPD1;isotype	False
EMT6_GSE107801_antiPDL1(n=20)	EMT6_GSE107801_antiPDL1	EMT6	Mammary carcinoma	GSE107801	10	10	10	0	0.14814397911812333	0.19311695139532664	0.044972972277203316	0.1007223640994256	0.1503856554008045	up	Responders	antiPDL1;;isotype	False
T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)	T11_GSE124821_UV_day7_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	4	4	0	0.4073534407815702	0.44660604537001763	0.039252604588447426	0.213621311602647	0.4132111016896205	up	Responders	antiPD1; antiCTLA4;;no_treatment	False
BNL-MEA_GSE148947_regorafenib_5_antiPD1(n=6)	BNL-MEA_GSE148947_regorafenib_5_antiPD1	BNL-MEA	Hepatocellular carcinoma	GSE148947	3	3	3	0	0.05333403157349123	0.0856724437193928	0.032338412145901566	0.0449661875199237	0.0604735557997394	up	Responders	antiPD1; regorafenib_5;;regorafenib_5	False
B16_GSE152925_Man2a1_KO_antiPDL1(n=6)	B16_GSE152925_Man2a1_KO_antiPDL1	B16	Melanoma	GSE152925	3	3	3	0	0.0	0.020458133410393733	0.020458133410393733	0.0	0.0	up	Responders	antiPDL1;isotype	False
MC38_GSE172162_antiPD1(n=8)	MC38_GSE172162_antiPD1	MC38	Colorectal carcinoma	GSE172162	4	4	4	0	0.015763892114444476	0.035893998652544695	0.02013010653810022	0.0	0.03181089454898895	up	Responders	antiPD1;isotype	False
B16_GSE109485_intracranial_antiCTLA4&antiPD1(n=6)	B16_GSE109485_intracranial_antiCTLA4&antiPD1	B16	Melanoma	GSE109485	3	3	0	3	0.0023855947572956667	0.019042874566411766	0.016657279809116098	0.0020016382809721	0.0251171055882165	up	Non-responders	antiPD1; antiCTLA4; intracranial;;isotype; intracranial;	False
B16_GSE152925_antiPDL1(n=12)	B16_GSE152925_antiPDL1	B16	Melanoma	GSE152925	6	6	0	6	0.0	0.013112900419935384	0.013112900419935384	0.0	0.0	up	Non-responders	antiPDL1;isotype;isotype; PBS	False
4T1_GSE132529_antiPD1(n=6)	4T1_GSE132529_antiPD1	4T1	Mammary carcinoma	GSE132529	3	3	0	3	4.60635116464027	4.618043517048983	0.011692352408712914	4.71476550712754	4.50430625408492	up	Non-responders	antiPD1;vehicle	False
E0771_GSE174053_high.fat.diet_antiPD1(n=16)	E0771_GSE174053_high.fat.diet_antiPD1	E0771	Mammary adenocarcinoma	GSE174053	8	8	0	8	0.5992002718011491	0.6090158168355533	0.009815545034404183	0.20331010716772252	0.42800483053675253	up	Non-responders	antiPD1; high.fat.diet;;isotype; high.fat.diet;	False
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1(n=6)	B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	B16	Melanoma	GSE109485	3	3	3	0	0.004121673363300867	0.0076217986493453335	0.0035001252860444665	0.0	0.0077528188424745	up	Responders	antiPD1; antiCTLA4; intra&extracranial;;isotype; intra&extracranial;	False
B16_GSE149825_antiCTLA4&antiPD1(n=6)	B16_GSE149825_antiCTLA4&antiPD1	B16	Melanoma	GSE149825	3	3	3	0	0.077101880865998	0.079864880532896	0.002762999666898011	0.0	0.0	up	Responders	antiPD1; antiCTLA4;;vehicle	False
T11_GSE124821_end_antiCTLA4&antiPD1(n=10)	T11_GSE124821_end_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	5	5	0	5	0.11854036639830576	0.11108386059021387	-0.007456505808091887	0.0412654146334319	0.0429468514458314	down	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
MC38_GSE172162_exercise_antiPD1(n=8)	MC38_GSE172162_exercise_antiPD1	MC38	Colorectal carcinoma	GSE172162	4	4	4	0	0.012811111085799826	0.0	-0.012811111085799826	0.0	0.0	down	Responders	antiPD1; exercise;exercise	False
B16_GSE152925_swainsonine_antiPDL1(n=6)	B16_GSE152925_swainsonine_antiPDL1	B16	Melanoma	GSE152925	3	3	3	0	0.07951813931059483	0.06640259869642899	-0.013115540614165838	0.0622149948141085	0.0	down	Responders	antiPDL1; swainsonine;swainsonine	False
T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)	T11_GSE124821_UV_end_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	5	5	0	0.2852555138013886	0.2595699589686632	-0.025685554832725388	0.33789472959473954	0.284587569053806	down	Responders	antiPD1; antiCTLA4;;no_treatment	False
BNL-MEA_GSE148947_antiPD1(n=6)	BNL-MEA_GSE148947_antiPD1	BNL-MEA	Hepatocellular carcinoma	GSE148947	3	3	0	3	0.14660126103697393	0.09458129715921816	-0.05201996387775577	0.176310005371219	0.0738270869335435	down	Non-responders	antiPD1;vehicle	False
T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)	T11_GSE124821_day3_antiCTLA4&antiPD1	T11	Mammary cancer, NOS	GSE124821	4	4	0	4	0.163628713206281	0.08027609274528794	-0.08335262046099307	0.0620502312041325	0.050555026006381856	down	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)	p53-2225L_GSE124821_end_antiCTLA4&antiPD1	p53-2225L	Mammary cancer, NOS	GSE124821	6	3	0	3	3.394043055323935	3.2997633084773565	-0.09427974684657858	3.579376927128025	3.49885884174825	down	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)	p53-2225L_GSE124821_day3_antiCTLA4&antiPD1	p53-2225L	Mammary cancer, NOS	GSE124821	8	5	0	5	3.898453633121589	3.78174653612252	-0.11670709699906867	4.366542901133945	3.8890733874046	down	Non-responders	antiPD1; antiCTLA4;;no_treatment	False
4T1_GSE137818_Brca1_KO_antiPD1(n=10)	4T1_GSE137818_Brca1_KO_antiPD1	4T1	Mammary carcinoma	GSE137818	5	5	0	5	4.13363209798346	4.004876780464524	-0.12875531751893554	4.13196896960058	4.13036998337883	down	Non-responders	antiPD1;no_treatment	False
KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)	KPB25L_GSE124821_day7_antiCTLA4&antiPD1	KPB25L	Mammary cancer, NOS	GSE124821	4	4	4	0	2.992719406727982	2.7426183942685523	-0.25010101245942984	2.94145343192011	2.9066161627199554	down	Responders	antiPD1; antiCTLA4;;no_treatment	False
4T1_GSE130472_young_antiPDL1(n=17)	4T1_GSE130472_young_antiPDL1	4T1	Mammary carcinoma	GSE130472	7	10	10	0	1.828002337047947	1.513979847296362	-0.3140224897515851	2.0041692956078	1.46919348992629	down	Responders	antiPDL1; young;;isotype; young;	False
CT26_GSE139475_antiPD1(n=14)	CT26_GSE139475_antiPD1	CT26	Colorectal carcinoma	GSE139475	5	9	5	4	1.629370250589023	1.3127072172063137	-0.3166630333827094	1.84328675299402	1.39432807053456	down	Non-responders,Responders	antiPD1;isotype	False
4T1_GSE130472_old_antiCTLA4(n=15)	4T1_GSE130472_old_antiCTLA4	4T1	Mammary carcinoma	GSE130472	7	8	0	8	2.514297489980687	2.101033994252919	-0.4132634957277683	2.52574704290325	1.952722276979635	down	Non-responders	antiCTLA4; old;;isotype; old;	False
4T1_GSE130472_old_antiPDL1(n=15)	4T1_GSE130472_old_antiPDL1	4T1	Mammary carcinoma	GSE130472	7	8	0	8	2.514297489980687	1.9181712442543726	-0.5961262457263146	2.52574704290325	1.934024474690875	down	Non-responders	antiPDL1; old;;isotype; old;	False
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)	KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1	KPB25L	Mammary cancer, NOS	GSE124821	6	4	4	0	3.376535004092348	2.034580232234338	-1.3419547718580098	3.826553757452385	2.016311709252115	down	Responders	antiPD1; antiCTLA4;;no_treatment	False
