kind	k	cohorts	combo	score	malig_def	unit	n	rho	p	I2	stouffer_z	stouffer_p	note	loo	source	member_rhos	member_ns	n_q1	n_q4	n_compared	r_rb	p_q4q1	delta_median	thin_q4	why
pair	2.0	GSE123902+GSE131907	GSE123902+GSE131907	mean	marker_malig+author_malig	mixed	34	-0.4995083871760923	0.003693853589321764	0.0	-2.8738641663142164	0.004054833134963312	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.654,GSE131907:-0.396	GSE123902:13,GSE131907:21	10.0	8.0	18.0	-0.65	0.020521961698432286	-0.2928461221714681	False	rho<0 p<0.05+Q4 drop
pair	2.0	GSE123902+GSE189357	GSE123902+GSE189357	mean	marker_malig+marker_malig	mixed	22	-0.6063700689014294	0.004913629528210351	0.0	-2.788516902644733	0.005294998427596125	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.654,GSE189357:-0.517	GSE123902:13,GSE189357:9	7.0	5.0	12.0	-1.0	0.0025252525252525255	-0.3563523583449021	True	rho<0 p<0.05
pair	2.0	GSE123902+GSE205335	GSE123902+GSE205335	mean	marker_malig+author_malig	mixed	35	-0.42327477052314644	0.11488496546443644	54.43719819520376	-2.1474408813877215	0.0317581989640832	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.654,GSE205335:-0.200	GSE123902:13,GSE205335:22	9.0	9.0	18.0	-0.6296296296296297	0.0272753837615853	-0.24475812694308108	False	Q4 drop
pair	2.0	GSE123902+GSE207422	GSE123902+GSE207422	mean	marker_malig+author_DRMref	mixed	25	-0.4174634541113015	0.19790308775880316	55.764341455998036	-1.9519742885899019	0.050941257282432935	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.654,GSE207422:-0.091	GSE123902:13,GSE207422:12	7.0	6.0	13.0	-0.7142857142857143	0.03496503496503496	-0.3166444620934762	False	Q4 drop
pair	2.0	GSE131907+GSE189357	GSE131907+GSE189357	mean	author_malig+marker_malig	mixed	30	-0.4278074851706857	0.025099885200729845	0.0	-2.25150825263884	0.024353364790329696	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE131907:-0.396,GSE189357:-0.517	GSE131907:21,GSE189357:9	9.0	7.0	16.0	-0.5238095238095238	0.09073426573426574	-0.2522000561017671	False	rho<0 p<0.05
pair	2.0	GSE131907+GSE205335	GSE131907+GSE205335	mean	author_malig+author_malig	mixed	43	-0.2987939229369048	0.06083736512529873	0.0	-1.8807816569443279	0.060001626385160274	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE131907:-0.396,GSE205335:-0.200	GSE131907:21,GSE205335:22	11.0	11.0	22.0	-0.5206611570247934	0.04178899680298453	-0.1613420359555709	False	Q4 drop
pair	2.0	GSE123902+GSE131907	GSE123902+GSE131907	pct	marker_malig+author_malig	mixed	34	-0.575072194708154	0.0005276801167933881	0.0	-3.4115352648322785	0.0006459814482360442	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.659,GSE131907:-0.522	GSE123902:13,GSE131907:21	10.0	8.0	18.0	-0.7	0.011655011655011656	-0.31861103920984013	False	rho<0 p<0.05+Q4 drop
pair	2.0	GSE123902+GSE189357	GSE123902+GSE189357	pct	marker_malig+marker_malig	mixed	22	-0.6379499601325548	0.002537473811973913	0.0	-2.984070444897235	0.002844412765832202	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.659,GSE189357:-0.600	GSE123902:13,GSE189357:9	7.0	5.0	12.0	-1.0	0.0025252525252525255	-0.3563523583449021	True	rho<0 p<0.05
pair	2.0	GSE123902+GSE205335	GSE123902+GSE205335	pct	marker_malig+author_malig	mixed	35	-0.5216496284908236	0.0018340012201820794	0.0	-3.078717583187899	0.002078936568128932	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.659,GSE205335:-0.435	GSE123902:13,GSE205335:22	9.0	9.0	18.0	-0.8024691358024691	0.004718198728115028	-0.5001221896383187	False	rho<0 p<0.05+Q4 drop
pair	2.0	GSE131907+GSE189357	GSE131907+GSE189357	pct	author_malig+marker_malig	mixed	30	-0.5424924995584873	0.002910690018538355	0.0	-2.9564687566932566	0.0031118375664090907	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE131907:-0.522,GSE189357:-0.600	GSE131907:21,GSE189357:9	9.0	7.0	16.0	-0.6190476190476191	0.04178321678321679	-0.36468164188752433	False	rho<0 p<0.05+Q4 drop
pair	2.0	GSE131907+GSE205335	GSE131907+GSE205335	pct	author_malig+author_malig	mixed	43	-0.4787109080847739	0.0015191063422345722	0.0	-3.144426482866681	0.001664127187209751	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE131907:-0.522,GSE205335:-0.435	GSE131907:21,GSE205335:22	11.0	11.0	22.0	-0.7024793388429752	0.00581685721588046	-0.31764884029144325	False	rho<0 p<0.05+Q4 drop
pair	2.0	GSE189357+GSE205335	GSE189357+GSE205335	pct	marker_malig+author_malig	mixed	31	-0.4783764213621875	0.00920396129366116	0.0	-2.602186713900326	0.009263140509539572	Fisher-z RE of 2 cohort Spearmans; n=sum of patients		this_pr	GSE189357:-0.600,GSE205335:-0.435	GSE189357:9,GSE205335:22	8.0	8.0	16.0	-0.75	0.010411810411810413	-0.46968822827203727	False	rho<0 p<0.05+Q4 drop
