kind	k	combo	score	n	rho	p	I2	stouffer_z	stouffer_p	n_q1	n_q4	n_compared	r_rb	p_q4q1	delta_median	thin_q4	malig_def	unit	source	loo	note	member_rhos	member_ns	parent_triple
single	1	GSE123902	mean	13	-0.6538461538461539	0.015348516732105473	0.0									True	marker_malig	donor	this_pr		Laughney 2020 tumor/met donors; marker-malignant; normals dropped			
single	1	GSE127465	mean	7	0.10714285714285716	0.8191508555699912	0.0									True	tisch_malig	patient	this_pr		TISCH patient units, n_mal>=20 and n_tnk>=20			
single	1	GSE131907	mean	21	-0.39610389610389607	0.07547637795047248	0.0			6.0	5.0	11.0	-0.5333333333333333	0.17748917748917747	-0.24036941118890154	True	author_malig	sample	this_pr		author Malignant; tumor sites; n_mal>=20; sample-level (Kim 2020)			
single	1	GSE148071	mean	22	0.07961603613777528	0.7246926801743929	0.0			6.0	6.0	12.0	-0.05555555555555558	0.9372294372294373	-0.05241397789913105	False	tisch_malig	patient	this_pr		TISCH malignant (drop 3 epithelial-like); n_mal>=20			
single	1	GSE189357	mean	9	-0.5166666666666667	0.15439012098622507	0.0									True	marker_malig	patient	this_pr		Zhu/Wang AIS–IAC; 9 patients; marker-malignant			
single	1	GSE205335	mean	22	-0.20045172219085267	0.3710825718233011	0.0			6.0	6.0	12.0	-0.5555555555555556	0.13203463203463203	-0.16474964596607827	False	author_malig	patient	this_pr		author malignant, all subtypes			
single	1	GSE207422	mean	12	-0.09090909090909093	0.7787253962454419	0.0									True	author_DRMref	patient	this_pr		locked A3 DRMref 12-patient table; CLDN4 mean only (%pos absent)			
single	1	GSE123902	pct	13	-0.6593406593406593	0.0142255785114567	0.0									True	marker_malig	donor	this_pr		Laughney 2020 tumor/met donors; marker-malignant; normals dropped			
single	1	GSE127465	pct	7	0.1785714285714286	0.7016579425162727	0.0									True	tisch_malig	patient	this_pr		TISCH patient units, n_mal>=20 and n_tnk>=20			
single	1	GSE131907	pct	21	-0.5220779220779221	0.015195754492505785	0.0			6.0	5.0	11.0	-0.6	0.12554112554112554	-0.3416745582410896	True	author_malig	sample	this_pr		author Malignant; tumor sites; n_mal>=20; sample-level (Kim 2020)			
single	1	GSE148071	pct	22	-0.015245623941276118	0.9463127607520941	0.0			6.0	6.0	12.0	-0.05555555555555558	0.9372294372294373	-0.05241397789913105	False	tisch_malig	patient	this_pr		TISCH malignant (drop 3 epithelial-like); n_mal>=20			
single	1	GSE189357	pct	9	-0.6	0.08762282904140249	0.0									True	marker_malig	patient	this_pr		Zhu/Wang AIS–IAC; 9 patients; marker-malignant			
single	1	GSE205335	pct	22	-0.43534726143421804	0.042861326301676765	0.0			6.0	6.0	12.0	-0.7777777777777778	0.025974025974025976	-0.3978244846100106	False	author_malig	patient	this_pr		author malignant, all subtypes			
pair	2	GSE123902+GSE127465	mean	20	-0.39821770994434785	0.33442273087920293	55.76829267989151	-1.9264839182801	0.054043977977888895	5.0	5.0	10.0	-0.52	0.2222222222222222	-0.2823597529593412	True	marker_malig+tisch_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE123902:-0.654,GSE127465:0.107	GSE123902:13,GSE127465:7	
pair	2	GSE123902+GSE131907	mean	34	-0.4995083871760923	0.003693853589321764	0.0	-2.8738641663142164	0.004054833134963312	10.0	8.0	18.0	-0.65	0.020521961698432286	-0.2928461221714681	False	marker_malig+author_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE123902:-0.654,GSE131907:-0.396	GSE123902:13,GSE131907:21	
pair	2	GSE123902+GSE148071	mean	35	-0.3127749377174049	0.45169932484018527	79.44776940264141	-1.13837531931714	0.2549637953248587	9.0	9.0	18.0	-0.3580246913580247	0.21637300805763748	-0.2628466154013814	False	marker_malig+tisch_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE123902:-0.654,GSE148071:0.080	GSE123902:13,GSE148071:22	
pair	2	GSE123902+GSE189357	mean	22	-0.6063700689014294	0.004913629528210351	0.0	-2.788516902644733	0.005294998427596125	7.0	5.0	12.0	-1.0	0.0025252525252525255	-0.3563523583449021	True	marker_malig+marker_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE123902:-0.654,GSE189357:-0.517	GSE123902:13,GSE189357:9	
pair	2	GSE123902+GSE205335	mean	35	-0.42327477052314644	0.11488496546443644	54.43719819520376	-2.1474408813877215	0.0317581989640832	9.0	9.0	18.0	-0.6296296296296297	0.0272753837615853	-0.24475812694308108	False	marker_malig+author_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE123902:-0.654,GSE205335:-0.200	GSE123902:13,GSE205335:22	
pair	2	GSE123902+GSE207422	mean	25	-0.4174634541113015	0.19790308775880316	55.764341455998036	-1.9519742885899019	0.050941257282432935	7.0	6.0	13.0	-0.7142857142857143	0.03496503496503496	-0.3166444620934762	False	marker_malig+author_DRMref	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE123902:-0.654,GSE207422:-0.091	GSE123902:13,GSE207422:12	
pair	2	GSE127465+GSE131907	mean	28	-0.31246822244046224	0.12944099852030963	0.0	-1.5103709941232861	0.13094878564099913	7.0	7.0	14.0	-0.3877551020408163	0.25932400932400934	-0.1893459069020867	False	tisch_malig+author_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE127465:0.107,GSE131907:-0.396	GSE127465:7,GSE131907:21	
pair	2	GSE127465+GSE148071	mean	29	0.08441324269976301	0.6848914853850131	0.0	0.4154552012713897	0.6778087036482534	8.0	7.0	15.0	-0.1428571428571429	0.6943278943278944	-0.13308873119806225	False	tisch_malig+tisch_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE127465:0.107,GSE148071:0.080	GSE127465:7,GSE148071:22	
pair	2	GSE127465+GSE189357	mean	16	-0.28530464616584894	0.37974808126933945	9.71459613978771	-0.95857355952064	0.3377736178112519	4.0	4.0	8.0	-0.25	0.6857142857142857	-0.09912965812238494	True	tisch_malig+marker_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE127465:0.107,GSE189357:-0.517	GSE127465:7,GSE189357:9	
pair	2	GSE127465+GSE205335	mean	29	-0.14806172023014313	0.47440067497398686	0.0	-0.7176088620801035	0.4729984918360387	8.0	7.0	15.0	-0.3571428571428571	0.280963480963481	-0.11093938834527076	False	tisch_malig+author_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE127465:0.107,GSE205335:-0.200	GSE127465:7,GSE205335:22	
pair	2	GSE127465+GSE207422	mean	19	-0.030008237432843414	0.9138142531747291	0.0	-0.10696472666991066	0.9148169632036914	5.0	5.0	10.0	-0.19999999999999996	0.6904761904761905	-0.0775807672892479	True	tisch_malig+author_DRMref	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE127465:0.107,GSE207422:-0.091	GSE127465:7,GSE207422:12	
pair	2	GSE131907+GSE148071	mean	43	-0.16515941081556412	0.5038850601498703	56.51740329399727	-0.9874401322855506	0.32342691838710913	11.0	11.0	22.0	-0.23966942148760328	0.35793336989339997	-0.1794305244138712	False	author_malig+tisch_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE131907:-0.396,GSE148071:0.080	GSE131907:21,GSE148071:22	
pair	2	GSE131907+GSE189357	mean	30	-0.4278074851706857	0.025099885200729845	0.0	-2.25150825263884	0.024353364790329696	9.0	7.0	16.0	-0.5238095238095238	0.09073426573426574	-0.2522000561017671	False	author_malig+marker_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE131907:-0.396,GSE189357:-0.517	GSE131907:21,GSE189357:9	
pair	2	GSE131907+GSE205335	mean	43	-0.2987939229369048	0.06083736512529873	0.0	-1.8807816569443279	0.060001626385160274	11.0	11.0	22.0	-0.5206611570247934	0.04178899680298453	-0.1613420359555709	False	author_malig+author_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE131907:-0.396,GSE205335:-0.200	GSE131907:21,GSE205335:22	
pair	2	GSE131907+GSE207422	mean	33	-0.30019427278501637	0.10752444293486588	0.0	-1.6135946586932053	0.10661537617450499	9.0	8.0	17.0	-0.4444444444444444	0.13879062114356233	-0.22244113597169948	False	author_malig+author_DRMref	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE131907:-0.396,GSE207422:-0.091	GSE131907:21,GSE207422:12	
pair	2	GSE148071+GSE189357	mean	31	-0.15717625416546882	0.6135235885590329	48.3444077172603	-0.3906743352926855	0.6960379716768821	8.0	8.0	16.0	-0.25	0.4418026418026417	-0.17288997059945566	False	tisch_malig+marker_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE148071:0.080,GSE189357:-0.517	GSE148071:22,GSE189357:9	
pair	2	GSE148071+GSE205335	mean	44	-0.06163091057195375	0.7036480909063574	0.0	-0.3834309513600412	0.7014002578319167	12.0	10.0	22.0	-0.30000000000000004	0.24853467917305805	-0.1478103942902807	False	tisch_malig+author_malig	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE148071:0.080,GSE205335:-0.200	GSE148071:22,GSE205335:22	
pair	2	GSE148071+GSE207422	mean	34	0.024832968212710048	0.8954345744707437	0.0	0.13082054743155025	0.8959172681855346	9.0	9.0	18.0	-0.16049382716049387	0.5962416305866567	-0.1747998089525522	False	tisch_malig+author_DRMref	mixed	this_pr		Fisher-z RE of 2 cohort Spearmans; n=sum of patients	GSE148071:0.080,GSE207422:-0.091	GSE148071:22,GSE207422:12	
